area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",-0.4558734988837386,0.003786,0.7730751451355619,0.015773,1.2289486440193005,0.011987,1.2169616440193005,True
V2,24c+32,"38,28",0.2375117341989203,0.043747,0.6513266667601967,0.039852,0.4138149325612764,-0.0038950000000000026,0.41770993256127636,True
V4,24c+32,"38,28",-0.1871458490461841,0.096906,-0.5452619834491772,0.01233,-0.3581161344029931,-0.08457600000000001,-0.2735401344029931,True
1,24c+32,"38,28",0.1271032202314345,0.054903,-0.24379404619850137,-0.127009,-0.37089726642993587,-0.18191200000000002,-0.18898526642993585,True
3,24c+32,"38,28",-0.0497427899685163,0.04628,0.8127486053556613,-0.000506,0.8624913953241776,-0.046786,0.9092773953241776,True
MT,24c+32,"38,28",-0.296447096604313,0.175566,0.299838424334211,0.03625,0.596285520938524,-0.139316,0.735601520938524,True
V6,24c+32,"38,28",0.0028506044505691,0.139254,0.0714722080752912,0.217226,0.0686216036247221,0.07797200000000001,-0.009350396375277917,True
DP,24c+32,"38,28",0.2627725732098758,0.199567,-0.47630537550839724,-0.259572,-0.739077948718273,-0.459139,-0.279938948718273,True
TEO,24c+32,"38,28",0.0893806531495517,0.031259,0.1331729009293659,0.072362,0.043792247779814206,0.041102999999999994,0.002689247779814212,True
8m,24c+32,"38,28",0.6169810193636821,0.175673,-0.40837066756123525,0.165189,-1.0253516869249173,-0.010483999999999993,-1.0148676869249174,True
F4,24c+32,"38,28",0.2230825589129648,-0.015774,-0.6129443417839615,0.135711,-0.8360269006969263,0.151485,-0.9875119006969263,True
5,24c+32,"38,28",-0.0485051982447221,-0.026274,-0.3093487195354067,-0.164674,-0.2608435212906846,-0.1384,-0.12244352129068461,True
2,24c+32,"38,28",0.0890824217435257,0.088933,0.03994420566929893,-0.059867,-0.04913821607422676,-0.1488,0.09966178392577323,True
8l,24c+32,"38,28",0.1412920537864236,0.16706,-0.33895544249073845,0.064032,-0.480247496277162,-0.10302799999999998,-0.377219496277162,True
F1,24c+32,"38,28",-0.1848361842128097,0.023885,-0.004683144737236269,0.014027,0.18015303947557343,-0.009858,0.19001103947557343,True
STPc,24c+32,"38,28",0.1406087010004935,-0.004758,-0.21881743223621036,0.021164,-0.35942613323670386,0.025922,-0.38534813323670386,True
7A,24c+32,"38,28",0.0103944873931981,0.03126,0.14131730863127284,-0.022945,0.13092282123807475,-0.054205,0.18512782123807475,True
10,24c+32,"38,28",1.2795216426735585,0.313056,-0.3422203670056283,-0.259452,-1.6217420096791868,-0.572508,-1.0492340096791868,True
F3,24c+32,"38,28",0.0890592557096569,0.09415,-0.5216346522225088,0.073127,-0.6106939079321657,-0.021023,-0.5896709079321657,True
TEpd,24c+32,"38,28",-0.0167626863148843,0.016372,-0.31777784014114757,0.111161,-0.30101515382626326,0.094789,-0.39580415382626327,True
46d,24c+32,"38,28",1.1099412435174054,0.337073,-0.6830481013712173,0.036685,-1.7929893448886227,-0.300388,-1.4926013448886226,True
9/46v,24c+32,"38,28",0.3820309618759206,0.2712,-0.3824932696206757,0.097202,-0.7645242314965963,-0.17399799999999999,-0.5905262314965963,True
PBr,24c+32,"38,28",-0.3230656793178671,0.032065,1.5232434479305423,0.00353,1.8463091272484093,-0.028535000000000005,1.8748441272484093,True
9/46d,24c+32,"38,28",0.6649854326765055,0.245636,-0.472915396931289,0.079916,-1.1379008296077944,-0.16571999999999998,-0.9721808296077944,True
F5,24c+32,"38,28",0.355620644606761,0.081314,-0.5937614882763352,0.149549,-0.9493821328830963,0.06823499999999999,-1.0176171328830963,True
7m,24c+32,"38,28",-0.3152640164996143,-0.082866,-0.5310517186521062,0.047937,-0.21578770215249193,0.130803,-0.34659070215249194,True
25,24c+32,"38,28",0.2975774138169937,-0.168438,0.9551514548711024,0.142877,0.6575740410541087,0.311315,0.34625904105410865,True
LIP,24c+32,"38,28",0.184667210187723,0.063567,-0.4454018375077411,0.037658,-0.6300690476954641,-0.025909,-0.6041600476954642,True
32,24c+32,"38,28",2.0,0.812202,1.0546444050580541,0.704386,-0.9453555949419459,-0.10781600000000002,-0.8375395949419459,False
STPi,24c+32,"38,28",-0.2200094747034742,0.028622,0.2965391763273151,0.059489,0.5165486510307893,0.030867,0.4856816510307893,True
9,24c+32,"38,28",1.1209643384219838,0.358544,-0.6728807684553173,0.145686,-1.7938451068773011,-0.21285799999999996,-1.5809871068773012,True
45A,24c+32,"38,28",0.4974306596925541,0.22115,-0.3266376783550985,-0.163953,-0.8240683380476526,-0.385103,-0.4389653380476526,True
8B,24c+32,"38,28",1.027226422028494,0.223581,-0.06667130758740038,0.060359,-1.0938977296158943,-0.163222,-0.9306757296158943,True
7B,24c+32,"38,28",-0.4260515495413424,0.111312,-0.6493970044645929,-0.018539,-0.22334545492325053,-0.129851,-0.09349445492325054,True
F2,24c+32,"38,28",-0.3243543790695238,-0.024718,-0.26219490595446665,-0.00053,0.06215947311505715,0.024188,0.03797147311505715,True
F7,24c+32,"38,28",1.2042281727899946,0.25606,-0.6368441932967368,-0.103096,-1.8410723660867314,-0.35915600000000003,-1.4819163660867314,True
ProM,24c+32,"38,28",0.0893820662317937,0.004375,0.2609641529933372,-0.007453,0.1715820867615435,-0.011828000000000002,0.1834100867615435,True
STPr,24c+32,"38,28",0.1163608675355123,-0.05701,0.6949031265330858,0.079456,0.5785422589975735,0.136466,0.4420762589975735,True
