area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",-0.3906987163164737,0.003786,-0.30936406897631247,0.015773,0.08133464734016121,0.011987,0.06934764734016122,True
V2,24c+32,"38,28",-0.6114324552068722,0.043747,-0.9405201868057198,0.039852,-0.32908773159884763,-0.0038950000000000026,-0.32519273159884765,True
V4,24c+32,"38,28",0.3125789779434819,0.096906,0.2998721501650737,0.01233,-0.012706827778408203,-0.08457600000000001,0.07186917222159181,True
1,24c+32,"38,28",-0.1732244028172025,0.054903,0.04771052914448566,-0.127009,0.22093493196168817,-0.18191200000000002,0.4028469319616882,True
3,24c+32,"38,28",-0.3116359119643835,0.04628,-0.24751578494662413,-0.000506,0.06412012701775938,-0.046786,0.11090612701775937,True
MT,24c+32,"38,28",-0.8066092523033638,0.175566,-1.0753560251729413,0.03625,-0.2687467728695775,-0.139316,-0.1294307728695775,True
V6,24c+32,"38,28",-0.9175106347962058,0.139254,-0.6119297144655094,0.217226,0.3055809203306964,0.07797200000000001,0.22760892033069638,True
DP,24c+32,"38,28",-0.3669966114028981,0.199567,-0.8431130541440998,-0.259572,-0.4761164427412017,-0.459139,-0.016977442741201665,True
TEO,24c+32,"38,28",-0.1110514383364741,0.031259,-0.35543609560402717,0.072362,-0.24438465726755307,0.041102999999999994,-0.28548765726755304,True
8m,24c+32,"38,28",1.190529625141391,0.175673,1.5470473108710718,0.165189,0.3565176857296808,-0.010483999999999993,0.3670016857296808,True
F4,24c+32,"38,28",0.748544482282172,-0.015774,0.5260582691443598,0.135711,-0.22248621313781214,0.151485,-0.3739712131378121,True
5,24c+32,"38,28",-0.4538071746727682,-0.026274,-0.6545036709297951,-0.164674,-0.2006964962570269,-0.1384,-0.062296496257026907,True
2,24c+32,"38,28",0.1479077236974803,0.088933,0.421586968241381,-0.059867,0.2736792445439007,-0.1488,0.4224792445439007,True
8l,24c+32,"38,28",0.6469583305819779,0.16706,0.3595982875714753,0.064032,-0.28736004301050266,-0.10302799999999998,-0.18433204301050268,True
F1,24c+32,"38,28",0.1566886946867534,0.023885,-0.355635453988181,0.014027,-0.5123241486749344,-0.009858,-0.5024661486749343,True
STPc,24c+32,"38,28",0.1193505318219935,-0.004758,-0.05265870888695886,0.021164,-0.17200924070895235,0.025922,-0.19793124070895235,True
7A,24c+32,"38,28",-0.3172322033772701,0.03126,-0.5225709934872871,-0.022945,-0.205338790110017,-0.054205,-0.15113379011001699,True
10,24c+32,"38,28",1.7130584923561891,0.313056,0.786296753181351,-0.259452,-0.9267617391748382,-0.572508,-0.35425373917483816,True
F3,24c+32,"38,28",1.0167117822131193,0.09415,-0.03230216644405089,0.073127,-1.0490139486571701,-0.021023,-1.0279909486571701,True
TEpd,24c+32,"38,28",-0.3245053066536119,0.016372,-0.4811608251196004,0.111161,-0.15665551846598852,0.094789,-0.25144451846598853,True
46d,24c+32,"38,28",0.8428803839453579,0.337073,0.3089202722657289,0.036685,-0.5339601116796291,-0.300388,-0.2335721116796291,True
9/46v,24c+32,"38,28",1.1355680175870717,0.2712,1.2907766640694802,0.097202,0.1552086464824085,-0.17399799999999999,0.3292066464824085,True
PBr,24c+32,"38,28",0.1364472470027257,0.032065,-0.13352649532535496,0.00353,-0.2699737423280807,-0.028535000000000005,-0.24143874232808069,True
9/46d,24c+32,"38,28",1.2942154598466695,0.245636,0.7506502763481042,0.079916,-0.5435651834985653,-0.16571999999999998,-0.37784518349856533,True
F5,24c+32,"38,28",0.0907111586830765,0.081314,-0.2115128381492226,0.149549,-0.30222399683229906,0.06823499999999999,-0.37045899683229905,True
7m,24c+32,"38,28",1.1789774034082137,-0.082866,1.0459275707772617,0.047937,-0.13304983263095194,0.130803,-0.26385283263095194,True
25,24c+32,"38,28",0.4639971322366681,-0.168438,1.2781206997641954,0.142877,0.8141235675275273,0.311315,0.5028085675275273,True
LIP,24c+32,"38,28",-0.4234329907558415,0.063567,-0.3503948055114189,0.037658,0.07303818524442263,-0.025909,0.09894718524442263,True
32,24c+32,"38,28",2.0,0.812202,2.0,0.704386,0.0,-0.10781600000000002,0.10781600000000002,False
STPi,24c+32,"38,28",-0.2239840293512131,0.028622,-0.14462332718540097,0.059489,0.07936070216581212,0.030867,0.04849370216581212,True
9,24c+32,"38,28",1.4777397627267828,0.358544,0.6847934390958645,0.145686,-0.7929463236309182,-0.21285799999999996,-0.5800883236309182,True
45A,24c+32,"38,28",0.6744082048447885,0.22115,0.5875061731373741,-0.163953,-0.0869020317074144,-0.385103,0.2982009682925856,True
8B,24c+32,"38,28",1.7531642528382434,0.223581,0.7069293308806369,0.060359,-1.0462349219576064,-0.163222,-0.8830129219576064,True
7B,24c+32,"38,28",-0.7311420205752518,0.111312,-0.6756002591089422,-0.018539,0.055541761466309625,-0.129851,0.18539276146630962,True
F2,24c+32,"38,28",0.5283208924794417,-0.024718,0.0987792718357303,-0.00053,-0.4295416206437114,0.024188,-0.45372962064371136,True
F7,24c+32,"38,28",1.6101939356626118,0.25606,0.5045777917355656,-0.103096,-1.1056161439270462,-0.35915600000000003,-0.7464601439270462,True
ProM,24c+32,"38,28",0.1952597723589374,0.004375,0.7538227513424712,-0.007453,0.5585629789835338,-0.011828000000000002,0.5703909789835337,True
STPr,24c+32,"38,28",-0.1552174178258984,-0.05701,0.23343157415143514,0.079456,0.38864899197733355,0.136466,0.2521829919773335,True
24c,24c+32,"38,28",2.0,1.081141,2.0,0.998232,0.0,-0.0829089999999999,0.0829089999999999,False
OPRO,24c+32,"38,28",0.6622425960955876,0.176695,0.8964883609469835,-0.01692,0.23424576485139592,-0.19361499999999998,0.4278607648513959,True
