area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.29985845634024644,-0.30936406897631247
V2,24c+32,"38,28",-0.735461160435187,-0.9405201868057198
V4,24c+32,"38,28",0.291195607984978,0.2998721501650737
1,24c+32,"38,28",0.04767436100272122,0.04771052914448566
3,24c+32,"38,28",-0.2425820465038978,-0.24751578494662413
MT,24c+32,"38,28",-0.7914705930995165,-1.0753560251729413
V6,24c+32,"38,28",-0.5454840479656854,-0.6119297144655094
DP,24c+32,"38,28",-0.6874544228525239,-0.8431130541440998
TEO,24c+32,"38,28",-0.34118770706370155,-0.35543609560402717
8m,24c+32,"38,28",0.9132969913810892,1.5470473108710718
F4,24c+32,"38,28",0.4823622509196698,0.5260582691443598
5,24c+32,"38,28",-0.5746940016873172,-0.6545036709297951
2,24c+32,"38,28",0.3982665246727974,0.421586968241381
8l,24c+32,"38,28",0.3448601458164707,0.3595982875714753
F1,24c+32,"38,28",-0.34136384634437117,-0.355635453988181
STPc,24c+32,"38,28",-0.052610089673405275,-0.05265870888695886
7A,24c+32,"38,28",-0.4796818734628427,-0.5225709934872871
10,24c+32,"38,28",0.656306037712994,0.786296753181351
F3,24c+32,"38,28",-0.03229093611520453,-0.03230216644405089
TEpd,24c+32,"38,28",-0.4471727946174098,-0.4811608251196004
46d,24c+32,"38,28",0.2994545099234074,0.3089202722657289
9/46v,24c+32,"38,28",0.8593298120941761,1.2907766640694802
PBr,24c+32,"38,28",-0.13273855182389424,-0.13352649532535496
9/46d,24c+32,"38,28",0.6355367378093248,0.7506502763481042
F5,24c+32,"38,28",-0.20841408090496022,-0.2115128381492226
7m,24c+32,"38,28",0.7802180351828336,1.0459275707772617
25,24c+32,"38,28",0.8559834001199562,1.2781206997641954
LIP,24c+32,"38,28",-0.33672563168283576,-0.3503948055114189
32,24c+32,"38,28",0.9809914271091849,2.0
STPi,24c+32,"38,28",-0.14362338290691395,-0.14462332718540097
9,24c+32,"38,28",0.5946267986510771,0.6847934390958645
45A,24c+32,"38,28",0.5280996511252182,0.5875061731373741
8B,24c+32,"38,28",0.6087476851973809,0.7069293308806369
7B,24c+32,"38,28",-0.58865165786381,-0.6756002591089422
F2,24c+32,"38,28",0.09845924635422644,0.0987792718357303
F7,24c+32,"38,28",0.46570972610342953,0.5045777917355656
ProM,24c+32,"38,28",0.6374240166111448,0.7538227513424712
STPr,24c+32,"38,28",0.2292820749031584,0.23343157415143514
24c,24c+32,"38,28",0.9913217883319256,2.0
OPRO,24c+32,"38,28",0.7145836874038388,0.8964883609469835
