area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",-0.1160941284938024,0.003786,0.1439996702933148,0.015773,0.26009379878711725,0.011987,0.24810679878711725,True
V2,24c+32,"38,28",0.3501245653995311,0.043747,0.05572813750005008,0.039852,-0.294396427899481,-0.0038950000000000026,-0.290501427899481,True
V4,24c+32,"38,28",-0.1556611949842309,0.096906,0.09892818945058228,0.01233,0.25458938443481316,-0.08457600000000001,0.33916538443481314,True
1,24c+32,"38,28",0.3182802880065614,0.054903,0.0257085932005613,-0.127009,-0.2925716948060001,-0.18191200000000002,-0.11065969480600008,True
3,24c+32,"38,28",0.1675473069507141,0.04628,0.06436255786228032,-0.000506,-0.10318474908843378,-0.046786,-0.05639874908843378,True
MT,24c+32,"38,28",0.6119710885525015,0.175566,0.11939545509720845,0.03625,-0.49257563345529304,-0.139316,-0.35325963345529304,True
V6,24c+32,"38,28",0.5309505572284893,0.139254,0.5003736151936116,0.217226,-0.030576942034877708,0.07797200000000001,-0.10854894203487772,True
DP,24c+32,"38,28",0.4915057750187404,0.199567,-0.0759333757690221,-0.259572,-0.5674391507877625,-0.459139,-0.1083001507877625,True
TEO,24c+32,"38,28",0.156109309241097,0.031259,0.19157148884627254,0.072362,0.03546217960517553,0.041102999999999994,-0.005640820394824463,True
8m,24c+32,"38,28",0.6400428060980776,0.175673,0.629033083738976,0.165189,-0.011009722359101581,-0.010483999999999993,-0.000525722359101588,True
F4,24c+32,"38,28",0.5987299089185673,-0.015774,0.22631614920983334,0.135711,-0.3724137597087339,0.151485,-0.5238987597087339,True
5,24c+32,"38,28",0.1137180181341875,-0.026274,0.20281601546287795,-0.164674,0.08909799732869045,-0.1384,0.22749799732869044,True
2,24c+32,"38,28",-0.005518385337935,0.088933,0.3965805606768959,-0.059867,0.40209894601483087,-0.1488,0.5508989460148308,True
8l,24c+32,"38,28",-0.0841109972103406,0.16706,0.08449268704064179,0.064032,0.16860368425098238,-0.10302799999999998,0.2716316842509824,True
F1,24c+32,"38,28",-0.1405608701805269,0.023885,-0.011705728169393727,0.014027,0.12885514201113318,-0.009858,0.1387131420111332,True
STPc,24c+32,"38,28",0.3229481650137925,-0.004758,0.4680517231822838,0.021164,0.1451035581684913,0.025922,0.1191815581684913,True
7A,24c+32,"38,28",0.2104715301552385,0.03126,-0.19021513364956782,-0.022945,-0.40068666380480633,-0.054205,-0.34648166380480633,True
10,24c+32,"38,28",1.3686389882979282,0.313056,0.4588988606750426,-0.259452,-0.9097401276228856,-0.572508,-0.33723212762288557,True
F3,24c+32,"38,28",1.47699271074765,0.09415,0.8081538182846801,0.073127,-0.6688388924629698,-0.021023,-0.6478158924629698,True
