area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.1369707578066032,-0.13783709991674636
V2,24c+32,"38,28",0.32296369026951904,0.3349524069939026
V4,24c+32,"38,28",-0.7147729062707289,-0.8968751257924086
1,24c+32,"38,28",-0.31454690840029553,-0.3255836308480544
3,24c+32,"38,28",0.21295676906267524,0.21626654520515867
MT,24c+32,"38,28",0.4012577877979249,0.4251471951207707
V6,24c+32,"38,28",0.09462854763581666,0.09491252735261278
DP,24c+32,"38,28",-0.005118786759377787,-0.005118831467526483
TEO,24c+32,"38,28",-0.5425195538376973,-0.6077191446219948
8m,24c+32,"38,28",-0.44081198429113955,-0.473238176038202
F4,24c+32,"38,28",-0.7075163424527064,-0.8821931844519231
5,24c+32,"38,28",-0.03430467720907705,-0.034318143424443295
2,24c+32,"38,28",0.06202501099691248,0.06210473394710069
8l,24c+32,"38,28",-0.3760440475456662,-0.39544412620812286
F1,24c+32,"38,28",0.10518360263805572,0.10557410088254547
STPc,24c+32,"38,28",-0.2807737197715248,-0.28852180972973623
7A,24c+32,"38,28",-0.2968455527629732,-0.30605676591365916
10,24c+32,"38,28",-0.447071554238597,-0.4810342875781305
F3,24c+32,"38,28",-0.21302626255495838,-0.21633934111186975
TEpd,24c+32,"38,28",0.14963205947206162,0.15076404742288593
46d,24c+32,"38,28",-0.575082711673621,-0.6550842654737479
9/46v,24c+32,"38,28",-0.27096709482227394,-0.2779072566213803
PBr,24c+32,"38,28",-0.0995733096387353,-0.09990436591480832
9/46d,24c+32,"38,28",-0.7394905681577649,-0.949354252597101
F5,24c+32,"38,28",0.1126124655564985,0.11309215500002205
7m,24c+32,"38,28",-0.30278563803189895,-0.31258356824420663
25,24c+32,"38,28",0.6624539293459268,0.7971740269180877
LIP,24c+32,"38,28",-0.19964148843597762,-0.20235913238169795
32,24c+32,"38,28",0.999378733320768,2.0
STPi,24c+32,"38,28",0.09599744114513091,0.09629397090189988
9,24c+32,"38,28",-0.3857442645525916,-0.4067906503699705
45A,24c+32,"38,28",-0.3883553705388104,-0.409861847950684
8B,24c+32,"38,28",-0.6200841519319303,-0.7251417983852638
7B,24c+32,"38,28",-0.021639799768861066,-0.021643178553460173
F2,24c+32,"38,28",-0.11101905466314896,-0.11147856946854924
F7,24c+32,"38,28",-0.5535107916212073,-0.6234287223995943
ProM,24c+32,"38,28",-0.06838474878361243,-0.06849164872334805
STPr,24c+32,"38,28",-0.24890318777287526,-0.2542432203931937
24c,24c+32,"38,28",-0.42101131660209234,-0.4489205797972491
OPRO,24c+32,"38,28",0.1490825288845856,0.15020197840848437
