area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,valid
V1,24c+32,"38,28",-0.1369707578066032,-0.13783709991674636,0.015773,True
V2,24c+32,"38,28",0.32296369026951904,0.3349524069939026,0.039852,True
V4,24c+32,"38,28",-0.7147729062707289,-0.8968751257924086,0.01233,True
1,24c+32,"38,28",-0.31454690840029553,-0.3255836308480544,-0.127009,True
3,24c+32,"38,28",0.21295676906267524,0.21626654520515867,-0.000506,True
MT,24c+32,"38,28",0.4012577877979249,0.4251471951207707,0.03625,True
V6,24c+32,"38,28",0.09462854763581666,0.09491252735261278,0.217226,True
DP,24c+32,"38,28",-0.005118786759377787,-0.005118831467526483,-0.259572,True
TEO,24c+32,"38,28",-0.5425195538376973,-0.6077191446219948,0.072362,True
8m,24c+32,"38,28",-0.44081198429113955,-0.473238176038202,0.165189,True
F4,24c+32,"38,28",-0.7075163424527064,-0.8821931844519231,0.135711,True
5,24c+32,"38,28",-0.03430467720907705,-0.034318143424443295,-0.164674,True
2,24c+32,"38,28",0.06202501099691248,0.06210473394710069,-0.059867,True
8l,24c+32,"38,28",-0.3760440475456662,-0.39544412620812286,0.064032,True
F1,24c+32,"38,28",0.10518360263805572,0.10557410088254547,0.014027,True
STPc,24c+32,"38,28",-0.2807737197715248,-0.28852180972973623,0.021164,True
7A,24c+32,"38,28",-0.2968455527629732,-0.30605676591365916,-0.022945,True
10,24c+32,"38,28",-0.447071554238597,-0.4810342875781305,-0.259452,True
F3,24c+32,"38,28",-0.21302626255495838,-0.21633934111186975,0.073127,True
TEpd,24c+32,"38,28",0.14963205947206162,0.15076404742288593,0.111161,True
46d,24c+32,"38,28",-0.575082711673621,-0.6550842654737479,0.036685,True
9/46v,24c+32,"38,28",-0.27096709482227394,-0.2779072566213803,0.097202,True
PBr,24c+32,"38,28",-0.0995733096387353,-0.09990436591480832,0.00353,True
9/46d,24c+32,"38,28",-0.7394905681577649,-0.949354252597101,0.079916,True
F5,24c+32,"38,28",0.1126124655564985,0.11309215500002205,0.149549,True
7m,24c+32,"38,28",-0.30278563803189895,-0.31258356824420663,0.047937,True
25,24c+32,"38,28",0.6624539293459268,0.7971740269180877,0.142877,True
LIP,24c+32,"38,28",-0.19964148843597762,-0.20235913238169795,0.037658,True
32,24c+32,"38,28",0.999378733320768,2.0,0.704386,False
STPi,24c+32,"38,28",0.09599744114513091,0.09629397090189988,0.059489,True
9,24c+32,"38,28",-0.3857442645525916,-0.4067906503699705,0.145686,True
45A,24c+32,"38,28",-0.3883553705388104,-0.409861847950684,-0.163953,True
8B,24c+32,"38,28",-0.6200841519319303,-0.7251417983852638,0.060359,True
7B,24c+32,"38,28",-0.021639799768861066,-0.021643178553460173,-0.018539,True
F2,24c+32,"38,28",-0.11101905466314896,-0.11147856946854924,-0.00053,True
F7,24c+32,"38,28",-0.5535107916212073,-0.6234287223995943,-0.103096,True
ProM,24c+32,"38,28",-0.06838474878361243,-0.06849164872334805,-0.007453,True
STPr,24c+32,"38,28",-0.24890318777287526,-0.2542432203931937,0.079456,True
24c,24c+32,"38,28",-0.42101131660209234,-0.4489205797972491,0.998232,False
OPRO,24c+32,"38,28",0.1490825288845856,0.15020197840848437,-0.01692,True
