area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",0.8989367400056606,0.003786,0.7134725224298244,0.015773,-0.1854642175758362,0.011987,-0.1974512175758362,True
V2,24c+32,"38,28",0.9511637258298704,0.043747,0.647730642906028,0.039852,-0.3034330829238424,-0.0038950000000000026,-0.29953808292384243,True
V4,24c+32,"38,28",1.1203461467947595,0.096906,0.6627122285511607,0.01233,-0.4576339182435988,-0.08457600000000001,-0.3730579182435988,True
1,24c+32,"38,28",1.9279094367122824,0.054903,1.341183836816566,-0.127009,-0.5867255998957164,-0.18191200000000002,-0.40481359989571636,True
3,24c+32,"38,28",1.2829066979597377,0.04628,1.0908455069668144,-0.000506,-0.1920611909929233,-0.046786,-0.1452751909929233,True
MT,24c+32,"38,28",1.0929737406144893,0.175566,0.8510725124232575,0.03625,-0.24190122819123172,-0.139316,-0.10258522819123173,True
V6,24c+32,"38,28",1.280905178182561,0.139254,1.186111175702446,0.217226,-0.09479400248011505,0.07797200000000001,-0.17276600248011506,True
DP,24c+32,"38,28",1.6046723713101942,0.199567,1.1188175264551188,-0.259572,-0.48585484485507546,-0.459139,-0.026715844855075443,True
TEO,24c+32,"38,28",1.2418584068405802,0.031259,0.7197611169002361,0.072362,-0.5220972899403441,0.041102999999999994,-0.5632002899403441,True
8m,24c+32,"38,28",1.0498423597491937,0.175673,0.7639001885849852,0.165189,-0.2859421711642085,-0.010483999999999993,-0.2754581711642085,True
F4,24c+32,"38,28",1.3196973957922964,-0.015774,1.146703960450886,0.135711,-0.17299343534141043,0.151485,-0.3244784353414104,True
5,24c+32,"38,28",1.279331721207277,-0.026274,1.1885482816681117,-0.164674,-0.09078343953916534,-0.1384,0.04761656046083465,True
2,24c+32,"38,28",1.0044135633809437,0.088933,0.7993417725551027,-0.059867,-0.20507179082584093,-0.1488,-0.05627179082584094,True
8l,24c+32,"38,28",1.6475090717567826,0.16706,1.006833855447341,0.064032,-0.6406752163094416,-0.10302799999999998,-0.5376472163094416,True
F1,24c+32,"38,28",0.903177831181678,0.023885,0.870717183972118,0.014027,-0.0324606472095601,-0.009858,-0.022602647209560102,True
STPc,24c+32,"38,28",1.6491299035644675,-0.004758,1.2502161444100044,0.021164,-0.39891375915446314,0.025922,-0.42483575915446314,True
7A,24c+32,"38,28",1.5086522605370765,0.03126,1.0787457369043465,-0.022945,-0.42990652363272996,-0.054205,-0.37570152363272996,True
10,24c+32,"38,28",1.6460644686689976,0.313056,1.140989107695939,-0.259452,-0.5050753609730585,-0.572508,0.06743263902694152,True
F3,24c+32,"38,28",1.4494014797453727,0.09415,1.3115544667627295,0.073127,-0.13784701298264324,-0.021023,-0.11682401298264324,True
TEpd,24c+32,"38,28",1.238158472471126,0.016372,0.7081549391312303,0.111161,-0.5300035333398958,0.094789,-0.6247925333398958,True
46d,24c+32,"38,28",1.660358170457962,0.337073,1.1200262622433823,0.036685,-0.5403319082145797,-0.300388,-0.23994390821457967,True
9/46v,24c+32,"38,28",1.5485835591806878,0.2712,1.2381578132132578,0.097202,-0.31042574596743,-0.17399799999999999,-0.13642774596743001,True
PBr,24c+32,"38,28",0.4329400568580618,0.032065,0.7307426895378207,0.00353,0.2978026326797589,-0.028535000000000005,0.3263376326797589,True
9/46d,24c+32,"38,28",1.3812296759846003,0.245636,1.1789836716722124,0.079916,-0.20224600431238793,-0.16571999999999998,-0.03652600431238795,True
F5,24c+32,"38,28",1.1823699715278022,0.081314,1.0220270521360348,0.149549,-0.16034291939176737,0.06823499999999999,-0.22857791939176736,True
7m,24c+32,"38,28",0.9139394407912684,-0.082866,1.0210830631878802,0.047937,0.10714362239661179,0.130803,-0.02365937760338821,True
25,24c+32,"38,28",0.2753762044522576,-0.168438,1.0833019795289824,0.142877,0.8079257750767248,0.311315,0.4966107750767248,True
LIP,24c+32,"38,28",1.3444521624848569,0.063567,1.0686019348149447,0.037658,-0.2758502276699122,-0.025909,-0.24994122766991217,True
32,24c+32,"38,28",1.3846206148740894,0.812202,1.4916875308784063,0.704386,0.10706691600431695,-0.10781600000000002,0.21488291600431697,False
STPi,24c+32,"38,28",1.5718918925535366,0.028622,1.2242348989382419,0.059489,-0.3476569936152947,0.030867,-0.37852399361529465,True
9,24c+32,"38,28",1.77778418340286,0.358544,1.2721237490188917,0.145686,-0.5056604343839683,-0.21285799999999996,-0.29280243438396836,True
45A,24c+32,"38,28",1.753083184363117,0.22115,1.0170088469503618,-0.163953,-0.7360743374127552,-0.385103,-0.3509713374127552,True
8B,24c+32,"38,28",1.6608359661035386,0.223581,1.2749783824469973,0.060359,-0.3858575836565412,-0.163222,-0.2226355836565412,True
7B,24c+32,"38,28",1.1701882983722445,0.111312,1.0903394210439314,-0.018539,-0.07984887732831303,-0.129851,0.050002122671686966,True
F2,24c+32,"38,28",1.134100710724252,-0.024718,1.0911254785938589,-0.00053,-0.042975232130393115,0.024188,-0.06716323213039312,True
F7,24c+32,"38,28",1.9702905923457812,0.25606,1.3311496665327223,-0.103096,-0.6391409258130589,-0.35915600000000003,-0.2799849258130589,True
ProM,24c+32,"38,28",1.0373626561867706,0.004375,0.9486908592985583,-0.007453,-0.08867179688821225,-0.011828000000000002,-0.07684379688821225,True
STPr,24c+32,"38,28",1.5057454147001226,-0.05701,1.0298258640884779,0.079456,-0.4759195506116447,0.136466,-0.6123855506116447,True
24c,24c+32,"38,28",2.0,1.081141,1.957817413090191,0.998232,-0.04218258690980892,-0.0829089999999999,0.04072641309019098,False
OPRO,24c+32,"38,28",1.3189237903805708,0.176695,1.1428898880223373,-0.01692,-0.17603390235823357,-0.19361499999999998,0.017581097641766408,True
