area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
V1,24c+32,"38,28",0.8989367400056606,0.003786,0.7570011852727281,0.015773,-0.187497136721,0.75996956825,-0.94746670497,True,-0.1419355547329325,0.011987,-0.1539225547329325
V2,24c+32,"38,28",0.9511637258298704,0.043747,0.6037382069809285,0.039852,-0.575457234331,-0.0977366255144,-0.477720608816,True,-0.3474255188489419,-0.0038950000000000026,-0.3435305188489419
V4,24c+32,"38,28",1.1203461467947595,0.096906,0.6371683465393836,0.01233,-0.758320470374,-6.85936739659,6.10104692622,True,-0.48317780025537593,-0.08457600000000001,-0.39860180025537595
1,24c+32,"38,28",1.9279094367122824,0.054903,1.343654365847753,-0.127009,-0.434825417693,-1.43227645285,0.997451035157,True,-0.5842550708645293,-0.18191200000000002,-0.4023430708645293
3,24c+32,"38,28",1.2829066979597377,0.04628,0.9585800652428738,-0.000506,-0.338340681678,-92.4624505929,92.1241099112,True,-0.3243266327168639,-0.046786,-0.2775406327168639
MT,24c+32,"38,28",1.0929737406144893,0.175566,0.7957137509641039,0.03625,-0.373576539667,-3.8432,3.46962346033,True,-0.29725998965038536,-0.139316,-0.15794398965038536
V6,24c+32,"38,28",1.280905178182561,0.139254,1.0334799747864736,0.217226,-0.239409770322,0.358944141125,-0.598353911447,True,-0.24742520339608753,0.07797200000000001,-0.3253972033960876
DP,24c+32,"38,28",1.6046723713101942,0.199567,1.0249928396999988,-0.259572,-0.565544957153,-1.76883099872,1.20328604157,True,-0.5796795316101955,-0.459139,-0.12054053161019546
TEO,24c+32,"38,28",1.2418584068405802,0.031259,0.6959174061757398,0.072362,-0.784491084459,0.568019126061,-1.35251021052,True,-0.5459410006648404,0.041102999999999994,-0.5870440006648404
8m,24c+32,"38,28",1.0498423597491937,0.175673,0.6501226355957275,0.165189,-0.614837420308,-0.0634666957243,-0.551370724584,True,-0.39971972415346624,-0.010483999999999993,-0.38923572415346624
F4,24c+32,"38,28",1.3196973957922964,-0.015774,0.9893646123083243,0.135711,-0.333883766788,1.11623228773,-1.45011605452,True,-0.3303327834839721,0.151485,-0.4818177834839721
5,24c+32,"38,28",1.279331721207277,-0.026274,1.0572507256230494,-0.164674,-0.210055183886,-0.840448401083,0.630393217197,True,-0.22208099558422756,-0.1384,-0.08368099558422756
2,24c+32,"38,28",1.0044135633809437,0.088933,0.6921808360407817,-0.059867,-0.451085483854,-2.48550954616,2.03442406231,True,-0.31223272734016194,-0.1488,-0.16343272734016195
