area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,valid
V1,24c+32,"38,28",0.6393072013386095,0.7570011852727281,0.015773,True
V2,24c+32,"38,28",0.5397042500437795,0.6037382069809285,0.039852,True
V4,24c+32,"38,28",0.562968428718213,0.6371683465393836,0.01233,True
1,24c+32,"38,28",0.8725471892196406,1.343654365847753,-0.127009,True
3,24c+32,"38,28",0.7436428330651387,0.9585800652428738,-0.000506,True
MT,24c+32,"38,28",0.6616336956146194,0.7957137509641039,0.03625,True
V6,24c+32,"38,28",0.775300284632331,1.0334799747864736,0.217226,True
DP,24c+32,"38,28",0.7718923433905334,1.0249928396999988,-0.259572,True
TEO,24c+32,"38,28",0.6017699978902704,0.6959174061757398,0.072362,True
8m,24c+32,"38,28",0.5717525177770102,0.6501226355957275,0.165189,True
F4,24c+32,"38,28",0.7570912630339086,0.9893646123083243,0.135711,True
5,24c+32,"38,28",0.7846093478264535,1.0572507256230494,-0.164674,True
2,24c+32,"38,28",0.599381180904893,0.6921808360407817,-0.059867,True
8l,24c+32,"38,28",0.7240936036014953,0.9161975397354284,0.064032,True
F1,24c+32,"38,28",0.663469188340244,0.7989854315476566,0.014027,True
STPc,24c+32,"38,28",0.7986109515832174,1.0947656754399109,0.021164,True
7A,24c+32,"38,28",0.7755963317737941,1.0342225433578676,-0.022945,True
10,24c+32,"38,28",0.7681210575583561,1.0157286383311381,-0.259452,True
F3,24c+32,"38,28",0.8132868393410935,1.1366614358892106,0.073127,True
TEpd,24c+32,"38,28",0.5931971956758825,0.6825847666765843,0.111161,True
46d,24c+32,"38,28",0.7684703776163522,1.0165812173496889,0.036685,True
9/46v,24c+32,"38,28",0.7965382452550074,1.0890694226182536,0.097202,True
PBr,24c+32,"38,28",0.644944687839636,0.7665942259898303,0.00353,True
9/46d,24c+32,"38,28",0.7729580032133401,1.027634805351228,0.079916,True
F5,24c+32,"38,28",0.7147337232215556,0.8967950177770545,0.149549,True
7m,24c+32,"38,28",0.708360035874751,0.8838845520222316,0.047937,True
25,24c+32,"38,28",0.7844583128000839,1.0568579235105313,0.142877,True
LIP,24c+32,"38,28",0.736402787299291,0.9425743300210087,0.037658,True
32,24c+32,"38,28",0.8056754254412996,1.1145800859539874,0.704386,False
STPi,24c+32,"38,28",0.7925793108291018,1.078330885841059,0.059489,True
9,24c+32,"38,28",0.7948944691219605,1.0845884380827346,0.145686,True
45A,24c+32,"38,28",0.7310925061152538,0.931070281523176,-0.163953,True
8B,24c+32,"38,28",0.7926211489777986,1.0784434190600647,0.060359,True
7B,24c+32,"38,28",0.7462661173557156,0.9644745642790459,-0.018539,True
F2,24c+32,"38,28",0.7465291250468364,0.9650684078085177,-0.00053,True
F7,24c+32,"38,28",0.8213020048757321,1.160804854360747,-0.103096,True
ProM,24c+32,"38,28",0.6850788342462615,0.8386226437699008,-0.007453,True
STPr,24c+32,"38,28",0.7386593723714232,0.9475224882271215,0.079456,True
24c,24c+32,"38,28",0.7615576701368323,0.999913129442674,0.998232,False
OPRO,24c+32,"38,28",0.7683330497783689,1.0162459105771144,-0.01692,True
