area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,valid
V1,24c+32,"38,28",0.7388996794719259,0.9480515603745229,0.015773,True
V2,24c+32,"38,28",-0.005001228622151583,-0.005001270320167131,0.039852,True
V4,24c+32,"38,28",0.508700325534258,0.5609747855203517,0.01233,True
1,24c+32,"38,28",0.08931074656311593,0.0895493492181638,-0.127009,True
3,24c+32,"38,28",0.31448161649404016,0.3255111712996604,-0.000506,True
MT,24c+32,"38,28",0.0531603112716409,0.053210473699613334,0.03625,True
V6,24c+32,"38,28",0.05562362711164744,0.05568110011818914,0.217226,True
DP,24c+32,"38,28",0.2925167653671632,0.3013163224822001,-0.259572,True
TEO,24c+32,"38,28",0.5609856125130581,0.6342702588881178,0.072362,True
8m,24c+32,"38,28",0.33876420801742524,0.3526958691334727,0.165189,True
F4,24c+32,"38,28",0.5005240600951759,0.5500051354503233,0.135711,True
5,24c+32,"38,28",0.4704702067760121,0.5106740335051669,-0.164674,True
2,24c+32,"38,28",0.17465029109545951,0.17645928578976267,-0.059867,True
8l,24c+32,"38,28",0.061721248521332234,0.06179980411107052,0.064032,True
F1,24c+32,"38,28",0.5205248301605789,0.5770593638519267,0.014027,True
STPc,24c+32,"38,28",0.34021491894472217,0.35433556006562317,0.021164,True
7A,24c+32,"38,28",-0.10488194541731469,-0.1052690786900592,-0.022945,True
10,24c+32,"38,28",-0.14386376856415034,-0.1448687845366221,-0.259452,True
F3,24c+32,"38,28",0.7038913710692362,0.8749717896769369,0.073127,True
TEpd,24c+32,"38,28",0.652280209920159,0.7792573018934797,0.111161,True
46d,24c+32,"38,28",-0.2486533029547467,-0.2539768497289902,0.036685,True
9/46v,24c+32,"38,28",0.17827579414915243,0.18020131735895714,0.097202,True
PBr,24c+32,"38,28",0.4816444530600773,0.5251232379987562,0.00353,True
9/46d,24c+32,"38,28",-0.3519130650775093,-0.3676255536862758,0.079916,True
F5,24c+32,"38,28",0.5680677421309662,0.6446653187035347,0.149549,True
7m,24c+32,"38,28",-0.2943685679766271,-0.30334260635350896,0.047937,True
25,24c+32,"38,28",0.5731645858571264,0.6522230187274046,0.142877,True
LIP,24c+32,"38,28",-0.20551854784224466,-0.2084877215581584,0.037658,True
32,24c+32,"38,28",0.9220321863953873,1.6024211201302485,0.704386,False
STPi,24c+32,"38,28",0.3750459198945633,0.3942821153120351,0.059489,True
9,24c+32,"38,28",0.17713224027202537,0.17902047381128278,0.145686,True
45A,24c+32,"38,28",0.05926450205661587,0.059334033175456505,-0.163953,True
8B,24c+32,"38,28",-0.3052090548899731,-0.3152537501659208,0.060359,True
7B,24c+32,"38,28",-0.11757744033584026,-0.11812379402904431,-0.018539,True
F2,24c+32,"38,28",0.45628155469700604,0.49260501822420016,-0.00053,True
F7,24c+32,"38,28",0.09341789806084101,0.09369107957721226,-0.103096,True
ProM,24c+32,"38,28",0.5072923950244215,0.5590771498185153,-0.007453,True
STPr,24c+32,"38,28",0.3913197764910002,0.41335750494474416,0.079456,True
24c,24c+32,"38,28",0.8677502614515346,1.3238989115253752,0.998232,False
OPRO,24c+32,"38,28",0.64551225301364,0.7675666167856948,-0.01692,True
