area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.08747432154385708,-0.08769846223802012
V2,24c+32,"38,28",0.05982651166006791,0.05989804258373016
V4,24c+32,"38,28",0.034987561125486365,0.03500184805484591
1,24c+32,"38,28",0.5591546986851339,0.6316025351655538
3,24c+32,"38,28",0.7601499841412267,0.9965702542978854
MT,24c+32,"38,28",0.5022289502770991,0.5522825095928334
V6,24c+32,"38,28",0.6192876063003074,0.7238486822115533
DP,24c+32,"38,28",0.6195559489058162,0.7242840795185227
TEO,24c+32,"38,28",0.11194229776610841,0.11241343104594116
8m,24c+32,"38,28",0.7415448494355287,0.9539028313493
F4,24c+32,"38,28",0.8173731294008156,1.148851144551729
5,24c+32,"38,28",0.8351741304277794,1.2050025346185136
2,24c+32,"38,28",0.6373679249541206,0.7537282774242768
8l,24c+32,"38,28",0.7303678959510795,0.9295154346269631
F1,24c+32,"38,28",0.8038006191968148,1.109259890912938
STPc,24c+32,"38,28",0.7678210185487003,1.0149972291063913
7A,24c+32,"38,28",0.5569802147096267,0.6284445166674177
10,24c+32,"38,28",0.777232041957797,1.0383408587703267
F3,24c+32,"38,28",0.8627734036439256,1.304094092943209
TEpd,24c+32,"38,28",0.2295700268229396,0.23373552492160202
46d,24c+32,"38,28",0.3567050411784812,0.3731054666489739
9/46v,24c+32,"38,28",0.7271328621428259,0.9226165026590333
PBr,24c+32,"38,28",-0.03240935381485274,-0.032420708201566464
9/46d,24c+32,"38,28",0.4124529249799225,0.4385633822576855
F5,24c+32,"38,28",0.7404020248130939,0.9513686146034188
7m,24c+32,"38,28",0.07667789929629777,0.07682870757034176
25,24c+32,"38,28",0.8895127650730813,1.419587142649756
LIP,24c+32,"38,28",0.6531090808602776,0.7807013544059418
32,24c+32,"38,28",0.9517991419342561,1.8505650199937025
STPi,24c+32,"38,28",0.7576327756404972,0.9906345684169338
9,24c+32,"38,28",0.5244739494520955,0.5824915061393703
45A,24c+32,"38,28",0.7169244854868269,0.9012880908244495
8B,24c+32,"38,28",0.45365554104724887,0.4892935358148278
7B,24c+32,"38,28",0.7736880134149858,1.0294508811605536
F2,24c+32,"38,28",0.7930168717751052,1.079508799789647
F7,24c+32,"38,28",0.7070078567188426,0.8811757657568111
ProM,24c+32,"38,28",0.6256496709720238,0.7342353723898117
STPr,24c+32,"38,28",0.8687584491819766,1.3279950168751988
24c,24c+32,"38,28",0.7936655908757003,1.0812592115983422
OPRO,24c+32,"38,28",0.6518375123762343,0.7784871509283063
