area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized,reference_model_seed_fc_z_vector_normalized,reference_target_seed_fc_z_vector_normalized,model_change_valid_norm,target_change_valid_norm,model_5ht_seed_fc_z_valid_norm,target_5ht_seed_fc_z_valid_norm,reference_model_seed_fc_z_valid_norm,reference_target_seed_fc_z_valid_norm
V1,24c+32,"38,28",-0.3906987163164737,0.003786,-0.30936406897631247,0.015773,0.08133464734016121,0.011987,0.06934764734016122,True,0.0280093249941,0.0101727934356,-0.0752972729576,0.0237104649317,-0.0791210398506,0.0039481001959,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
V2,24c+32,"38,28",-0.6114324552068722,0.043747,-0.9405201868057198,0.039852,-0.32908773159884763,-0.0038950000000000026,-0.32519273159884765,True,-0.113328397274,-0.00330550016114,-0.228916711182,0.0599067677968,-0.123822192482,0.045620057916,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
V4,24c+32,"38,28",0.3125789779434819,0.096906,0.2998721501650737,0.01233,-0.012706827778408203,-0.08457600000000001,0.07186917222159181,True,-0.00437586785618,-0.0717756050395,0.072986999486,0.0185348400817,0.0633008831037,0.10105509709,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
1,24c+32,"38,28",-0.1732244028172025,0.054903,0.04771052914448566,-0.127009,0.22093493196168817,-0.18191200000000002,0.4028469319616882,True,0.0760836680828,-0.154380011634,0.0116124433837,-0.190923885153,-0.0350799588174,0.0572537097347,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
3,24c+32,"38,28",-0.3116359119643835,0.04628,-0.24751578494662413,-0.000506,0.06412012701775938,-0.046786,0.11090612701775937,True,0.0220811368222,-0.039705039933,-0.0602437887571,-0.000760634961989,-0.0631099012607,0.0482615100545,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
MT,24c+32,"38,28",-0.8066092523033638,0.175566,-1.0753560251729413,0.03625,-0.2687467728695775,-0.139316,-0.1294307728695775,True,-0.0925486978622,-0.118230824249,-0.261734908071,0.0544921291939,-0.163347766783,0.183082979132,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
V6,24c+32,"38,28",-0.9175106347962058,0.139254,-0.6119297144655094,0.217226,0.3055809203306964,0.07797200000000001,0.22760892033069638,True,0.105233324167,0.0661711061783,-0.148939852302,0.326540889828,-0.185806588216,0.145216255858,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
DP,24c+32,"38,28",-0.3669966114028981,0.199567,-0.8431130541440998,-0.259572,-0.4761164427412017,-0.459139,-0.016977442741201665,True,-0.163960877878,-0.389649303848,-0.205208426376,-0.390196716113,-0.0743210875879,0.208111598467,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
TEO,24c+32,"38,28",-0.1110514383364741,0.031259,-0.35543609560402717,0.072362,-0.24438465726755307,0.041102999999999994,-0.28548765726755304,True,-0.0841590824185,0.0348821497108,-0.0865109151113,0.108776812489,-0.0224892094884,0.0325973756005,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
8m,24c+32,"38,28",1.190529625141391,0.175673,1.5470473108710718,0.165189,0.3565176857296808,-0.010483999999999993,0.3670016857296808,True,0.122774488515,-0.0088972692399,0.376541606886,0.248317250466,0.241096113144,0.183194560411,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
F4,24c+32,"38,28",0.748544482282172,-0.015774,0.5260582691443598,0.135711,-0.22248621313781214,0.151485,-0.3739712131378121,True,-0.0766178849269,0.128558072378,0.128039281402,0.204005002622,0.151588974673,-0.0164493746672,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
5,24c+32,"38,28",-0.4538071746727682,-0.026274,-0.6545036709297951,-0.164674,-0.2006964962570269,-0.1384,-0.062296496257026907,True,-0.0691141299885,-0.117453458871,-0.159302086131,-0.247543086424,-0.0919012375835,-0.0273989393944,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
2,24c+32,"38,28",0.1479077236974803,0.088933,0.421586968241381,-0.059867,0.2736792445439007,-0.1488,0.4224792445439007,True,0.0942472999546,-0.126279441329,0.102611622378,-0.0899939392676,0.0299530364758,0.0927407276075,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
8l,24c+32,"38,28",0.6469583305819779,0.16706,0.3595982875714753,0.064032,-0.28736004301050266,-0.10302799999999998,-0.18433204301050268,True,-0.0989585754437,-0.0874349346861,0.0875239665161,0.0962548970081,0.131016595955,0.174212788887,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
F1,24c+32,"38,28",0.1566886946867534,0.023885,-0.355635453988181,0.014027,-0.5123241486749344,-0.009858,-0.5024661486749343,True,-0.176429775647,-0.00836601298807,-0.0865594376909,0.0210858233435,0.031731285358,0.024907652715,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
STPc,24c+32,"38,28",0.1193505318219935,-0.004758,-0.05265870888695886,0.021164,-0.17200924070895235,0.025922,-0.19793124070895235,True,-0.0592350601196,0.0219987612778,-0.0128167992805,0.0318143840623,0.0241698725645,-0.00496171704493,2.90384175118,1.17833907431,4.10856936546,0.665233686704,4.93798763331,0.95894222845
