area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized,reference_model_seed_fc_z_vector_normalized,reference_target_seed_fc_z_vector_normalized,model_change_valid_norm,target_change_valid_norm,model_5ht_seed_fc_z_valid_norm,target_5ht_seed_fc_z_valid_norm,reference_model_seed_fc_z_valid_norm,reference_target_seed_fc_z_valid_norm
V1,24c+32,"38,28",-0.1160941284938024,0.003786,0.1439996702933148,0.015773,0.26009379878711725,0.011987,0.24810679878711725,True,0.0993500134379,0.0101727934356,0.0499597502233,0.0237104649317,-0.0269418595014,0.0039481001959,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
V2,24c+32,"38,28",0.3501245653995311,0.043747,0.05572813750005008,0.039852,-0.294396427899481,-0.0038950000000000026,-0.290501427899481,True,-0.112452850488,-0.00330550016114,0.0193345153099,0.0599067677968,0.0812530915332,0.045620057916,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
V4,24c+32,"38,28",-0.1556611949842309,0.096906,0.09892818945058228,0.01233,0.25458938443481316,-0.08457600000000001,0.33916538443481314,True,0.0972474502764,-0.0717756050395,0.0343224927177,0.0185348400817,-0.0361241528705,0.10105509709,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
1,24c+32,"38,28",0.3182802880065614,0.054903,0.0257085932005613,-0.127009,-0.2925716948060001,-0.18191200000000002,-0.11065969480600008,True,-0.111755843261,-0.154380011634,0.0089194294145,-0.190923885153,0.0738630188519,0.0572537097347,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
3,24c+32,"38,28",0.1675473069507141,0.04628,0.06436255786228032,-0.000506,-0.10318474908843378,-0.046786,-0.05639874908843378,True,-0.0394142661468,-0.039705039933,0.0223301713676,-0.000760634961989,0.0388825521348,0.0482615100545,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
MT,24c+32,"38,28",0.6119710885525015,0.175566,0.11939545509720845,0.03625,-0.49257563345529304,-0.139316,-0.35325963345529304,True,-0.188152874198,-0.118230824249,0.0414234775837,0.0544921291939,0.142019577567,0.183082979132,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
V6,24c+32,"38,28",0.5309505572284893,0.139254,0.5003736151936116,0.217226,-0.030576942034877708,0.07797200000000001,-0.10854894203487772,True,-0.0116797079216,0.0661711061783,0.173601375493,0.326540889828,0.12321721607,0.145216255858,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
DP,24c+32,"38,28",0.4915057750187404,0.199567,-0.0759333757690221,-0.259572,-0.5674391507877625,-0.459139,-0.1083001507877625,True,-0.216749063295,-0.389649303848,-0.0263445914793,-0.390196716113,0.114063301103,0.208111598467,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
TEO,24c+32,"38,28",0.156109309241097,0.031259,0.19157148884627254,0.072362,0.03546217960517553,0.041102999999999994,-0.005640820394824463,True,0.013545759402,0.0348821497108,0.0664644836559,0.108776812489,0.0362281463412,0.0325973756005,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
8m,24c+32,"38,28",0.6400428060980776,0.175673,0.629033083738976,0.165189,-0.011009722359101581,-0.010483999999999993,-0.000525722359101588,True,-0.00420546767906,-0.0088972692399,0.218238942366,0.248317250466,0.148534155693,0.183194560411,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
F4,24c+32,"38,28",0.5987299089185673,-0.015774,0.22631614920983334,0.135711,-0.3724137597087339,0.151485,-0.5238987597087339,True,-0.142253726171,0.128558072378,0.0785189178766,0.204005002622,0.138946708973,-0.0164493746672,2.61795433928,1.17833907431,2.88231365549,0.665233686704,4.30906146207,0.95894222845
