area_name,seed_area,seed_indices,target_seed_fc_z
V1,24c+32,"38,28",0.015773
V2,24c+32,"38,28",0.039852
V4,24c+32,"38,28",0.01233
1,24c+32,"38,28",-0.127009
3,24c+32,"38,28",-0.000506
MT,24c+32,"38,28",0.03625
V6,24c+32,"38,28",0.217226
DP,24c+32,"38,28",-0.259572
TEO,24c+32,"38,28",0.072362
8m,24c+32,"38,28",0.165189
F4,24c+32,"38,28",0.135711
5,24c+32,"38,28",-0.164674
2,24c+32,"38,28",-0.059867
8l,24c+32,"38,28",0.064032
F1,24c+32,"38,28",0.014027
STPc,24c+32,"38,28",0.021164
7A,24c+32,"38,28",-0.022945
10,24c+32,"38,28",-0.259452
F3,24c+32,"38,28",0.073127
TEpd,24c+32,"38,28",0.111161
46d,24c+32,"38,28",0.036685
9/46v,24c+32,"38,28",0.097202
PBr,24c+32,"38,28",0.00353
9/46d,24c+32,"38,28",0.079916
F5,24c+32,"38,28",0.149549
7m,24c+32,"38,28",0.047937
25,24c+32,"38,28",0.142877
LIP,24c+32,"38,28",0.037658
32,24c+32,"38,28",0.704386
STPi,24c+32,"38,28",0.059489
9,24c+32,"38,28",0.145686
45A,24c+32,"38,28",-0.163953
8B,24c+32,"38,28",0.060359
7B,24c+32,"38,28",-0.018539
F2,24c+32,"38,28",-0.00053
F7,24c+32,"38,28",-0.103096
ProM,24c+32,"38,28",-0.007453
STPr,24c+32,"38,28",0.079456
24c,24c+32,"38,28",0.998232
OPRO,24c+32,"38,28",-0.01692
