% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=24690, Wed Apr  8 16:33:22 2026, <python>{}</python>
1 12 18.46011147738858 0 0 0.018088589553901916 9.050026549526544 0.18227288741078815 9.437385683485267 9.095370977266478 13.886185074047889 3.6703732570998016 3.6476416686362034 5.4553555365236654
2 24 18.714676347930645 0 0 0.019125864555002668 9.381443416440264 0.185311917978997 9.54758148203601 9.665245912120161 14.21033090696267 3.652605223154044 3.6364424446599632 5.349572368587733
3 36 18.989908157682574 0 0 0.019672688338841955 9.926656586406127 0.18422638303079478 9.937865521038868 9.764188824122902 13.927704568864215 3.6618055511619056 3.8887999397347497 5.333172768435148
4 48 21.825530132752686 0 0 0.02418092955351495 11.544090884551169 0.20747515677010997 11.418067318501105 10.937074756978213 15.855116583101173 4.614735369697267 4.449367632863831 6.449211158824904
5 60 26.969025429578775 0 0 0.029492505703005382 14.011937131403625 0.26967081570329937 14.657322179513057 14.015991543603782 20.90115608912898 5.734250066877582 5.450413382181104 7.916776343073051
6 72 34.405738060175395 0 0 0.03775390749568924 17.97464700418244 0.34479326894433054 18.856587655690248 18.81441689185491 26.713811876942803 7.240535415833657 6.9437381191936085 9.825298686668965
7 84 38.719862282356516 0 0 0.042731958277578565 21.30690778622246 0.38484496007252955 20.348039269326524 20.3658509696514 29.502181046738023 8.085820379109288 7.6039355950919285 11.0017609959579
8 96 43.640528994510674 0 0 0.0510963055790459 24.65284774959605 0.42954966289503715 22.735146621929843 22.36470390339906 33.444879861739 8.374629749571104 8.902658986599448 12.896631044147284
9 108 45.20675142075684 0 0 0.053724579450428994 24.801019693499192 0.4436399863129702 23.00701115063246 23.156851434827658 33.478728349590334 8.504085027431955 9.11219804431832 13.116982037171548
10 120 50.344559613060554 0 0 0.0641496169487126 28.527165745343947 0.4943545017356372 25.767327464060116 24.634344417145055 36.732126624345455 9.236623478301995 10.076757988365816 15.196617748719051
11 132 62.8110676587153 0 0 0.08484174480663112 36.8962537805867 0.6188049065248094 31.19778614267182 30.62548640351671 45.75518667691113 11.377886100971775 12.264412584902024 19.596645065139764
12 144 74.68070505989871 0 0 0.09963140625962062 43.52884340446111 0.7249430877680001 36.23491269901051 36.48355955515702 55.2387287233491 13.205530438437162 14.871157886132698 23.551864162688872
13 156 85.94394656105773 0 0 0.11704906024373492 50.25267419979016 0.867625244338231 40.83197195096198 42.43915909380437 62.2135720271004 14.983925239156958 16.703648918311796 28.293451582213176
14 168 104.38846743700267 0 0 0.13796865697265423 59.405838366770375 0.9966666666666666 50.33980442149705 51.05793475960908 77.48041180776639 18.19577288162462 20.31474836986717 33.22087985580477
15 180 131.77129751484242 0 0 0.17106136101164748 74.96601179326521 0.9966666666666665 62.91523276067861 64.01962000940892 99.52596807894287 23.566055000399924 25.389684627653732 42.07401708957718
16 192 156.2848866337812 0 0 0.19356678953304582 88.93918792398979 0.9966666666666667 72.93904360343079 74.14758521658601 119.80938164910721 28.395106304134487 30.24410535368631 49.26480836801014
17 204 184.46244335917854 0 0 0.23044364512052737 105.59661291097633 0.9966666666666667 84.93402772860455 88.44960907085546 134.91096684096962 33.4490625264308 35.79533542528682 59.059315632588444
18 216 206.18989997357758 0 0 0.24771164975884033 119.1545827714961 0.9966666666666667 92.15024484370942 99.10896096445767 148.57087956649397 37.33233558135891 41.58860552741325 64.63610468801521
19 228 211.93444485386274 0 0 0.24041637196508164 123.27023274101906 0.9966666666666668 93.21012189381275 102.08188257426802 151.70954789384461 37.716154263660705 42.8950694037634 61.84647874818982
20 240 204.4365920273554 0 0 0.2306464684477131 121.64326552475411 0.9511228596692426 87.27002286780036 97.24725130669904 142.4576210844327 35.776796847808775 41.26424540330927 61.4480856320855
21 252 197.8538786782147 0 0 0.20880790298285254 115.28763980380576 0.9247571273296048 84.19684710389902 93.34947733621516 140.3292417184935 34.421968190009686 39.55231036263294 58.123345762227835
22 264 196.05325014485916 0 0 0.20902433617217925 112.94586604238374 0.9966666666666668 81.61161528593986 92.2336283993796 132.11319490500742 35.71700788151162 38.97067903481218 58.050741662528466
23 276 185.79757404385947 0 0 0.18900900346079705 106.0626622912778 0.9515939673337266 76.68805726895779 88.59384542061858 119.65333749144447 33.0860115108516 37.665710440447945 54.04887635062446
24 288 189.34357815552852 0 0 0.19335126546875148 102.47640224950854 0.9546099700356556 75.6755465158951 90.72841369553566 122.61293581966989 33.928860709917004 38.379939264569956 56.83109428920336
25 300 191.98961558819843 0 0 0.18843108983728932 105.74303191583812 0.94417079137667 72.38794964527658 92.12830330741612 123.87408562917776 35.65993092741894 38.81207301376099 57.59423662808082
26 312 199.11368457928782 0 0 0.18355792088913267 106.80495678793261 0.9707061397126592 77.65954788136108 92.82195232136202 128.07112242841035 38.03744404771532 39.989728837606236 58.10761985183921
27 324 202.5869015086218 0 0 0.1814181391999551 107.61170559763646 0.9756676713129684 77.0033782991027 92.85493443521597 129.12271347834798 38.51912831921621 41.29805941530525 62.02743093081144
28 336 183.38313619502895 0 0 0.1601810472072046 95.15007335769535 0.8529649599646117 69.37027819592727 82.6428172197526 115.57871634355615 34.467662316041995 37.30873055608146 56.452987251595275
29 348 173.30092402646235 0 0 0.15195372994901335 89.89241530256751 0.8041297073962117 66.13639850434109 76.77895771623741 106.5131905745124 32.37520292707087 34.92704436829505 53.20322167035033
30 360 157.09280654096725 0 0 0.13768506640920058 79.23619906128845 0.6968291878804849 57.444603202821796 70.963325344493 95.26606470610913 28.3694036827212 32.05247386975538 49.650780641999475
31 372 166.68953441104617 0 0 0.14660316878703533 89.65006995775506 0.7459534045340802 60.949400168941764 77.28458016571463 99.14694348602784 28.977383108135157 33.91919440913011 53.031619063171696
32 384 177.93117264407337 0 0 0.15337408951972548 97.95421875929526 0.7959172137270374 64.42844370903791 83.11412352115721 103.10389263120771 30.461950552665577 37.08999119824119 58.00706084969129
33 396 160.58053627030654 0 0 0.1344773369572228 88.33682205551625 0.6832217847894008 57.364067801101825 76.3026329209163 92.3718532048975 26.949880215228816 33.37242095843569 51.3579460370492
34 408 140.66824851704854 0 0 0.11502727818490503 78.22469055707793 0.5945146687517948 47.95996218750694 67.53892188834466 79.4216293194871 23.567883002715604 29.002005405175943 45.40953551148934
35 420 136.37743155484435 0 0 0.10818315223618293 76.26704778539862 0.6075460989260268 48.01346270971878 66.61690362285674 75.02744552615776 23.356564702043467 28.067246747831756 43.65590263983451
36 432 134.99875578459768 0 0 0.10497553207396935 76.80101475529753 0.6032508240398284 47.544086646233005 63.42032965489934 75.73599056916964 22.40677846322033 28.250552875283315 42.39305158850986
37 444 139.88022101790028 0 0 0.10920771981796434 78.77646674914847 0.6418348596007688 51.18251124153009 64.26799814513576 81.12696384167982 23.656867249545442 30.053473862492492 42.880404247726496
38 456 139.53872143498432 0 0 0.10865689886346397 78.47255228952109 0.6836670569416999 52.26487823203767 61.467386089087974 78.81261741223854 24.413073921346253 29.354404102917023 42.06249600661838
39 468 138.66325055700995 0 0 0.10598835341105528 77.97193795839884 0.6658381328849513 52.74920734427922 63.25626722758812 78.06083739079625 24.08523627128884 29.32719818978936 41.734669692614716
40 480 123.91700887522855 0 0 0.0943971273275727 70.74747152710677 0.5947843900511988 45.46171773445362 56.10681308043318 70.22162806344667 21.136420426394846 26.56748315116772 37.39348801980549
41 492 116.6916836269054 0 0 0.0871621511719783 67.43378690046266 0.5619561647191996 41.620552681018175 52.65452290408338 64.58940665309092 20.206216686444087 24.482709343840856 34.91473587236602
42 504 102.52934942197295 0 0 0.07585697356294856 57.56811305985301 0.4856139843142135 35.77018672152877 45.098239753645295 57.95287517248481 17.377311938943848 21.459774393419032 30.203556980693634
43 516 93.00285730564404 0 0 0.06711772245430203 50.64794686263511 0.4433658576663331 32.57768980366095 39.66867978729613 50.843016556131104 15.162296855273551 19.48706973378131 25.318081135574914
44 528 93.32459518874802 0 0 0.06670556680287192 49.06978929131142 0.4546705154699347 33.4449380422501 40.592306300416475 50.84816120691989 15.071835155911021 19.406271378808476 25.00222603842865
45 540 98.8148311734815 0 0 0.07678287078871278 51.59474889989892 0.4937152750396763 34.711047428807944 43.50482782716315 52.6371878349469 14.622825017576547 20.622661972960294 25.51701011975129
46 552 93.22108416619248 0 0 0.07233650028430527 49.19131997374527 0.4688053215342685 33.215466287952225 40.76242150168002 48.62273052559273 13.494211919505355 19.259621925863787 24.07707310176467
47 564 89.31838549672852 0 0 0.06921162406649049 47.189359285885836 0.45458297086249533 31.073818614148887 38.437932036809116 47.06247769217812 12.901271783269651 19.773135107553017 22.878991760734426
48 576 93.86811471479407 0 0 0.07259364767312518 51.763357795041436 0.4884421140136002 31.76203874760227 41.613028671629536 49.654346809693926 13.740871840004976 22.998871473355198 23.989246419979207
49 588 96.24867469627887 0 0 0.07820528340165026 53.33945779222831 0.5057688974116948 32.22286889336598 41.671728451319844 50.023735250391475 13.87507622663626 23.654872774308092 24.95702229397547
50 600 97.87003082352335 0 0 0.08013387278218741 54.55121489404287 0.5308371978205569 34.03046783451771 40.416232501857415 50.784834275516246 14.433669070487692 25.63296429335888 24.42834613808785
51 612 102.75429902019674 0 0 0.08151071043601231 55.55839425208219 0.5876318614745556 37.45792491374223 43.00535747625625 54.06009330176193 15.211515416510627 28.00834353390829 26.67815357733263
52 624 95.74876160466468 0 0 0.07414296537535671 51.27255687067065 0.556493972513452 34.061169243575165 39.976570260202905 50.088133138642874 13.610137334360621 26.190010621533943 24.556885386870654
53 636 104.75982024173965 0 0 0.07809467318478981 56.574867516746224 0.6072798873929323 37.01460892132834 43.95338186427346 53.56116793559834 14.403291941394299 28.302669000942725 28.95780913692547
54 648 114.7152986176226 0 0 0.08367054982947775 62.97637023475647 0.6510780614941144 39.906167551583145 48.24218190245237 57.40174801945046 15.087219400665322 30.14839671254125 31.537781480511832
55 660 139.28902600784136 0 0 0.10145727774528607 75.7832633805904 0.809411414182084 47.531521673497025 59.70425045857392 71.36020124886299 17.682409557963283 36.2028454646785 41.1181749916028
56 672 153.38345118383646 0 0 0.10953693776158428 81.64841659018485 0.8793666329499356 52.0408792383868 65.04853179294456 77.9264654624804 18.80362835288962 39.793363161503486 44.40588382492549
57 684 151.49180194928812 0 0 0.10816064992230687 79.8523546361886 0.8416685392631592 49.063185314283984 64.29209077221454 76.17830659415945 17.92462741048498 38.8686652304857 43.50315930281856
58 696 135.2937212777639 0 0 0.09290685815935382 70.05128635905871 0.7476583058083689 43.223265744265774 57.67835149296787 68.52636441752598 15.838536568416018 34.77189192440903 38.1175366447593
59 708 124.13097568551605 0 0 0.08359263394644324 64.52174411995655 0.6717206630428356 39.05592093729979 53.603502819892505 61.87857272590854 13.89074310318322 31.830285304722977 35.40390540322935
60 720 121.83370490559027 0 0 0.08260537634676747 63.27098598740963 0.6446767958203677 37.751783848973396 51.88414491747677 60.40347695312834 12.84065809498061 30.718562438021266 34.740107992143635
61 732 113.70390977173746 0 0 0.07620463964052751 58.38065595634015 0.5858286355522404 34.64875946078587 47.35657222796867 55.63255698260318 11.712140439440695 28.409260047256293 31.33404429640292
62 744 107.60101606465877 0 0 0.07221136926378638 55.20311730418666 0.5526405089876419 31.952545191238908 45.13755170211811 53.53388457658577 10.902897301480852 26.41136215541906 28.76824434303752
63 756 102.26773664960841 0 0 0.0693990147355144 52.09771990205928 0.5197269843158489 29.33792749499477 44.0166504852858 52.44982232240728 10.106918480307408 25.643409859692202 26.815687185745645
64 768 100.89894928442703 0 0 0.06688664802479947 50.256688536833465 0.49891361031973347 27.53217290973661 43.37248637941162 50.65359397765281 9.80347988536637 26.184496949017483 27.60778457649487
65 780 95.74623018799916 0 0 0.0628029460272294 47.66301847042493 0.4672500014731548 24.751299807136764 40.57552528397174 47.78025666956792 8.831101969277405 25.198163425189232 25.728356570422502
66 792 88.33152707001861 0 0 0.05576095496930217 42.93420901907044 0.42659981396350194 22.619433899150092 36.204357324000384 44.702390118630326 7.999732867783779 23.450261757534935 23.651499278442657
67 804 78.23987376596101 0 0 0.04951704176340535 38.27429597206253 0.3500684666280931 18.93933950134192 32.029731374644705 38.64848560394227 6.711884708593288 20.003586677504394 20.106715761918615
68 816 76.12039040714532 0 0 0.047236700019930175 35.47818085456002 0.35014957439645955 18.354533441441422 31.84326135218626 36.621040497893574 6.5071658295819566 19.296609128346486 18.940239729310928
69 828 70.12841365209736 0 0 0.04302583865412832 33.500670863105434 0.3157588436813945 16.249545895206353 28.308825328904003 33.88149960990512 5.746792248865751 17.930386660626727 17.92408198241669
70 840 70.45554507282166 0 0 0.04175934681925271 33.65781313157001 0.3084400094023165 16.131561101419557 27.92302633671468 33.67249838685193 5.613599545349825 18.244441213794243 18.030216663179754
71 852 65.00133460511913 0 0 0.038692944080790236 30.40897373530568 0.2700673851389882 14.080563218311825 25.774457260487022 30.484837272358444 4.87507640336345 16.617180108857 16.734587989805597
72 864 64.07576690182901 0 0 0.03813790645374818 29.497058195167522 0.27223298322893136 13.785542893536286 25.851637857028233 28.913949659596806 4.6478920255338805 16.305143027641563 16.528756112601158
73 876 62.17834307594977 0 0 0.036939315030250726 28.4319179165676 0.26203173066822655 13.300017463453846 25.08801187646362 28.120570996991674 4.403535086124295 15.930054542964374 16.436753329080148
74 888 62.297378810326805 0 0 0.03694660926132771 28.442506653221184 0.2594245585731873 12.646687494997208 25.24012499758602 27.863846062707825 4.299945923668906 16.159568422533003 16.057891034498837
75 900 58.85660300789271 0 0 0.033648447902332644 26.937585655307178 0.23960895805413174 11.792130723525894 23.48788480663583 26.04549110410291 4.042858596600751 15.996228301148756 15.17883013583218
76 912 57.102118686317986 0 0 0.03210412633386578 25.54416380980168 0.23619958962033633 11.460737429678174 22.81132638211222 24.68088980924675 3.6421888663149886 15.343366239722632 14.9350459437422
77 924 53.69509918273811 0 0 0.029782766830669206 23.32786647825071 0.22583293175817148 11.002227314142992 21.237271093063434 22.07245403740863 3.330607859530831 13.836977551014078 14.10429769438535
78 936 53.98602684552322 0 0 0.02972544313002856 23.086496897472085 0.22806552520354506 11.139747378463127 21.567638821223433 21.926299446426288 3.258544051575942 13.740592979770698 14.139911940039632
