area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.014697364419710902,-0.014698422828471575
V2,24c+32,"38,28",0.1010531322616266,0.10139923126639129
V4,24c+32,"38,28",0.4917838471468212,0.5384105204397165
1,24c+32,"38,28",-0.055944273477269456,-0.05600274740442294
3,24c+32,"38,28",0.09717869939147815,0.09748635333225088
MT,24c+32,"38,28",0.2703446327801387,0.27723559203216075
V6,24c+32,"38,28",0.3219727726896935,0.33384648962290864
DP,24c+32,"38,28",0.18534165818744386,0.18750875915598494
TEO,24c+32,"38,28",0.20067051408743194,0.20343110392283376
8m,24c+32,"38,28",0.21018561710039235,0.21336553494451158
F4,24c+32,"38,28",-0.10101956831089097,-0.10136532114951147
5,24c+32,"38,28",-0.12093463486597224,-0.12152942686110801
2,24c+32,"38,28",0.19562054582187163,0.19817474950772362
8l,24c+32,"38,28",0.2024810984036234,0.20531837391684574
F1,24c+32,"38,28",-0.13619170573942038,-0.1370432387770184
STPc,24c+32,"38,28",-0.08454577958925769,-0.08474809207360776
7A,24c+32,"38,28",0.37535306615531605,0.3946395841283641
10,24c+32,"38,28",0.43386332978182085,0.46464609688002706
F3,24c+32,"38,28",-0.02475064068169696,-0.024755696573245792
TEpd,24c+32,"38,28",0.05653146314693786,0.05659180008687307
46d,24c+32,"38,28",0.44790627949857204,0.4820780156825928
9/46v,24c+32,"38,28",0.3500539100926357,0.36550519159553935
PBr,24c+32,"38,28",0.0971497654141017,0.09745714358895563
9/46d,24c+32,"38,28",0.30106405270090636,0.3106893037336256
F5,24c+32,"38,28",0.22252071868666032,0.2263065865682682
7m,24c+32,"38,28",0.2490174085728863,0.2543649885324245
25,24c+32,"38,28",0.35051428064977164,0.3660299493970505
LIP,24c+32,"38,28",0.12286589380279973,0.12348981720632926
32,24c+32,"38,28",0.6448037334951034,0.7663529225196497
STPi,24c+32,"38,28",0.040681597854585895,0.04070406274481971
9,24c+32,"38,28",0.5403628148681912,0.6046679057153757
45A,24c+32,"38,28",0.36274598181575685,0.38004434930590897
8B,24c+32,"38,28",0.5866013025481958,0.6724684827055882
7B,24c+32,"38,28",0.18916613601771154,0.19147221730304925
F2,24c+32,"38,28",-0.14215663109774757,-0.14312600339593534
F7,24c+32,"38,28",0.23133073215467034,0.23559498171518198
ProM,24c+32,"38,28",0.14475760335645363,0.14578162992411453
STPr,24c+32,"38,28",0.11447877453958734,0.11498284042630555
24c,24c+32,"38,28",0.3446089916652457,0.35931326021934146
OPRO,24c+32,"38,28",0.5783551594350066,0.6599875978920337
