area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
V1,24c+32,"38,28",0.7461761700848457,0.003786,0.6935897370753846,0.015773,-0.0758177784337,0.75996956825,-0.835787346683,True,-0.05258643300946109,0.011987,-0.06457343300946108
V2,24c+32,"38,28",0.433574117899103,0.043747,0.36821869965532444,0.039852,-0.177490763791,-0.0977366255144,-0.0797541382761,True,-0.06535541824377855,-0.0038950000000000026,-0.06146041824377855
V4,24c+32,"38,28",0.8492759530252233,0.096906,0.7587586156336839,0.01233,-0.11929661888,-6.85936739659,6.74007077771,True,-0.09051733739153944,-0.08457600000000001,-0.005941337391539431
1,24c+32,"38,28",0.3124201073807229,0.054903,0.25852729604102115,-0.127009,-0.208460816962,-1.43227645285,1.22381563589,True,-0.05389281133970175,-0.18191200000000002,0.12801918866029827
3,24c+32,"38,28",0.0480471777315874,0.04628,-0.012152226710645642,-0.000506,-4.95377562282,-92.4624505929,87.5086749701,True,-0.06019940444223304,-0.046786,-0.013413404442233039
MT,24c+32,"38,28",0.7166797471467823,0.175566,0.6432208916429277,0.03625,-0.114204710168,-3.8432,3.72899528983,True,-0.07345885550385456,-0.139316,0.06585714449614544
V6,24c+32,"38,28",1.2286927275636148,0.139254,1.1628368847089539,0.217226,-0.0566337753133,0.358944141125,-0.415577916438,True,-0.06585584285466095,0.07797200000000001,-0.14382784285466096
DP,24c+32,"38,28",0.7958969344318417,0.199567,0.777557813411147,-0.259572,-0.0235855401417,-1.76883099872,1.74524545858,True,-0.018339121020694682,-0.459139,0.44079987897930534
TEO,24c+32,"38,28",0.4018601794687245,0.031259,0.3547474474005143,0.072362,-0.132806401888,0.568019126061,-0.700825527949,True,-0.047112732068210206,0.041102999999999994,-0.0882157320682102
8m,24c+32,"38,28",1.406813074643365,0.175673,1.4464096066612198,0.165189,0.027375739096,-0.0634666957243,0.0908424348203,True,0.039596532017854846,-0.010483999999999993,0.05008053201785484
F4,24c+32,"38,28",0.9897390940446724,-0.015774,1.0194825007934467,0.135711,0.0291750046966,1.11623228773,-1.08705728303,True,0.029743406748774293,0.151485,-0.12174159325122572
5,24c+32,"38,28",0.3008636623532917,-0.026274,0.40425259401640923,-0.164674,0.255753291861,-0.840448401083,1.09620169294,True,0.10338893166311752,-0.1384,0.24178893166311752
2,24c+32,"38,28",0.1154895486420036,0.088933,0.020143115377835755,-0.059867,-4.73345018761,-2.48550954616,-2.24794064144,True,-0.09534643326416785,-0.1488,0.05345356673583214
