area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized,reference_model_seed_fc_z_vector_normalized,reference_target_seed_fc_z_vector_normalized,model_change_valid_norm,target_change_valid_norm,model_5ht_seed_fc_z_valid_norm,target_5ht_seed_fc_z_valid_norm,reference_model_seed_fc_z_valid_norm,reference_target_seed_fc_z_valid_norm
V1,24c+32,"38,28",0.8989367400056606,0.003786,0.7570011852727281,0.015773,-0.1419355547329325,0.011987,-0.1539225547329325,True,-0.0486074659256,0.0101727934356,0.128873058568,0.0237104649317,0.107373087473,0.0039481001959,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
V2,24c+32,"38,28",0.9511637258298704,0.043747,0.6037382069809285,0.039852,-0.3474255188489419,-0.0038950000000000026,-0.3435305188489419,True,-0.11897987154,-0.00330550016114,0.102781330891,0.0599067677968,0.113611315891,0.045620057916,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
V4,24c+32,"38,28",1.1203461467947595,0.096906,0.6371683465393836,0.01233,-0.48317780025537593,-0.08457600000000001,-0.39860180025537595,True,-0.165469804279,-0.0717756050395,0.108472529818,0.0185348400817,0.133819232729,0.10105509709,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
1,24c+32,"38,28",1.9279094367122824,0.054903,1.343654365847753,-0.127009,-0.5842550708645293,-0.18191200000000002,-0.4023430708645293,True,-0.200084880088,-0.154380011634,0.228745808004,-0.190923885153,0.230278260278,0.0572537097347,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
3,24c+32,"38,28",1.2829066979597377,0.04628,0.9585800652428738,-0.000506,-0.3243266327168639,-0.046786,-0.2775406327168639,True,-0.111069391867,-0.039705039933,0.163190160456,-0.000760634961989,0.153236203361,0.0482615100545,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
MT,24c+32,"38,28",1.0929737406144893,0.175566,0.7957137509641039,0.03625,-0.29725998965038536,-0.139316,-0.15794398965038536,True,-0.101800108121,-0.118230824249,0.135463545932,0.0544921291939,0.130549748201,0.183082979132,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
V6,24c+32,"38,28",1.280905178182561,0.139254,1.0334799747864736,0.217226,-0.24742520339608753,0.07797200000000001,-0.3253972033960876,True,-0.0847336114326,0.0661711061783,0.175941237492,0.326540889828,0.152997132747,0.145216255858,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
DP,24c+32,"38,28",1.6046723713101942,0.199567,1.0249928396999988,-0.259572,-0.5796795316101955,-0.459139,-0.12054053161019546,True,-0.198517933956,-0.389649303848,0.174496374421,-0.390196716113,0.191669356944,0.208111598467,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
TEO,24c+32,"38,28",1.2418584068405802,0.031259,0.6959174061757398,0.072362,-0.5459410006648404,0.041102999999999994,-0.5870440006648404,True,-0.18696378534,0.0348821497108,0.118474061058,0.108776812489,0.148333209015,0.0325973756005,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
8m,24c+32,"38,28",1.0498423597491937,0.175673,0.6501226355957275,0.165189,-0.39971972415346624,-0.010483999999999993,-0.38923572415346624,True,-0.136888624617,-0.0088972692399,0.110677888124,0.248317250466,0.125397940155,0.183194560411,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
F4,24c+32,"38,28",1.3196973957922964,-0.015774,0.9893646123083243,0.135711,-0.3303327834839721,0.151485,-0.4818177834839721,True,-0.113126267393,0.128558072378,0.168430969605,0.204005002622,0.157630651424,-0.0164493746672,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
5,24c+32,"38,28",1.279331721207277,-0.026274,1.0572507256230494,-0.164674,-0.22208099558422756,-0.1384,-0.08368099558422756,True,-0.0760541954826,-0.117453458871,0.179988007067,-0.247543086424,0.152809191899,-0.0273989393944,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
2,24c+32,"38,28",1.0044135633809437,0.088933,0.6921808360407817,-0.059867,-0.31223272734016194,-0.1488,-0.16343272734016195,True,-0.10692769464,-0.126279441329,0.117837941549,-0.0899939392676,0.119971718365,0.0927407276075,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
8l,24c+32,"38,28",1.6475090717567826,0.16706,0.9161975397354284,0.064032,-0.7313115320213542,-0.10302799999999998,-0.6282835320213542,True,-0.250446059415,-0.0874349346861,0.155974893429,0.0962548970081,0.196785967023,0.174212788887,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
F1,24c+32,"38,28",0.903177831181678,0.023885,0.7989854315476566,0.014027,-0.1041923996340215,-0.009858,-0.09433439963402149,True,-0.0356818876317,-0.00836601298807,0.13602052192,0.0210858233435,0.107879662667,0.024907652715,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
STPc,24c+32,"38,28",1.6491299035644675,-0.004758,1.0947656754399109,0.021164,-0.5543642281245567,0.025922,-0.5802862281245567,True,-0.189848416626,0.0219987612778,0.186374610442,0.0318143840623,0.196979566536,-0.00496171704493,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
7A,24c+32,"38,28",1.5086522605370765,0.03126,1.0342225433578676,-0.022945,-0.4744297171792089,-0.054205,-0.4202247171792089,True,-0.162473922445,-0.0460011903042,0.17606765352,-0.0344916387408,0.18020027876,0.0325984184162,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
10,24c+32,"38,28",1.6460644686689976,0.313056,1.0157286383311381,-0.259452,-0.6303358303378594,-0.572508,-0.05782783033785943,True,-0.215865767055,-0.485860150515,0.172919222379,-0.390016328375,0.196613417068,0.326459708116,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
F3,24c+32,"38,28",1.4494014797453727,0.09415,1.1366614358892106,0.073127,-0.31274004385616205,-0.021023,-0.29171704385616204,True,-0.107101431026,-0.0178412143486,0.19350700983,0.109926784319,0.173123096367,0.0981810970533,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
TEpd,24c+32,"38,28",1.238158472471126,0.016372,0.6825847666765843,0.111161,-0.5555737057945418,0.094789,-0.6503627057945418,True,-0.190262616188,0.0804428895442,0.116204291783,0.167100677885,0.147891272048,0.0170729784488,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
46d,24c+32,"38,28",1.660358170457962,0.337073,1.0165812173496889,0.036685,-0.6437769531082731,-0.300388,-0.3433889531082731,True,-0.2204688344,-0.254924924879,0.173064366756,0.0551460347442,0.198320721736,0.351505012502,2.92003608973,1.17833907431,5.87400651217,0.665233686704,8.37208616388,0.95894222845
