area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized,reference_model_seed_fc_z_vector_normalized,reference_target_seed_fc_z_vector_normalized,model_change_valid_norm,target_change_valid_norm,model_5ht_seed_fc_z_valid_norm,target_5ht_seed_fc_z_valid_norm,reference_model_seed_fc_z_valid_norm,reference_target_seed_fc_z_valid_norm
V1,24c+32,"38,28",-0.4423850674782738,0.003786,-0.7616230070388516,0.015773,-0.3192379395605778,0.011987,-0.3312249395605778,True,-0.0826697569657,0.0101727934356,-0.293470229934,0.0237104649317,-0.0956312529171,0.0039481001959,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
V2,24c+32,"38,28",-0.0251971866655661,0.043747,-0.06431863528511236,0.039852,-0.039121448619546265,-0.0038950000000000026,-0.03522644861954626,True,-0.0101308780967,-0.00330550016114,-0.0247833961313,0.0599067677968,-0.00544692555866,0.045620057916,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
V4,24c+32,"38,28",-0.3536837651037046,0.096906,0.32152432555576005,0.01233,0.6752080906594646,-0.08457600000000001,0.7597840906594646,True,0.174851675941,-0.0717756050395,0.12389045089,0.0185348400817,-0.0764565173642,0.10105509709,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
1,24c+32,"38,28",-0.5862643442753006,0.054903,-0.08238213591743909,-0.127009,0.5038822083578616,-0.18191200000000002,0.6857942083578616,True,0.130485179054,-0.154380011634,-0.0317436633961,-0.190923885153,-0.126733920074,0.0572537097347,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
3,24c+32,"38,28",0.2380181043124388,0.04628,0.03261097234382673,-0.000506,-0.20540713196861207,-0.046786,-0.15862113196861208,True,-0.0531921666398,-0.039705039933,0.0125657306353,-0.000760634961989,0.0514528432483,0.0482615100545,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
MT,24c+32,"38,28",0.6325988069584402,0.175566,0.24663883142960527,0.03625,-0.3859599755288349,-0.139316,-0.24664397552883488,True,-0.0999480745282,-0.118230824249,0.095035409778,0.0544921291939,0.136750132296,0.183082979132,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
V6,24c+32,"38,28",0.5146898945634181,0.139254,0.4120784804425324,0.217226,-0.10261141412088565,0.07797200000000001,-0.18058341412088566,True,-0.0265722197022,0.0661711061783,0.15878297437,0.326540889828,0.111261530054,0.145216255858,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
DP,24c+32,"38,28",0.1856217345621863,0.199567,0.4072297863304216,-0.259572,0.2216080517682353,-0.459139,0.6807470517682354,True,0.0573875517632,-0.389649303848,0.156914665032,-0.390196716113,0.0401262166149,0.208111598467,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
TEO,24c+32,"38,28",-0.6770565920866738,0.031259,0.05458274794407223,0.072362,0.731639340030746,0.041102999999999994,0.690536340030746,True,0.189465094625,0.0348821497108,0.0210319428924,0.108776812489,-0.146360659428,0.0325973756005,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
8m,24c+32,"38,28",-0.2224768121751306,0.175673,-0.2693005010039339,0.165189,-0.04682368882880328,-0.010483999999999993,-0.036339688828803285,True,-0.0121254478119,-0.0088972692399,-0.103767453478,0.248317250466,-0.0480932514621,0.183194560411,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
F4,24c+32,"38,28",-0.0595084956497605,-0.015774,0.010793093212623187,0.135711,0.07030158886238369,0.151485,-0.08118341113761632,True,0.0182052774603,0.128558072378,0.00415881809968,0.204005002622,-0.0128640689222,-0.0164493746672,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
5,24c+32,"38,28",-0.6256038835875025,-0.026274,0.1728906511860223,-0.164674,0.7984945347735248,-0.1384,0.9368945347735248,True,0.206777894943,-0.117453458871,0.0666186009194,-0.247543086424,-0.135238025909,-0.0273989393944,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
2,24c+32,"38,28",0.7242390322897572,0.088933,0.5607676376787292,-0.059867,-0.163471394611028,-0.1488,-0.01467139461102801,True,-0.0423325012119,-0.126279441329,0.216076203119,-0.0899939392676,0.156560180623,0.0927407276075,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
8l,24c+32,"38,28",0.6960067403423809,0.16706,-0.3024108024550738,0.064032,-0.9984175427974546,-0.10302799999999998,-0.8953895427974546,True,-0.258549894561,-0.0874349346861,-0.116525586689,0.0962548970081,0.150457150367,0.174212788887,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
F1,24c+32,"38,28",-0.2375525085553724,0.023885,-0.07129218406341059,0.014027,0.16626032449196182,-0.009858,0.17611832449196183,True,0.0430547216214,-0.00836601298807,-0.0274704590804,0.0210858233435,-0.0513521944948,0.024907652715,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
STPc,24c+32,"38,28",-0.9718002044124364,-0.004758,-0.05303991141534556,0.021164,0.9187602929970908,0.025922,0.8928382929970908,True,0.237921878071,0.0219987612778,-0.0204374537729,0.0318143840623,-0.21007596767,-0.00496171704493,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
7A,24c+32,"38,28",-0.7780199589060032,0.03126,-0.18609703754129167,-0.022945,0.5919229213647115,-0.054205,0.6461279213647115,True,0.153284174553,-0.0460011903042,-0.0717073143701,-0.0344916387408,-0.168186109646,0.0325984184162,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
10,24c+32,"38,28",0.9473954179237412,0.313056,0.4193280594324326,-0.259452,-0.5280673584913085,-0.572508,0.044440641508691536,True,-0.136748157967,-0.485860150515,0.161576397879,-0.390016328375,0.204800336821,0.326459708116,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
F3,24c+32,"38,28",0.96704169568119,0.09415,0.0024446414535056237,0.073127,-0.9645970542276844,-0.021023,-0.9435740542276844,True,-0.249791751421,-0.0178412143486,0.000941974550185,0.109926784319,0.209047311448,0.0981810970533,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
TEpd,24c+32,"38,28",0.0042745248475903,0.016372,0.3476404876640281,0.111161,0.34336596281643783,0.094789,0.24857696281643782,True,0.0889179423204,0.0804428895442,0.13395358715,0.167100677885,0.000924032470469,0.0170729784488,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
46d,24c+32,"38,28",1.1832642855023168,0.337073,0.41421379100795164,0.036685,-0.7690504944943651,-0.300388,-0.46866249449436514,True,-0.199153075482,-0.254924924879,0.159605756871,0.0551460347442,0.255788575324,0.351505012502,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
9/46v,24c+32,"38,28",-0.0652733520584627,0.2712,0.17533511082568082,0.097202,0.2406084628841435,-0.17399799999999999,0.4146064628841435,True,0.0623078922821,-0.147663778444,0.0675605054127,0.146117074259,-0.0141102693069,0.282811614667,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
PBr,24c+32,"38,28",-0.0640599239556705,0.032065,0.23958271385987134,0.00353,0.30364263781554185,-0.028535000000000005,0.3321776378155419,True,0.0786312025042,-0.0242162893705,0.0923165312429,0.00530640596012,-0.0138479601596,0.0334378850453,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
9/46d,24c+32,"38,28",0.4788533931583822,0.245636,0.0972236081289419,0.079916,-0.38162978502944034,-0.16571999999999998,-0.21590978502944036,True,-0.0988267297511,-0.140638635868,0.0374624116773,0.120132220597,0.103514682836,0.256153074411,3.86160491186,1.17833907431,2.59523089347,0.665233686704,4.6259465811,0.95894222845
