area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",-0.13407496033535468,-0.13488711957712485,0.003786,-0.13867311957712486,0.01923023409325157,True
V2,24c+32,"38,28",-0.4683563966925513,-0.5079628052482571,0.043747,-0.5517098052482571,0.30438370920706975,True
V4,24c+32,"38,28",-0.5218198702029013,-0.5788373393061114,0.096906,-0.6757433393061114,0.45662906061657443,True
1,24c+32,"38,28",-0.42022550781113477,-0.44796586246981523,0.054903,-0.5028688624698152,0.2528770928416859,True
3,24c+32,"38,28",-0.15350266985738822,-0.15472567230471063,0.04628,-0.20100567230471061,0.04040328029866871,True
MT,24c+32,"38,28",0.6531942059348919,0.7808498129418061,0.175566,0.6052838129418061,0.36636849420937134,True
V6,24c+32,"38,28",0.03739245455639895,0.037409896513631254,0.139254,-0.10184410348636874,0.010372221414942186,True
DP,24c+32,"38,28",-0.6307649663429699,-0.74268554968062,0.199567,-0.94225254968062,0.8878398673796293,True
TEO,24c+32,"38,28",-0.6982890843541618,-0.8639536381602567,0.031259,-0.8952126381602568,0.8014056675218468,True
8m,24c+32,"38,28",0.9146616148724911,1.5553359144062133,0.175673,1.3796629144062134,1.9034697573878465,True
F4,24c+32,"38,28",0.551715647935742,0.6208443609612962,-0.015774,0.6366183609612962,0.4052829375130472,True
5,24c+32,"38,28",-0.8621765602497212,-1.3017639161741934,-0.026274,-1.2754899161741935,1.6268745262620512,True
2,24c+32,"38,28",0.6098329747957648,0.7086553965185967,0.088933,0.6197223965185966,0.3840558487467527,True
8l,24c+32,"38,28",0.9453693532732127,1.7863060581166101,0.16706,1.6192460581166102,2.6219577967261802,True
F1,24c+32,"38,28",-0.42337904290248535,-0.4518019004785245,0.023885,-0.47568690047852447,0.22627802728686564,True
STPc,24c+32,"38,28",-0.8627453778617739,-1.3039844657375175,-0.004758,-1.2992264657375174,1.6879894092728005,True
7A,24c+32,"38,28",-0.857467770020685,-1.2837006378727733,0.03126,-1.3149606378727734,1.729121479154771,True
10,24c+32,"38,28",0.9203463664839718,1.5912865970576286,0.313056,1.2782305970576286,1.6338734592543018,True
F3,24c+32,"38,28",0.963704058237681,1.9954409282712255,0.09415,1.9012909282712256,3.6149071939264585,True
TEpd,24c+32,"38,28",-0.7683370082670956,-1.0162555734105072,0.016372,-1.0326275734105073,1.0663197053676725,True
46d,24c+32,"38,28",0.9729137295780967,2.0,0.337073,1.662927,2.765326207329,True
9/46v,24c+32,"38,28",0.9618226424108649,1.9696933165532862,0.2712,1.6984933165532863,2.884879546376182,True
PBr,24c+32,"38,28",-0.7630414545860038,-1.0034552419062241,0.032065,-1.0355202419062242,1.072302171397525,True
9/46d,24c+32,"38,28",0.9904165100183583,2.0,0.245636,1.754364,3.077793044496,True
F5,24c+32,"38,28",0.39435052636781853,0.41694131049001637,0.081314,0.3356273104900164,0.11264569154676185,True
7m,24c+32,"38,28",0.45272109726316834,0.4881175730280762,-0.082866,0.5709835730280761,0.32602224066790836,True
25,24c+32,"38,28",-0.228674258700875,-0.23279012616510206,-0.168438,-0.06435212616510205,0.004141196141969212,True
LIP,24c+32,"38,28",-0.7687948631448874,-1.0173741853046099,0.063567,-1.0809411853046098,1.1684338460877348,True
32,24c+32,"38,28",0.9866207485643768,2.0,0.812202,1.187798,1.4108640888039998,False
STPi,24c+32,"38,28",-0.6955749072499693,-0.8586760422796423,0.028622,-0.8872980422796424,0.7872978158332861,True
9,24c+32,"38,28",0.9386113448763145,1.7262510730152312,0.358544,1.3677070730152312,1.870622637575891,True
45A,24c+32,"38,28",0.9888501524914952,2.0,0.22115,1.77885,3.1643073225,True
8B,24c+32,"38,28",0.9500988050902248,1.8327951854963687,0.223581,1.6092141854963686,2.589570294802741,True
7B,24c+32,"38,28",-0.6621869981034327,-0.7966984947147348,0.111312,-0.9080104947147347,0.8244830585120972,True
F2,24c+32,"38,28",-0.7331114472321447,-0.9354212152982531,-0.024718,-0.910703215298253,0.8293803463545762,True
F7,24c+32,"38,28",0.7890602683371795,1.068936655238963,0.25606,0.812876655238963,0.660768456632484,True
ProM,24c+32,"38,28",0.5941976815791046,0.6841298635609228,0.004375,0.6797548635609227,0.4620666745347287,True
STPr,24c+32,"38,28",-0.6941675039571797,-0.8559545987658662,-0.05701,-0.7989445987658662,0.6383124718971509,True
24c,24c+32,"38,28",0.990649868092937,2.0,1.081141,0.9188590000000001,0.8443018618810002,False
OPRO,24c+32,"38,28",0.5653540141889202,0.6406677052558233,0.176695,0.4639727052558233,0.21527067122240706,True
