area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",-0.41561946826040597,-0.44238506747827383,0.003786,-0.44617106747827384,0.1990686214547024,True
V2,24c+32,"38,28",-0.025191855469849117,-0.0251971866655661,0.043747,-0.06894418666556609,0.004753300874976421,True
V4,24c+32,"38,28",-0.33963843901400453,-0.35368376510370464,0.096906,-0.45058976510370463,0.2030311364162117,True
1,24c+32,"38,28",-0.5272035677733372,-0.5862643442753006,0.054903,-0.6411673442753006,0.4110955633650419,True
3,24c+32,"38,28",0.23362289465188785,0.2380181043124388,0.04628,0.19173810431243882,0.03676350064532767,True
MT,24c+32,"38,28",0.5598391006534623,0.6325988069584402,0.175566,0.4570328069584402,0.20887898663631085,True
V6,24c+32,"38,28",0.47359127470489715,0.5146898945634181,0.139254,0.3754358945634181,0.14095211092663398,True
DP,24c+32,"38,28",0.18351882041264195,0.1856217345621863,0.199567,-0.013945265437813686,0.00019447042813108093,True
TEO,24c+32,"38,28",-0.5896025399361797,-0.6770565920866738,0.031259,-0.7083155920866738,0.5017109779930953,True
8m,24c+32,"38,28",-0.21887749041120788,-0.22247681217513063,0.175673,-0.3981498121751306,0.1585232729350918,True
F4,24c+32,"38,28",-0.05943834997039818,-0.059508495649760566,-0.015774,-0.04373449564976056,0.0019127061097389255,True
5,24c+32,"38,28",-0.5550177228636161,-0.6256038835875025,-0.026274,-0.5993298835875025,0.35919630936100927,True
2,24c+32,"38,28",0.6195281922619651,0.7242390322897572,0.088933,0.6353060322897571,0.40361375466375393,True
8l,24c+32,"38,28",0.6018269786681429,0.6960067403423809,0.16706,0.5289467403423809,0.2797846541188301,True
F1,24c+32,"38,28",-0.2331826630976383,-0.2375525085553724,0.023885,-0.2614375085553724,0.06834957087964041,True
STPc,24c+32,"38,28",-0.749494306541713,-0.9718002044124365,-0.004758,-0.9670422044124365,0.9351706251148646,True
7A,24c+32,"38,28",-0.65156874474413,-0.7780199589060032,0.03126,-0.8092799589060031,0.6549340518869021,True
10,24c+32,"38,28",0.7386016284510651,0.9473954179237413,0.313056,0.6343394179237413,0.4023864971318309,True
F3,24c+32,"38,28",0.7474014021738374,0.9670416956811899,0.09415,0.87289169568119,0.7619399123891831,True
TEpd,24c+32,"38,28",0.004274498813697703,0.004274524847590313,0.016372,-0.012097475152409689,0.00014634890506316984,True
46d,24c+32,"38,28",0.8284781416749427,1.1832642855023168,0.337073,0.8461912855023168,0.7160396916600634,True
9/46v,24c+32,"38,28",-0.06518080832956656,-0.0652733520584627,0.2712,-0.3364733520584627,0.11321431664545817,True
PBr,24c+32,"38,28",-0.06397244054247936,-0.06405992395567058,0.032065,-0.09612492395567057,0.00924000100548345,True
9/46d,24c+32,"38,28",0.4453248613898708,0.47885339315838227,0.245636,0.23321739315838227,0.05439035247159145,True
F5,24c+32,"38,28",-0.21483377758473174,-0.2182335470883295,0.081314,-0.29954754708832954,0.089728732966635,True
7m,24c+32,"38,28",0.43840706020826514,0.4702571455224015,-0.082866,0.5531231455224015,0.30594521411259573,True
25,24c+32,"38,28",0.4765748353553353,0.5185431580332664,-0.168438,0.6869811580332664,0.4719431114927278,True
LIP,24c+32,"38,28",-0.1117282838554067,-0.11219670653221081,0.063567,-0.1757637065322108,0.030892880533941118,True
32,24c+32,"38,28",0.95251267176922,1.858204735177107,0.812202,1.0460027351771068,1.0941217219979886,False
STPi,24c+32,"38,28",0.014783682436101547,0.014784759604432233,0.028622,-0.013837240395567768,0.00019146922176473247,True
9,24c+32,"38,28",0.9310775995594628,1.6664261136982272,0.358544,1.3078821136982273,1.7105556233317427,True
45A,24c+32,"38,28",0.9200621007883105,1.5894313676425176,0.22115,1.3682813676425176,1.8721939010376785,True
8B,24c+32,"38,28",0.9396651542840424,1.7351804134383761,0.223581,1.5115994134383761,2.284932786707243,True
7B,24c+32,"38,28",-0.6695965843293972,-0.8100114651898377,0.111312,-0.9213234651898377,0.84883692750941,True
F2,24c+32,"38,28",-0.3149383106154121,-0.3260180698644416,-0.024718,-0.3013000698644416,0.09078173210031737,True
F7,24c+32,"38,28",0.9100099645711638,1.5275823956683863,0.25606,1.2715223956683863,1.6167692026862723,True
ProM,24c+32,"38,28",0.45223208204703125,0.4875026644372566,0.004375,0.4831276644372566,0.23341234014459838,True
STPr,24c+32,"38,28",-0.18435417671815169,-0.18648634290389618,-0.05701,-0.12947634290389617,0.016764123371767307,True
24c,24c+32,"38,28",0.8249189761532552,1.172021004108786,1.081141,0.09088000410878605,0.008259175146812969,False
OPRO,24c+32,"38,28",0.7013100920242401,0.8698739687283902,0.176695,0.6931789687283902,0.48049708268735464,True
