area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
V1,24c+32,"38,28",-0.4558734988837386,0.003786,0.7730751451355619,0.015773,1.2289486440193005,0.011987,1.2169616440193005,True,0.35775324893,0.0180192317972,3.43518513863,0.665233686704,0.225046136944,0.0237104649317
V2,24c+32,"38,28",0.2375117341989203,0.043747,0.6513266667601967,0.039852,0.4138149325612764,-0.0038950000000000026,0.41770993256127636,True,0.120463647769,-0.00585508532993,3.43518513863,0.665233686704,0.189604530899,0.0599067677968
V4,24c+32,"38,28",-0.1871458490461841,0.096906,-0.5452619834491772,0.01233,-0.3581161344029931,-0.08457600000000001,-0.2735401344029931,True,-0.104249442156,-0.127137277757,3.43518513863,0.665233686704,-0.15872855798,0.0185348400817
1,24c+32,"38,28",0.1271032202314345,0.054903,-0.24379404619850137,-0.127009,-0.37089726642993587,-0.18191200000000002,-0.18898526642993585,True,-0.107970095195,-0.273455784991,3.43518513863,0.665233686704,-0.0709696963512,-0.190923885153
3,24c+32,"38,28",-0.0497427899685163,0.04628,0.8127486053556613,-0.000506,0.8624913953241776,-0.046786,0.9092773953241776,True,0.251075665654,-0.0703301725921,3.43518513863,0.665233686704,0.23659528455,-0.000760634961989
MT,24c+32,"38,28",-0.296447096604313,0.175566,0.299838424334211,0.03625,0.596285520938524,-0.139316,0.735601520938524,True,0.173581771251,-0.209424150918,3.43518513863,0.665233686704,0.0872845020674,0.0544921291939
V6,24c+32,"38,28",0.0028506044505691,0.139254,0.0714722080752912,0.217226,0.0686216036247221,0.07797200000000001,-0.009350396375277917,True,0.0199761005173,0.117209939242,3.43518513863,0.665233686704,0.0208059260829,0.326540889828
DP,24c+32,"38,28",0.2627725732098758,0.199567,-0.47630537550839724,-0.259572,-0.739077948718273,-0.459139,-0.279938948718273,True,-0.215149378823,-0.690192047061,3.43518513863,0.665233686704,-0.13865493599,-0.390196716113
TEO,24c+32,"38,28",0.0893806531495517,0.031259,0.1331729009293659,0.072362,0.043792247779814206,0.041102999999999994,0.002689247779814212,True,0.0127481477745,0.0617873099657,3.43518513863,0.665233686704,0.0387673140035,0.108776812489
8m,24c+32,"38,28",0.6169810193636821,0.175673,-0.40837066756123525,0.165189,-1.0253516869249173,-0.010483999999999993,-1.0148676869249174,True,-0.298485131237,-0.0157598753784,3.43518513863,0.665233686704,-0.118878794325,0.248317250466
F4,24c+32,"38,28",0.2230825589129648,-0.015774,-0.6129443417839615,0.135711,-0.8360269006969263,0.151485,-0.9875119006969263,True,-0.243371715631,0.227716970784,3.43518513863,0.665233686704,-0.17843123938,0.204005002622
5,24c+32,"38,28",-0.0485051982447221,-0.026274,-0.3093487195354067,-0.164674,-0.2608435212906846,-0.1384,-0.12244352129068461,True,-0.0759328859332,-0.208047191184,3.43518513863,0.665233686704,-0.090052997743,-0.247543086424
2,24c+32,"38,28",0.0890824217435257,0.088933,0.03994420566929893,-0.059867,-0.04913821607422676,-0.1488,0.09966178392577323,True,-0.0143043865443,-0.223680795146,3.43518513863,0.665233686704,0.0116279629939,-0.0899939392676
8l,24c+32,"38,28",0.1412920537864236,0.16706,-0.33895544249073845,0.064032,-0.480247496277162,-0.10302799999999998,-0.377219496277162,True,-0.13980250755,-0.15487489894,3.43518513863,0.665233686704,-0.0986716665368,0.0962548970081
F1,24c+32,"38,28",-0.1848361842128097,0.023885,-0.004683144737236269,0.014027,0.18015303947557343,-0.009858,0.19001103947557343,True,0.0524434731188,-0.0148188526784,3.43518513863,0.665233686704,-0.00136328743525,0.0210858233435
STPc,24c+32,"38,28",0.1406087010004935,-0.004758,-0.21881743223621036,0.021164,-0.35942613323670386,0.025922,-0.38534813323670386,True,-0.10463078953,0.0389667578749,3.43518513863,0.665233686704,-0.0636988760157,0.0318143840623
7A,24c+32,"38,28",0.0103944873931981,0.03126,0.14131730863127284,-0.022945,0.13092282123807475,-0.054205,0.18512782123807475,True,0.0381123042732,-0.0814826444953,3.43518513863,0.665233686704,0.0411381928276,-0.0344916387408
10,24c+32,"38,28",1.2795216426735585,0.313056,-0.3422203670056283,-0.259452,-1.6217420096791868,-0.572508,-1.0492340096791868,True,-0.472097410834,-0.860611859325,3.43518513863,0.665233686704,-0.0996221027966,-0.390016328375
F3,24c+32,"38,28",0.0890592557096569,0.09415,-0.5216346522225088,0.073127,-0.6106939079321657,-0.021023,-0.5896709079321657,True,-0.177776126552,-0.0316024284701,3.43518513863,0.665233686704,-0.151850520764,0.109926784319
TEpd,24c+32,"38,28",-0.0167626863148843,0.016372,-0.31777784014114757,0.111161,-0.30101515382626326,0.094789,-0.39580415382626327,True,-0.0876270540536,0.142489777494,3.43518513863,0.665233686704,-0.0925067579526,0.167100677885
46d,24c+32,"38,28",1.1099412435174054,0.337073,-0.6830481013712173,0.036685,-1.7929893448886227,-0.300388,-1.4926013448886226,True,-0.521948387797,-0.451552598739,3.43518513863,0.665233686704,-0.198838803094,0.0551460347442
9/46v,24c+32,"38,28",0.3820309618759206,0.2712,-0.3824932696206757,0.097202,-0.7645242314965963,-0.17399799999999999,-0.5905262314965963,True,-0.222556922158,-0.261559213668,3.43518513863,0.665233686704,-0.111345751156,0.146117074259
PBr,24c+32,"38,28",-0.3230656793178671,0.032065,1.5232434479305423,0.00353,1.8463091272484093,-0.028535000000000005,1.8748441272484093,True,0.537470049718,-0.0428947008703,3.43518513863,0.665233686704,0.44342397468,0.00530640596012
9/46d,24c+32,"38,28",0.6649854326765055,0.245636,-0.472915396931289,0.079916,-1.1379008296077944,-0.16571999999999998,-0.9721808296077944,True,-0.331248763513,-0.249115466207,3.43518513863,0.665233686704,-0.137668095851,0.120132220597
F5,24c+32,"38,28",0.355620644606761,0.081314,-0.5937614882763352,0.149549,-0.9493821328830963,0.06823499999999999,-1.0176171328830963,True,-0.276370004693,0.102572977532,3.43518513863,0.665233686704,-0.172847012407,0.224806715278
7m,24c+32,"38,28",-0.3152640164996143,-0.082866,-0.5310517186521062,0.047937,-0.21578770215249193,0.130803,-0.34659070215249194,True,-0.0628169060602,0.196627144136,3.43518513863,0.665233686704,-0.154591877067,0.072060391646
25,24c+32,"38,28",0.2975774138169937,-0.168438,0.9551514548711024,0.142877,0.6575740410541087,0.311315,0.34625904105410865,True,0.191423173575,0.467978405517,3.43518513863,0.665233686704,0.278049483893,0.214777157044
LIP,24c+32,"38,28",0.184667210187723,0.063567,-0.4454018375077411,0.037658,-0.6300690476954641,-0.025909,-0.6041600476954642,True,-0.183416329039,-0.0389472158699,3.43518513863,0.665233686704,-0.12965875769,0.0566086786533
32,24c+32,"38,28",2.0,0.812202,1.0546444050580541,0.704386,-0.9453555949419459,-0.10781600000000002,-0.8375395949419459,False,-0.275197858861,-0.162072369687,3.43518513863,0.665233686704,0.307012391617,1.05885497695
STPi,24c+32,"38,28",-0.2200094747034742,0.028622,0.2965391763273151,0.059489,0.5165486510307893,0.030867,0.4856816510307893,True,0.150369959751,0.0464002359125,3.43518513863,0.665233686704,0.0863240740632,0.0894257178928
9,24c+32,"38,28",1.1209643384219838,0.358544,-0.6728807684553173,0.145686,-1.7938451068773011,-0.21285799999999996,-1.5809871068773012,True,-0.522197504498,-0.319974776164,3.43518513863,0.665233686704,-0.195879040372,0.218999733345
45A,24c+32,"38,28",0.4974306596925541,0.22115,-0.3266376783550985,-0.163953,-0.8240683380476526,-0.385103,-0.4389653380476526,True,-0.239890516753,-0.578898825626,3.43518513863,0.665233686704,-0.0950859022655,-0.246459256765
8B,24c+32,"38,28",1.027226422028494,0.223581,-0.06667130758740038,0.060359,-1.0938977296158943,-0.163222,-0.9306757296158943,True,-0.318439235579,-0.245360394794,3.43518513863,0.665233686704,-0.0194083593451,0.0907335289935
7B,24c+32,"38,28",-0.4260515495413424,0.111312,-0.6493970044645929,-0.018539,-0.22334545492325053,-0.129851,-0.09349445492325054,True,-0.0650170066271,-0.195196068081,3.43518513863,0.665233686704,-0.189042796315,-0.0278684022931
F2,24c+32,"38,28",-0.3243543790695238,-0.024718,-0.26219490595446665,-0.00053,0.06215947311505715,0.024188,0.03797147311505715,True,0.018094941206,0.0363601550605,3.43518513863,0.665233686704,-0.076326280935,-0.000796712509593
F7,24c+32,"38,28",1.2042281727899946,0.25606,-0.6368441932967368,-0.103096,-1.8410723660867314,-0.35915600000000003,-1.4819163660867314,True,-0.535945601704,-0.539894486973,3.43518513863,0.665233686704,-0.185388608648,-0.154977118659
ProM,24c+32,"38,28",0.0893820662317937,0.004375,0.2609641529933372,-0.007453,0.1715820867615435,-0.011828000000000002,0.1834100867615435,True,0.0499484248556,-0.0177802180443,3.43518513863,0.665233686704,0.0759680024401,-0.0112035817623
STPr,24c+32,"38,28",0.1163608675355123,-0.05701,0.6949031265330858,0.079456,0.5785422589975735,0.136466,0.4420762589975735,True,0.168416616762,0.20513994214,3.43518513863,0.665233686704,0.202289861679,0.119440734268
