area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
V1,24c+32,"38,28",-0.023210752581631,0.003786,-0.014698422828471575,0.015773,0.008512329753159426,0.011987,-0.003474670246840573,True,0.00460624672781,0.0180192317972,1.84799691727,0.665233686704,-0.00795370527469,0.0237104649317
V2,24c+32,"38,28",0.0335689192068627,0.043747,0.10139923126639129,0.039852,0.06783031205952858,-0.0038950000000000026,0.07172531205952859,True,0.0367047755468,-0.00585508532993,1.84799691727,0.665233686704,0.0548698054196,0.0599067677968
V4,24c+32,"38,28",0.5054526326408569,0.096906,0.5384105204397165,0.01233,0.03295788779885955,-0.08457600000000001,0.11753388779885957,True,0.0178343846199,-0.127137277757,1.84799691727,0.665233686704,0.291348170232,0.0185348400817
1,24c+32,"38,28",-0.1351595497032337,0.054903,-0.05600274740442294,-0.127009,0.07915680229881078,-0.18191200000000002,0.2610688022988108,True,0.0428338389308,-0.273455784991,1.84799691727,0.665233686704,-0.0303045675462,-0.190923885153
3,24c+32,"38,28",0.0461615099080281,0.04628,0.09748635333225088,-0.000506,0.05132484342422278,-0.046786,0.09811084342422277,True,0.0277732300009,-0.0703301725921,1.84799691727,0.665233686704,0.052752443698,-0.000760634961989
MT,24c+32,"38,28",0.2760532899709556,0.175566,0.27723559203216075,0.03625,0.001182302061205176,-0.139316,0.14049830206120517,True,0.000639774909881,-0.209424150918,1.84799691727,0.665233686704,0.150019510012,0.0544921291939
V6,24c+32,"38,28",0.2853393755645742,0.139254,0.33384648962290864,0.217226,0.04850711405833441,0.07797200000000001,-0.029464885941665603,True,0.0262484821295,0.117209939242,1.84799691727,0.665233686704,0.180653163706,0.326540889828
DP,24c+32,"38,28",0.1831413731561176,0.199567,0.18750875915598494,-0.259572,0.004367385999867357,-0.459139,0.4635063859998674,True,0.00236330805482,-0.690192047061,1.84799691727,0.665233686704,0.101465948024,-0.390196716113
TEO,24c+32,"38,28",0.1567724526987629,0.031259,0.20343110392283376,0.072362,0.04665865122407087,0.041102999999999994,0.005555651224070875,True,0.0252482300095,0.0617873099657,1.84799691727,0.665233686704,0.110081949825,0.108776812489
8m,24c+32,"38,28",0.2153823204620917,0.175673,0.21336553494451158,0.165189,-0.002016785517580111,-0.010483999999999993,0.008467214482419883,True,-0.00109133597504,-0.0157598753784,1.84799691727,0.665233686704,0.115457733155,0.248317250466
F4,24c+32,"38,28",-0.1555707853177824,-0.015774,-0.10136532114951147,0.135711,0.054205464168270934,0.151485,-0.09727953583172907,True,0.0293320100601,0.227716970784,1.84799691727,0.665233686704,-0.0548514557586,0.204005002622
5,24c+32,"38,28",-0.1973410635856521,-0.026274,-0.12152942686110801,-0.164674,0.07581163672454408,-0.1384,0.21421163672454407,True,0.0410236813797,-0.208047191184,1.84799691727,0.665233686704,-0.0657627865748,-0.247543086424
2,24c+32,"38,28",0.1932437367442621,0.088933,0.19817474950772362,-0.059867,0.004931012763461529,-0.1488,0.15373101276346152,True,0.00266830140104,-0.223680795146,1.84799691727,0.665233686704,0.107237597453,-0.0899939392676
8l,24c+32,"38,28",0.2090286835326321,0.16706,0.20531837391684574,0.064032,-0.0037103096157863613,-0.10302799999999998,0.09931769038421362,True,-0.0020077466478,-0.15487489894,1.84799691727,0.665233686704,0.111103201525,0.0962548970081
F1,24c+32,"38,28",-0.1818072622579727,0.023885,-0.1370432387770184,0.014027,0.04476402348095429,-0.009858,0.05462202348095429,True,0.0242229968366,-0.0148188526784,1.84799691727,0.665233686704,-0.0741577204467,0.0210858233435
STPc,24c+32,"38,28",-0.0229528108625292,-0.004758,-0.08474809207360776,0.021164,-0.06179528121107855,0.025922,-0.08771728121107855,True,-0.0334390607656,0.0389667578749,1.84799691727,0.665233686704,-0.0458594336829,0.0318143840623
7A,24c+32,"38,28",0.3734438648195703,0.03126,0.3946395841283641,-0.022945,0.02119571930879377,-0.054205,0.07540071930879377,True,0.0114695642134,-0.0814826444953,1.84799691727,0.665233686704,0.213549914743,-0.0344916387408
10,24c+32,"38,28",0.5117664630273937,0.313056,0.46464609688002706,-0.259452,-0.047120366147366644,-0.572508,0.5253876338526333,True,-0.025498076164,-0.860611859325,1.84799691727,0.665233686704,0.251432290032,-0.390016328375
F3,24c+32,"38,28",-0.0775910542249643,0.09415,-0.024755696573245792,0.073127,0.05283535765171851,-0.021023,0.07385835765171851,True,0.0285906091931,-0.0316024284701,1.84799691727,0.665233686704,-0.0133959620506,0.109926784319
TEpd,24c+32,"38,28",0.0302757072927568,0.016372,0.05659180008687307,0.111161,0.02631609279411627,0.094789,-0.06847290720588373,True,0.0142403337085,0.142489777494,1.84799691727,0.665233686704,0.0306233195294,0.167100677885
46d,24c+32,"38,28",0.5905595973824473,0.337073,0.4820780156825928,0.036685,-0.10848158169985456,-0.300388,0.19190641830014543,True,-0.0587022525234,-0.451552598739,1.84799691727,0.665233686704,0.260865162262,0.0551460347442
9/46v,24c+32,"38,28",0.433133388422076,0.2712,0.36550519159553935,0.097202,-0.06762819682653665,-0.17399799999999999,0.10636980317346334,True,-0.0365954056496,-0.261559213668,1.84799691727,0.665233686704,0.19778452452,0.146117074259
PBr,24c+32,"38,28",0.138738271177082,0.032065,0.09745714358895563,0.00353,-0.04128112758812638,-0.028535000000000005,-0.012746127588126377,True,-0.022338309768,-0.0428947008703,1.84799691727,0.665233686704,0.0527366375335,0.00530640596012
9/46d,24c+32,"38,28",0.3779405350692017,0.245636,0.3106893037336256,0.079916,-0.06725123133557614,-0.16571999999999998,0.09846876866442383,True,-0.036391419654,-0.249115466207,1.84799691727,0.665233686704,0.168122198057,0.120132220597
F5,24c+32,"38,28",0.219254645552854,0.081314,0.2263065865682682,0.149549,0.007051941015414176,0.06823499999999999,-0.061183058984585814,True,0.00381599176358,0.102572977532,1.84799691727,0.665233686704,0.122460478399,0.224806715278
7m,24c+32,"38,28",0.2584842434074607,-0.082866,0.2543649885324245,0.047937,-0.004119254875036171,0.130803,-0.13492225487503617,True,-0.00222903774165,0.196627144136,1.84799691727,0.665233686704,0.137643621673,0.072060391646
