area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
V1,24c+32,"38,28",-0.1160941284938024,0.003786,0.1439996702933148,0.015773,0.26009379878711725,0.011987,0.24810679878711725,True,0.0902378539865,0.0180192317972,2.88231365549,0.665233686704,0.0499597502233,0.0237104649317
V2,24c+32,"38,28",0.3501245653995311,0.043747,0.05572813750005008,0.039852,-0.294396427899481,-0.0038950000000000026,-0.290501427899481,True,-0.102138928336,-0.00585508532993,2.88231365549,0.665233686704,0.0193345153099,0.0599067677968
V4,24c+32,"38,28",-0.1556611949842309,0.096906,0.09892818945058228,0.01233,0.25458938443481316,-0.08457600000000001,0.33916538443481314,True,0.0883281331823,-0.127137277757,2.88231365549,0.665233686704,0.0343224927177,0.0185348400817
1,24c+32,"38,28",0.3182802880065614,0.054903,0.0257085932005613,-0.127009,-0.2925716948060001,-0.18191200000000002,-0.11065969480600008,True,-0.101505849042,-0.273455784991,2.88231365549,0.665233686704,0.0089194294145,-0.190923885153
3,24c+32,"38,28",0.1675473069507141,0.04628,0.06436255786228032,-0.000506,-0.10318474908843378,-0.046786,-0.05639874908843378,True,-0.0357992784345,-0.0703301725921,2.88231365549,0.665233686704,0.0223301713676,-0.000760634961989
MT,24c+32,"38,28",0.6119710885525015,0.175566,0.11939545509720845,0.03625,-0.49257563345529304,-0.139316,-0.35325963345529304,True,-0.170895916382,-0.209424150918,2.88231365549,0.665233686704,0.0414234775837,0.0544921291939
V6,24c+32,"38,28",0.5309505572284893,0.139254,0.5003736151936116,0.217226,-0.030576942034877708,0.07797200000000001,-0.10854894203487772,True,-0.010608471419,0.117209939242,2.88231365549,0.665233686704,0.173601375493,0.326540889828
DP,24c+32,"38,28",0.4915057750187404,0.199567,-0.0759333757690221,-0.259572,-0.5674391507877625,-0.459139,-0.1083001507877625,True,-0.196869327426,-0.690192047061,2.88231365549,0.665233686704,-0.0263445914793,-0.390196716113
TEO,24c+32,"38,28",0.156109309241097,0.031259,0.19157148884627254,0.072362,0.03546217960517553,0.041102999999999994,-0.005640820394824463,True,0.0123033728608,0.0617873099657,2.88231365549,0.665233686704,0.0664644836559,0.108776812489
8m,24c+32,"38,28",0.6400428060980776,0.175673,0.629033083738976,0.165189,-0.011009722359101581,-0.010483999999999993,-0.000525722359101588,True,-0.00381975165615,-0.0157598753784,2.88231365549,0.665233686704,0.218238942366,0.248317250466
F4,24c+32,"38,28",0.5987299089185673,-0.015774,0.22631614920983334,0.135711,-0.3724137597087339,0.151485,-0.5238987597087339,True,-0.129206534827,0.227716970784,2.88231365549,0.665233686704,0.0785189178766,0.204005002622
5,24c+32,"38,28",0.1137180181341875,-0.026274,0.20281601546287795,-0.164674,0.08909799732869045,-0.1384,0.22749799732869044,True,0.0309119714154,-0.208047191184,2.88231365549,0.665233686704,0.070365699124,-0.247543086424
2,24c+32,"38,28",-0.005518385337935,0.088933,0.3965805606768959,-0.059867,0.40209894601483087,-0.1488,0.5508989460148308,True,0.139505617388,-0.223680795146,2.88231365549,0.665233686704,0.137591049441,-0.0899939392676
8l,24c+32,"38,28",-0.0841109972103406,0.16706,0.08449268704064179,0.064032,0.16860368425098238,-0.10302799999999998,0.2716316842509824,True,0.0584959530445,-0.15487489894,2.88231365549,0.665233686704,0.0293141889259,0.0962548970081
F1,24c+32,"38,28",-0.1405608701805269,0.023885,-0.011705728169393727,0.014027,0.12885514201113318,-0.009858,0.1387131420111332,True,0.0447054545108,-0.0148188526784,2.88231365549,0.665233686704,-0.00406122635096,0.0210858233435
STPc,24c+32,"38,28",0.3229481650137925,-0.004758,0.4680517231822838,0.021164,0.1451035581684913,0.025922,0.1191815581684913,True,0.050342736951,0.0389667578749,2.88231365549,0.665233686704,0.162387505014,0.0318143840623
7A,24c+32,"38,28",0.2104715301552385,0.03126,-0.19021513364956782,-0.022945,-0.40068666380480633,-0.054205,-0.34648166380480633,True,-0.139015635249,-0.0814826444953,2.88231365549,0.665233686704,-0.065993905031,-0.0344916387408
10,24c+32,"38,28",1.3686389882979282,0.313056,0.4588988606750426,-0.259452,-0.9097401276228856,-0.572508,-0.33723212762288557,True,-0.31562842784,-0.860611859325,2.88231365549,0.665233686704,0.159211978822,-0.390016328375
F3,24c+32,"38,28",1.47699271074765,0.09415,0.8081538182846801,0.073127,-0.6688388924629698,-0.021023,-0.6478158924629698,True,-0.232049309134,-0.0316024284701,2.88231365549,0.665233686704,0.280383717694,0.109926784319
TEpd,24c+32,"38,28",-0.2982549168437232,0.016372,0.10012329410953658,0.111161,0.39837821095325976,0.094789,0.30358921095325975,True,0.138214732527,0.142489777494,2.88231365549,0.665233686704,0.034737126516,0.167100677885
46d,24c+32,"38,28",1.4089181127007986,0.337073,0.5046975491983565,0.036685,-0.9042205635024421,-0.300388,-0.6038325635024421,True,-0.313713450922,-0.451552598739,2.88231365549,0.665233686704,0.175101536308,0.0551460347442
9/46v,24c+32,"38,28",1.1392005452316851,0.2712,0.7353627253294025,0.097202,-0.4038378199022826,-0.17399799999999999,-0.22983981990228264,True,-0.140108908388,-0.261559213668,2.88231365549,0.665233686704,0.255129320825,0.146117074259
PBr,24c+32,"38,28",0.5333474182198001,0.032065,0.8693030240125951,0.00353,0.33595560579279493,-0.028535000000000005,0.3644906057927949,True,0.116557615148,-0.0428947008703,2.88231365549,0.665233686704,0.301599037411,0.00530640596012
9/46d,24c+32,"38,28",0.9055542092537012,0.245636,0.7208486346047439,0.079916,-0.18470557464895732,-0.16571999999999998,-0.018985574648957337,True,-0.0640823993244,-0.249115466207,2.88231365549,0.665233686704,0.250093751328,0.120132220597
F5,24c+32,"38,28",-0.2756641259695229,0.081314,0.35189226916645694,0.149549,0.6275563951359798,0.06823499999999999,0.5593213951359799,True,0.217726614847,0.102572977532,2.88231365549,0.665233686704,0.122086736985,0.224806715278
7m,24c+32,"38,28",0.1067006296663247,-0.082866,0.5309801173306161,0.047937,0.4242794876642914,0.130803,0.2934764876642914,True,0.147201012234,0.196627144136,2.88231365549,0.665233686704,0.184220102597,0.072060391646
25,24c+32,"38,28",1.059929691816044,-0.168438,1.2214966398249119,0.142877,0.16156694800886795,0.311315,-0.14974805199113206,True,0.0560546031142,0.467978405517,2.88231365549,0.665233686704,0.423790324658,0.214777157044
LIP,24c+32,"38,28",-0.0392342622080916,0.063567,-0.16448241568793887,0.037658,-0.12524815347984727,-0.025909,-0.09933915347984727,True,-0.0434540332699,-0.0389472158699,2.88231365549,0.665233686704,-0.0570661056873,0.0566086786533
32,24c+32,"38,28",2.0,0.812202,1.5988108671966927,0.704386,-0.40118913280330726,-0.10781600000000002,-0.29337313280330723,False,-0.139189963604,-0.162072369687,2.88231365549,0.665233686704,0.554697044908,1.05885497695
STPi,24c+32,"38,28",0.5147876589908612,0.028622,0.8094022155349384,0.059489,0.2946145565440772,0.030867,0.2637475565440772,True,0.102214606652,0.0464002359125,2.88231365549,0.665233686704,0.28081684101,0.0894257178928
9,24c+32,"38,28",1.2253615590735376,0.358544,0.6499983441062558,0.145686,-0.5753632149672818,-0.21285799999999996,-0.36250521496728183,True,-0.199618530021,-0.319974776164,2.88231365549,0.665233686704,0.225512703265,0.218999733345
