area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized,reference_model_seed_fc_z_vector_normalized,reference_target_seed_fc_z_vector_normalized,model_change_valid_norm,target_change_valid_norm,model_5ht_seed_fc_z_valid_norm,target_5ht_seed_fc_z_valid_norm,reference_model_seed_fc_z_valid_norm,reference_target_seed_fc_z_valid_norm
V1,24c+32,"38,28",0.382373953283136,0.003786,0.3723080632143457,0.015773,-0.010065890068790329,0.011987,-0.022052890068790326,True,-0.0329824048449,0.0101727934356,0.0641577838492,0.0237104649317,0.0632095982492,0.0039481001959,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
V2,24c+32,"38,28",0.2066035327724482,0.043747,0.20232334255136486,0.039852,-0.004280190221083335,-0.0038950000000000026,-0.00038519022108333273,True,-0.0140246879034,-0.00330550016114,0.0348652596105,0.0599067677968,0.0341532842164,0.045620057916,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
V4,24c+32,"38,28",0.2758192671835898,0.096906,0.23993734649963425,0.01233,-0.03588192068395554,-0.08457600000000001,0.04869407931604447,True,-0.117572517336,-0.0717756050395,0.0413470723174,0.0185348400817,0.0455952214275,0.10105509709,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
1,24c+32,"38,28",0.3597499622183762,0.054903,0.3327022643186842,-0.127009,-0.02704769789969197,-0.18191200000000002,0.15486430210030805,True,-0.0886258558511,-0.154380011634,0.0573327361648,-0.190923885153,0.0594696641514,0.0572537097347,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
3,24c+32,"38,28",0.6651137078736881,0.04628,0.6107049234268784,-0.000506,-0.05440878444680963,-0.046786,-0.0076227844468096315,True,-0.178278576805,-0.039705039933,0.105239392708,-0.000760634961989,0.109948833867,0.0482615100545,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
MT,24c+32,"38,28",0.6225467584490477,0.175566,0.6253247794965487,0.03625,0.0027780210475010225,-0.139316,0.14209402104750102,True,0.00910260436287,-0.118230824249,0.107758751428,0.0544921291939,0.102912162701,0.183082979132,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
V6,24c+32,"38,28",1.447916001682383,0.139254,1.4237904473935024,0.217226,-0.024125554288880746,0.07797200000000001,-0.10209755428888076,True,-0.0790510122031,0.0661711061783,0.245353911977,0.326540889828,0.239352570904,0.145216255858,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
DP,24c+32,"38,28",1.0628615200697638,0.199567,1.034240097154111,-0.259572,-0.028621422915652728,-0.459139,0.4305175770843473,True,-0.0937824028863,-0.389649303848,0.178224860425,-0.390196716113,0.175699859003,0.208111598467,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
TEO,24c+32,"38,28",0.4981239189240339,0.031259,0.45911347600591057,0.072362,-0.039010442918123334,0.041102999999999994,-0.08011344291812333,True,-0.127823591626,0.0348821497108,0.0791164792444,0.108776812489,0.082344031342,0.0325973756005,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
8m,24c+32,"38,28",1.068695921780089,0.175673,1.0262309345293075,0.165189,-0.04246498725078163,-0.010483999999999993,-0.031980987250781634,True,-0.139142926424,-0.0088972692399,0.176844685845,0.248317250466,0.176664334185,0.183194560411,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
F4,24c+32,"38,28",0.7808860605316537,-0.015774,0.7504423995031074,0.135711,-0.03044366102854623,0.151485,-0.18192866102854624,True,-0.0997532405125,0.128558072378,0.129319577027,0.204005002622,0.129086967721,-0.0164493746672,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
5,24c+32,"38,28",0.5399911219407587,-0.026274,0.5120495847456933,-0.164674,-0.027941537195065425,-0.1384,0.11045846280493457,True,-0.0915546549245,-0.117453458871,0.0882386652992,-0.247543086424,0.0892650286008,-0.0273989393944,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
2,24c+32,"38,28",0.4472577563285994,0.088933,0.4267376764570978,-0.059867,-0.020520079871501562,-0.1488,0.12827992012849843,True,-0.0672371322502,-0.126279441329,0.0735373372525,-0.0899939392676,0.0739354311366,0.0927407276075,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
8l,24c+32,"38,28",1.0441132909690904,0.16706,0.995558741696154,0.064032,-0.048554549272936454,-0.10302799999999998,0.05447345072706353,True,-0.159096293546,-0.0874349346861,0.171559116951,0.0962548970081,0.172600620628,0.174212788887,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
F1,24c+32,"38,28",0.6550297486135753,0.023885,0.6424011661183918,0.014027,-0.012628582495183505,-0.009858,-0.002770582495183504,True,-0.0413794525498,-0.00836601298807,0.110701430435,0.0210858233435,0.108281871439,0.024907652715,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
STPc,24c+32,"38,28",0.8550298431194456,-0.004758,0.8115734181570493,0.021164,-0.04345642496239632,0.025922,-0.06937842496239632,True,-0.142391521408,0.0219987612778,0.139853946461,0.0318143840623,0.141343552328,-0.00496171704493,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
7A,24c+32,"38,28",0.3466563269341003,0.03126,0.31994704730483947,-0.022945,-0.02670927962926084,-0.054205,0.027495720370739163,True,-0.0875169774185,-0.0460011903042,0.0551347003525,-0.0344916387408,0.057305177217,0.0325984184162,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
10,24c+32,"38,28",1.5118748978700485,0.313056,1.4109834647668325,-0.259452,-0.10089143310321602,-0.572508,0.471616566896784,True,-0.33058597593,-0.485860150515,0.243146955684,-0.390016328375,0.249925508986,0.326459708116,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
F3,24c+32,"38,28",1.3024454505417369,0.09415,1.2491971884660942,0.073127,-0.053248262075642705,-0.021023,-0.032225262075642705,True,-0.174475950469,-0.0178412143486,0.215267223897,0.109926784319,0.215305077565,0.0981810970533,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
TEpd,24c+32,"38,28",0.4623935817107912,0.016372,0.428977996048929,0.111161,-0.0334155856618622,0.094789,-0.1282045856618622,True,-0.109491199178,0.0804428895442,0.0739233991038,0.167100677885,0.0764375090981,0.0170729784488,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
46d,24c+32,"38,28",1.4232693219484158,0.337073,1.2899831168354245,0.036685,-0.13328620511299127,-0.300388,0.16710179488700871,True,-0.436732325431,-0.254924924879,0.222295636749,0.0551460347442,0.235278269527,0.351505012502,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
9/46v,24c+32,"38,28",0.9025486032730652,0.2712,0.8790771253623979,0.097202,-0.023471477910667282,-0.17399799999999999,0.1505265220893327,True,-0.0769078324388,-0.147663778444,0.151486485973,0.146117074259,0.149198799038,0.282811614667,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
PBr,24c+32,"38,28",0.5074643349658284,0.032065,0.52377895869665,0.00353,0.016314623730821598,-0.028535000000000005,0.0448496237308216,True,0.053457321817,-0.0242162893705,0.0902599232653,0.00530640596012,0.0838880798851,0.0334378850453,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
9/46d,24c+32,"38,28",1.520875636623086,0.245636,1.5102018980272098,0.079916,-0.01067373859587617,-0.16571999999999998,0.1550462614041238,True,-0.0349741120926,-0.140638635868,0.260244718059,0.120132220597,0.251413406045,0.256153074411,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
F5,24c+32,"38,28",0.4532384983878431,0.081314,0.44257377145924115,0.149549,-0.01066472692860193,0.06823499999999999,-0.07889972692860192,True,-0.0349445840075,0.0579077801016,0.076266283683,0.224806715278,0.0749240975966,0.0847955148783,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
7m,24c+32,"38,28",0.6552393772503525,-0.082866,0.6257507777972935,0.047937,-0.02948859945305904,0.130803,-0.16029159945305904,True,-0.0966238374175,0.111006248415,0.107832161352,0.072060391646,0.108316524798,-0.0864139648266,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
25,24c+32,"38,28",1.301990984395613,-0.168438,1.3476964983696211,0.142877,0.04570551397400813,0.311315,-0.2656094860259919,True,0.149761000292,0.264198147026,0.232241063731,0.214777157044,0.215229950527,-0.175649788906,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
LIP,24c+32,"38,28",0.7944901289456294,0.063567,0.7606691356814909,0.037658,-0.033820993264138566,-0.025909,-0.007911993264138564,True,-0.110819578246,-0.0219877287998,0.131081893759,0.0566086786533,0.131335833501,0.0662886648581,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
32,24c+32,"38,28",1.641883629396748,0.812202,1.6008623609470634,0.704386,-0.04102126844968468,-0.10781600000000002,0.06679473155031534,False,-0.134412364333,-0.0914982812256,0.275867732864,1.05885497695,0.271417034803,0.846976987668,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
STPi,24c+32,"38,28",1.09082004465181,0.028622,1.0682592477298638,0.059489,-0.022560796921946125,0.030867,-0.05342779692194612,True,-0.0739238490206,0.0261953462064,0.184087191986,0.0894257178928,0.180321635908,0.0298474706305,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
9,24c+32,"38,28",1.7385038546524485,0.358544,1.6538543029627737,0.145686,-0.0846495516896748,-0.21285799999999996,0.12820844831032516,True,-0.277367005271,-0.180642401361,0.284999540357,0.218999733345,0.28738916253,0.373895308145,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
45A,24c+32,"38,28",1.2649006991182576,0.22115,1.157740877193424,-0.163953,-0.10715982192483375,-0.385103,0.2779431780751662,True,-0.351125295992,-0.326818492569,0.199507064959,-0.246459256765,0.209098617544,0.230618689467,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
8B,24c+32,"38,28",1.5850715517119236,0.223581,1.5219290550355689,0.060359,-0.06314249667635474,-0.163222,0.10007950332364526,True,-0.206895900319,-0.138518702773,0.262265593991,0.0907335289935,0.262025525326,0.233153774406,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
7B,24c+32,"38,28",0.7046510618496323,0.111312,0.6744888560885441,-0.018539,-0.03016220576108819,-0.129851,0.0996887942389118,True,-0.0988310099384,-0.11019833156,0.116230924101,-0.0278684022931,0.116484687681,0.116077899896,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
F2,24c+32,"38,28",1.1271162707206102,-0.024718,1.086965160919172,-0.00053,-0.04015110980143821,0.024188,-0.06433910980143821,True,-0.131561158466,0.0205271984333,0.187310678269,-0.000796712509593,0.186321704292,-0.0257763181834,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
F7,24c+32,"38,28",1.7883720122055269,0.25606,1.6806591433639755,-0.103096,-0.1077128688415514,-0.35915600000000003,0.25144313115844863,True,-0.35293743751,-0.304798514987,0.289618669854,-0.154977118659,0.295632784192,0.267023385146,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
ProM,24c+32,"38,28",0.3866280687138108,0.004375,0.3730687575857868,-0.007453,-0.013559311128023999,-0.011828000000000002,-0.001731311128023997,True,-0.0444291250934,-0.0100378577422,0.0642888700916,-0.0112035817623,0.0639128389511,0.00456231863631,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
STPr,24c+32,"38,28",0.9800931864729754,-0.05701,0.9434829603999353,0.079456,-0.0366102260730401,0.136466,-0.1730762260730401,True,-0.119958919634,0.115812165594,0.162585186354,0.119440734268,0.162017564303,-0.0594509223899,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
24c,24c+32,"38,28",2.0,1.081141,2.0,0.998232,0.0,-0.0829089999999999,0.0829089999999999,False,0,-0.0703609018896,0.34464890873,1.5005734375,0.330616652659,1.12743079606,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
OPRO,24c+32,"38,28",0.5599220140480509,0.176695,0.5449589154795863,-0.01692,-0.014963098568464561,-0.19361499999999998,0.17865190143153542,True,-0.0490288460679,-0.164311787856,0.0939097477614,-0.025434671061,0.0925597710173,0.184260318044,0.305189694812,1.17833907431,5.80300691323,0.665233686704,6.04930206605,0.95894222845
