area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
V1,24c+32,"38,28",-0.4423850674782738,0.003786,-0.7616230070388516,0.015773,-0.3192379395605778,0.011987,-0.3312249395605778,True,-0.123009455676,0.0180192317972,2.59523089347,0.665233686704,-0.293470229934,0.0237104649317
V2,24c+32,"38,28",-0.0251971866655661,0.043747,-0.06431863528511236,0.039852,-0.039121448619546265,-0.0038950000000000026,-0.03522644861954626,True,-0.0150743614828,-0.00585508532993,2.59523089347,0.665233686704,-0.0247833961313,0.0599067677968
V4,24c+32,"38,28",-0.3536837651037046,0.096906,0.32152432555576005,0.01233,0.6752080906594646,-0.08457600000000001,0.7597840906594646,True,0.260172646818,-0.127137277757,2.59523089347,0.665233686704,0.12389045089,0.0185348400817
1,24c+32,"38,28",-0.5862643442753006,0.054903,-0.08238213591743909,-0.127009,0.5038822083578616,-0.18191200000000002,0.6857942083578616,True,0.194156986041,-0.273455784991,2.59523089347,0.665233686704,-0.0317436633961,-0.190923885153
3,24c+32,"38,28",0.2380181043124388,0.04628,0.03261097234382673,-0.000506,-0.20540713196861207,-0.046786,-0.15862113196861208,True,-0.0791479218613,-0.0703301725921,2.59523089347,0.665233686704,0.0125657306353,-0.000760634961989
MT,24c+32,"38,28",0.6325988069584402,0.175566,0.24663883142960527,0.03625,-0.3859599755288349,-0.139316,-0.24664397552883488,True,-0.148718935375,-0.209424150918,2.59523089347,0.665233686704,0.095035409778,0.0544921291939
V6,24c+32,"38,28",0.5146898945634181,0.139254,0.4120784804425324,0.217226,-0.10261141412088565,0.07797200000000001,-0.18058341412088566,True,-0.0395384527747,0.117209939242,2.59523089347,0.665233686704,0.15878297437,0.326540889828
DP,24c+32,"38,28",0.1856217345621863,0.199567,0.4072297863304216,-0.259572,0.2216080517682353,-0.459139,0.6807470517682354,True,0.0853904954375,-0.690192047061,2.59523089347,0.665233686704,0.156914665032,-0.390196716113
TEO,24c+32,"38,28",-0.6770565920866738,0.031259,0.05458274794407223,0.072362,0.731639340030746,0.041102999999999994,0.690536340030746,True,0.281916858292,0.0617873099657,2.59523089347,0.665233686704,0.0210319428924,0.108776812489
8m,24c+32,"38,28",-0.2224768121751306,0.175673,-0.2693005010039339,0.165189,-0.04682368882880328,-0.010483999999999993,-0.036339688828803285,True,-0.0180422053955,-0.0157598753784,2.59523089347,0.665233686704,-0.103767453478,0.248317250466
F4,24c+32,"38,28",-0.0595084956497605,-0.015774,0.010793093212623187,0.135711,0.07030158886238369,0.151485,-0.08118341113761632,True,0.0270887607878,0.227716970784,2.59523089347,0.665233686704,0.00415881809968,0.204005002622
5,24c+32,"38,28",-0.6256038835875025,-0.026274,0.1728906511860223,-0.164674,0.7984945347735248,-0.1384,0.9368945347735248,True,0.307677647019,-0.208047191184,2.59523089347,0.665233686704,0.0666186009194,-0.247543086424
2,24c+32,"38,28",0.7242390322897572,0.088933,0.5607676376787292,-0.059867,-0.163471394611028,-0.1488,-0.01467139461102801,True,-0.0629891525345,-0.223680795146,2.59523089347,0.665233686704,0.216076203119,-0.0899939392676
