area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.4267150389282635,-0.4558734988837386
V2,24c+32,"38,28",0.23314410544575834,0.23751173419892033
V4,24c+32,"38,28",-0.18499119103739917,-0.1871458490461841
1,24c+32,"38,28",0.12642315401773097,0.12710322023143455
3,24c+32,"38,28",-0.04970180359005135,-0.04974278996851639
MT,24c+32,"38,28",-0.2880578642448926,-0.29644709660431307
V6,24c+32,"38,28",0.002850596729308547,0.002850604450569141
DP,24c+32,"38,28",0.2568869802647231,0.26277257320987585
TEO,24c+32,"38,28",0.08914339356360496,0.0893806531495517
8m,24c+32,"38,28",0.5490225426265081,0.6169810193636821
F4,24c+32,"38,28",0.21945414089919654,0.2230825589129648
5,24c+32,"38,28",-0.04846719373987732,-0.048505198244722186
2,24c+32,"38,28",0.08884752420973151,0.08908242174352579
8l,24c+32,"38,28",0.14035927630326694,0.1412920537864236
F1,24c+32,"38,28",-0.18275961744414365,-0.18483618421280976
STPc,24c+32,"38,28",0.1396893219093102,0.1406087010004935
7A,24c+32,"38,28",0.010394113050637421,0.010394487393198142
10,24c+32,"38,28",0.8563574127840473,1.2795216426735585
F3,24c+32,"38,28",0.08882454099851243,0.08905925570965699
TEpd,24c+32,"38,28",-0.016761116455369592,-0.01676268631488439
46d,24c+32,"38,28",0.8040416209664933,1.1099412435174054
9/46v,24c+32,"38,28",0.3644699420560902,0.38203096187592067
PBr,24c+32,"38,28",-0.312276288820549,-0.3230656793178671
9/46d,24c+32,"38,28",0.5816716310677612,0.6649854326765055
F5,24c+32,"38,28",0.3413507626232977,0.35562064460676107
7m,24c+32,"38,28",-0.30521836485915543,-0.3152640164996143
25,24c+32,"38,28",0.2890940529286832,0.2975774138169937
LIP,24c+32,"38,28",0.18259628229110877,0.18466721018772303
32,24c+32,"38,28",0.9803360937516941,2.0
STPi,24c+32,"38,28",-0.21652709200320613,-0.22000947470347426
9,24c+32,"38,28",0.8079040836478517,1.1209643384219838
45A,24c+32,"38,28",0.4600941078118029,0.4974306596925541
8B,24c+32,"38,28",0.7727935623558804,1.027226422028494
7B,24c+32,"38,28",-0.4020162586516138,-0.42605154954134244
F2,24c+32,"38,28",-0.313438850614173,-0.3243543790695238
F7,24c+32,"38,28",0.834939746695925,1.2042281727899946
ProM,24c+32,"38,28",0.08914479541654934,0.08938206623179375
STPr,24c+32,"38,28",0.11583852669813673,0.1163608675355123
24c,24c+32,"38,28",0.9835023933567375,2.0
OPRO,24c+32,"38,28",0.3736604360644318,0.39267082423871935
