area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",-0.4267150389282635,-0.4558734988837386,0.003786,-0.45965949888373864,0.21128685491404972,True
V2,24c+32,"38,28",0.23314410544575834,0.23751173419892033,0.043747,0.19376473419892032,0.03754477221917824,True
V4,24c+32,"38,28",-0.18499119103739917,-0.1871458490461841,0.096906,-0.2840518490461841,0.08068545294655614,True
1,24c+32,"38,28",0.12642315401773097,0.12710322023143455,0.054903,0.07220022023143455,0.005212871801467651,True
3,24c+32,"38,28",-0.04970180359005135,-0.04974278996851639,0.04628,-0.09602278996851639,0.009220376193337812,True
MT,24c+32,"38,28",-0.2880578642448926,-0.29644709660431307,0.175566,-0.47201309660431306,0.22279636336599257,True
V6,24c+32,"38,28",0.002850596729308547,0.002850604450569141,0.139254,-0.13640339554943084,0.01860588631741449,True
DP,24c+32,"38,28",0.2568869802647231,0.26277257320987585,0.199567,0.06320557320987585,0.003994944484788977,True
TEO,24c+32,"38,28",0.08914339356360496,0.0893806531495517,0.031259,0.05812165314955169,0.0033781265648367923,True
8m,24c+32,"38,28",0.5490225426265081,0.6169810193636821,0.175673,0.44130801936368214,0.19475276795469604,True
F4,24c+32,"38,28",0.21945414089919654,0.2230825589129648,-0.015774,0.2388565589129648,0.05705245573574263,True
5,24c+32,"38,28",-0.04846719373987732,-0.048505198244722186,-0.026274,-0.022231198244722188,0.0004942261753961389,True
2,24c+32,"38,28",0.08884752420973151,0.08908242174352579,0.088933,0.0001494217435257933,2.232685743828795e-08,True
8l,24c+32,"38,28",0.14035927630326694,0.1412920537864236,0.16706,-0.025767946213576393,0.000663987052065766,True
F1,24c+32,"38,28",-0.18275961744414365,-0.18483618421280976,0.023885,-0.20872118421280975,0.04356453273919766,True
STPc,24c+32,"38,28",0.1396893219093102,0.1406087010004935,-0.004758,0.1453667010004935,0.02113147775976688,True
7A,24c+32,"38,28",0.010394113050637421,0.010394487393198142,0.03126,-0.02086551260680186,0.0004353696163446074,True
10,24c+32,"38,28",0.8563574127840473,1.2795216426735585,0.313056,0.9664656426735585,0.9340558384684144,True
F3,24c+32,"38,28",0.08882454099851243,0.08905925570965699,0.09415,-0.005090744290343008,2.5915677429659933e-05,True
TEpd,24c+32,"38,28",-0.016761116455369592,-0.01676268631488439,0.016372,-0.03313468631488439,0.001097907437185787,True
46d,24c+32,"38,28",0.8040416209664933,1.1099412435174054,0.337073,0.7728682435174055,0.5973253218376795,True
9/46v,24c+32,"38,28",0.3644699420560902,0.38203096187592067,0.2712,0.11083096187592067,0.012283502110341783,True
PBr,24c+32,"38,28",-0.312276288820549,-0.3230656793178671,0.032065,-0.3551306793178671,0.1261177993927698,True
9/46d,24c+32,"38,28",0.5816716310677612,0.6649854326765055,0.245636,0.4193494326765055,0.17585394668610702,True
F5,24c+32,"38,28",0.3413507626232977,0.35562064460676107,0.081314,0.2743066446067611,0.07524413527541993,True
7m,24c+32,"38,28",-0.30521836485915543,-0.3152640164996143,-0.082866,-0.23239801649961428,0.05400883807295499,True
25,24c+32,"38,28",0.2890940529286832,0.2975774138169937,-0.168438,0.46601541381699374,0.21717036591502392,True
LIP,24c+32,"38,28",0.18259628229110877,0.18466721018772303,0.063567,0.12110021018772303,0.014665260907510698,True
32,24c+32,"38,28",0.9803360937516941,2.0,0.812202,1.187798,1.4108640888039998,False
STPi,24c+32,"38,28",-0.21652709200320613,-0.22000947470347426,0.028622,-0.24863147470347427,0.061817610213224364,True
9,24c+32,"38,28",0.8079040836478517,1.1209643384219838,0.358544,0.7624203384219839,0.5812847724394924,True
45A,24c+32,"38,28",0.4600941078118029,0.4974306596925541,0.22115,0.2762806596925541,0.0763310029201529,True
8B,24c+32,"38,28",0.7727935623558804,1.027226422028494,0.223581,0.8036454220284939,0.645845964347356,True
7B,24c+32,"38,28",-0.4020162586516138,-0.42605154954134244,0.111312,-0.5373635495413425,0.28875958437567084,True
F2,24c+32,"38,28",-0.313438850614173,-0.3243543790695238,-0.024718,-0.2996363790695238,0.08978195966189535,True
F7,24c+32,"38,28",0.834939746695925,1.2042281727899946,0.25606,0.9481681727899947,0.8990228838919172,True
ProM,24c+32,"38,28",0.08914479541654934,0.08938206623179375,0.004375,0.08500706623179374,0.007226201309336568,True
STPr,24c+32,"38,28",0.11583852669813673,0.1163608675355123,-0.05701,0.17337086753551229,0.03005745771001615,True
24c,24c+32,"38,28",0.9835023933567375,2.0,1.081141,0.9188590000000001,0.8443018618810002,False
OPRO,24c+32,"38,28",0.3736604360644318,0.39267082423871935,0.176695,0.21597582423871936,0.046645556655594195,True
