area_name,seed_area,seed_indices,target_seed_fc_z
V1,24c+32,"38,28",0.003786
V2,24c+32,"38,28",0.043747
V4,24c+32,"38,28",0.096906
1,24c+32,"38,28",0.054903
3,24c+32,"38,28",0.04628
MT,24c+32,"38,28",0.175566
V6,24c+32,"38,28",0.139254
DP,24c+32,"38,28",0.199567
TEO,24c+32,"38,28",0.031259
8m,24c+32,"38,28",0.175673
F4,24c+32,"38,28",-0.015774
5,24c+32,"38,28",-0.026274
2,24c+32,"38,28",0.088933
8l,24c+32,"38,28",0.16706
F1,24c+32,"38,28",0.023885
STPc,24c+32,"38,28",-0.004758
7A,24c+32,"38,28",0.03126
10,24c+32,"38,28",0.313056
F3,24c+32,"38,28",0.09415
TEpd,24c+32,"38,28",0.016372
46d,24c+32,"38,28",0.337073
9/46v,24c+32,"38,28",0.2712
PBr,24c+32,"38,28",0.032065
9/46d,24c+32,"38,28",0.245636
F5,24c+32,"38,28",0.081314
7m,24c+32,"38,28",-0.082866
25,24c+32,"38,28",-0.168438
LIP,24c+32,"38,28",0.063567
32,24c+32,"38,28",0.812202
STPi,24c+32,"38,28",0.028622
9,24c+32,"38,28",0.358544
45A,24c+32,"38,28",0.22115
8B,24c+32,"38,28",0.223581
7B,24c+32,"38,28",0.111312
F2,24c+32,"38,28",-0.024718
F7,24c+32,"38,28",0.25606
ProM,24c+32,"38,28",0.004375
STPr,24c+32,"38,28",-0.05701
24c,24c+32,"38,28",1.081141
OPRO,24c+32,"38,28",0.176695
