area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.3719624289761521,-0.3906987163164737
V2,24c+32,"38,28",-0.5451346548719181,-0.6114324552068722
V4,24c+32,"38,28",0.30278146856021393,0.3125789779434819
1,24c+32,"38,28",-0.17151231894135857,-0.17322440281720258
3,24c+32,"38,28",-0.301924615265995,-0.3116359119643835
MT,24c+32,"38,28",-0.6677155081625,-0.8066092523033638
V6,24c+32,"38,28",-0.7247176340707363,-0.9175106347962058
DP,24c+32,"38,28",-0.35136189085054914,-0.3669966114028981
TEO,24c+32,"38,28",-0.11059716804065138,-0.11105143833647411
8m,24c+32,"38,28",0.8307430535746114,1.190529625141391
F4,24c+32,"38,28",0.6342798082887728,0.748544482282172
5,24c+32,"38,28",-0.4250234737591897,-0.4538071746727682
2,24c+32,"38,28",0.14683850176728216,0.14790772369748034
8l,24c+32,"38,28",0.5696187738050877,0.6469583305819779
F1,24c+32,"38,28",0.15541885754173979,0.15668869468675342
STPc,24c+32,"38,28",0.11878704407200652,0.11935053182199351
7A,24c+32,"38,28",-0.30700212503533586,-0.3172322033772701
10,24c+32,"38,28",0.9370217208048102,1.7130584923561893
F3,24c+32,"38,28",0.7685238324640621,1.0167117822131193
TEpd,24c+32,"38,28",-0.313574944042663,-0.32450530665361194
46d,24c+32,"38,28",0.6873316914680895,0.8428803839453579
9/46v,24c+32,"38,28",0.8129163173580768,1.1355680175870717
PBr,24c+32,"38,28",0.13560672111482694,0.13644724700272573
9/46d,24c+32,"38,28",0.8602265834020371,1.2942154598466697
F5,24c+32,"38,28",0.09046316886379385,0.09071115868307653
7m,24c+32,"38,28",0.8271288889743278,1.1789774034082137
25,24c+32,"38,28",0.4333363762523426,0.46399713223666816
LIP,24c+32,"38,28",-0.39981859520612134,-0.4234329907558415
32,24c+32,"38,28",0.9941605939262312,2.0
STPi,24c+32,"38,28",-0.22031202646389383,-0.22398402935121312
9,24c+32,"38,28",0.9010436561556998,1.4777397627267828
45A,24c+32,"38,28",0.5878721166072054,0.6744082048447885
8B,24c+32,"38,28",0.9417345979966373,1.7531642528382434
7B,24c+32,"38,28",-0.623763528753882,-0.7311420205752518
F2,24c+32,"38,28",0.48409652636887046,0.5283208924794417
F7,24c+32,"38,28",0.9231886828178255,1.6101939356626118
ProM,24c+32,"38,28",0.19281552570348193,0.19525977235893746
STPr,24c+32,"38,28",-0.15398279206424365,-0.1552174178258984
24c,24c+32,"38,28",0.9755110685948927,2.0
OPRO,24c+32,"38,28",0.5798539155096558,0.6622425960955876
