area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",-0.023206585300173974,-0.023210752581631022,0.003786,-0.026996752581631023,0.0007288246499538014,True
V2,24c+32,"38,28",0.033556315592422135,0.03356891920686273,0.043747,-0.01017808079313727,0.0001035933286316298,True
V4,24c+32,"38,28",0.4663945474727555,0.5054526326408569,0.096906,0.40854663264085694,0.16691035104218332,True
1,24c+32,"38,28",-0.13434248345345545,-0.13515954970323377,0.054903,-0.19006254970323377,0.03612377279969421,True
3,24c+32,"38,28",0.04612874954154037,0.0461615099080281,0.04628,-0.00011849009197190119,1.4039901895509603e-08,True
MT,24c+32,"38,28",0.26924839082809693,0.2760532899709556,0.175566,0.10048728997095557,0.01009769544570691,True
V6,24c+32,"38,28",0.27783955734764587,0.2853393755645742,0.139254,0.14608537556457424,0.021340936953842704,True
DP,24c+32,"38,28",0.18112090889382296,0.18314137315611764,0.199567,-0.01642562684388235,0.0002698012172144685,True
TEO,24c+32,"38,28",0.15550059131302024,0.15677245269876292,0.031259,0.1255134526987629,0.015753626808364594,True
8m,24c+32,"38,28",0.21211248566949484,0.21538232046209177,0.175673,0.039709320462091774,0.0015768301315611005,True
F4,24c+32,"38,28",-0.15432776218039923,-0.1555707853177824,-0.015774,-0.1397967853177824,0.019543141185186137,True
5,24c+32,"38,28",-0.19481863229558302,-0.19734106358565218,-0.026274,-0.17106706358565218,0.02926394024381757,True
2,24c+32,"38,28",0.19087368970656723,0.19324373674426218,0.088933,0.10431073674426218,0.010880729800130768,True
8l,24c+32,"38,28",0.2060366030865332,0.2090286835326321,0.16706,0.04196868353263211,0.0017613703974622258,True
F1,24c+32,"38,28",-0.1798302521124276,-0.18180726225797275,0.023885,-0.20569226225797274,0.04230930675280264,True
STPc,24c+32,"38,28",-0.022948780956964992,-0.022952810862529257,-0.004758,-0.018194810862529255,0.0003310511423232126,True
7A,24c+32,"38,28",0.3570003464209739,0.37344386481957037,0.03126,0.34218386481957036,0.117089797342858,True
10,24c+32,"38,28",0.4713203982287344,0.5117664630273937,0.313056,0.1987104630273937,0.0394858481165612,True
F3,24c+32,"38,28",-0.07743571928829937,-0.07759105422496432,0.09415,-0.17174105422496433,0.029494989706302138,True
TEpd,24c+32,"38,28",0.030266460259157964,0.03027570729275685,0.016372,0.013903707292756848,0.00019331307648265996,True
46d,24c+32,"38,28",0.5302979565721342,0.5905595973824473,0.337073,0.25348659738244733,0.06425545505253095,True
9/46v,24c+32,"38,28",0.4079365972047503,0.433133388422076,0.2712,0.161933388422076,0.026222422285854936,True
PBr,24c+32,"38,28",0.13785491282906015,0.138738271177082,0.032065,0.106673271177082,0.011379186783619273,True
9/46d,24c+32,"38,28",0.3609176046045439,0.3779405350692017,0.245636,0.13230453506920173,0.01750448999987763,True
F5,24c+32,"38,28",0.21580753478010908,0.21925464555285404,0.081314,0.13794064555285404,0.01902762169553811,True
7m,24c+32,"38,28",0.25287724868841843,0.25848424340746073,-0.082866,0.34135024340746073,0.11651998867433269,True
25,24c+32,"38,28",0.2576674284719145,0.26360834233351726,-0.168438,0.43204634233351724,0.18666404192377078,True
LIP,24c+32,"38,28",0.111373007562646,0.11183695363353123,0.063567,0.04826995363353123,0.002329988423783255,True
32,24c+32,"38,28",0.6633062601959877,0.798694445158105,0.812202,-0.01350755484189503,0.0001824540378068019,False
STPi,24c+32,"38,28",0.11077044152537296,0.11122686090683782,0.028622,0.08260486090683783,0.006823563045438024,True
9,24c+32,"38,28",0.5870256287083949,0.6731156667495528,0.358544,0.31457166674955284,0.09895533352159172,True
45A,24c+32,"38,28",0.38650524731023145,0.40768496929001335,0.22115,0.18653496929001334,0.03479529476802622,True
8B,24c+32,"38,28",0.604618593369229,0.7003952426822754,0.223581,0.47681424268227535,0.22735182202467177,True
7B,24c+32,"38,28",0.1553424647891267,0.15661041194206166,0.111312,0.04529841194206166,0.0020519461244727145,True
F2,24c+32,"38,28",-0.17441882053978677,-0.17622054256240752,-0.024718,-0.15150254256240753,0.022953020402874103,True
F7,24c+32,"38,28",0.2954661568215609,0.3045447536277515,0.25606,0.04848475362775151,0.002350771334343763,True
ProM,24c+32,"38,28",0.12273431187824932,0.12335622066371274,0.004375,0.11898122066371274,0.014156530870627102,True
STPr,24c+32,"38,28",0.17533345399516678,0.17716402949153562,-0.05701,0.23417402949153562,0.0548374760883026,True
24c,24c+32,"38,28",0.3380385245380361,0.35187633641277705,1.081141,-0.7292646635872229,0.5318269495569853,False
OPRO,24c+32,"38,28",0.5264264558233906,0.5851887059086531,0.176695,0.40849370590865314,0.1668671077669852,True
