area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",-0.3719624289761521,-0.3906987163164737,0.003786,-0.3944847163164737,0.15561819140728872,True
V2,24c+32,"38,28",-0.5451346548719181,-0.6114324552068722,0.043747,-0.6551794552068722,0.4292601185251738,True
V4,24c+32,"38,28",0.30278146856021393,0.3125789779434819,0.096906,0.2156729779434819,0.04651483341500963,True
1,24c+32,"38,28",-0.17151231894135857,-0.17322440281720258,0.054903,-0.2281274028172026,0.052042111916122215,True
3,24c+32,"38,28",-0.301924615265995,-0.3116359119643835,0.04628,-0.3579159119643835,0.12810380003729632,True
MT,24c+32,"38,28",-0.6677155081625,-0.8066092523033638,0.175566,-0.9821752523033638,0.9646682262371763,True
V6,24c+32,"38,28",-0.7247176340707363,-0.9175106347962058,0.139254,-1.0567646347962056,1.116751493355958,True
DP,24c+32,"38,28",-0.35136189085054914,-0.3669966114028981,0.199567,-0.566563611402898,0.32099432576589404,True
TEO,24c+32,"38,28",-0.11059716804065138,-0.11105143833647411,0.031259,-0.1423104383364741,0.0202522608595194,True
8m,24c+32,"38,28",0.8307430535746114,1.190529625141391,0.175673,1.014856625141391,1.029933969593374,True
F4,24c+32,"38,28",0.6342798082887728,0.748544482282172,-0.015774,0.7643184822821719,0.5841827423581227,True
5,24c+32,"38,28",-0.4250234737591897,-0.4538071746727682,-0.026274,-0.4275331746727682,0.1827846154457757,True
2,24c+32,"38,28",0.14683850176728216,0.14790772369748034,0.088933,0.058974723697480344,0.0034780180351941495,True
8l,24c+32,"38,28",0.5696187738050877,0.6469583305819779,0.16706,0.47989833058197795,0.2303024076953694,True
F1,24c+32,"38,28",0.15541885754173979,0.15668869468675342,0.023885,0.13280369468675343,0.017636821322452423,True
STPc,24c+32,"38,28",0.11878704407200652,0.11935053182199351,-0.004758,0.12410853182199351,0.015402927671010775,True
7A,24c+32,"38,28",-0.30700212503533586,-0.3172322033772701,0.03126,-0.3484922033772701,0.12144681581474459,True
10,24c+32,"38,28",0.9370217208048102,1.7130584923561893,0.313056,1.4000024923561893,1.960006978603542,True
F3,24c+32,"38,28",0.7685238324640621,1.0167117822131193,0.09415,0.9225617822131194,0.851120242000247,True
TEpd,24c+32,"38,28",-0.313574944042663,-0.32450530665361194,0.016372,-0.34087730665361193,0.11619733819142058,True
46d,24c+32,"38,28",0.6873316914680895,0.8428803839453579,0.337073,0.5058073839453578,0.25584110965364665,True
9/46v,24c+32,"38,28",0.8129163173580768,1.1355680175870717,0.2712,0.8643680175870717,0.7471320698274043,True
PBr,24c+32,"38,28",0.13560672111482694,0.13644724700272573,0.032065,0.10438224700272572,0.010895653489338042,True
9/46d,24c+32,"38,28",0.8602265834020371,1.2942154598466697,0.245636,1.0485794598466698,1.0995188836123337,True
F5,24c+32,"38,28",0.09046316886379385,0.09071115868307653,0.081314,0.009397158683076529,8.83065913149206e-05,True
7m,24c+32,"38,28",0.8271288889743278,1.1789774034082137,-0.082866,1.2618434034082138,1.5922487747248242,True
25,24c+32,"38,28",0.4333363762523426,0.46399713223666816,-0.168438,0.6324351322366681,0.39997419648721194,True
LIP,24c+32,"38,28",-0.39981859520612134,-0.4234329907558415,0.063567,-0.4869999907558415,0.2371689909961897,True
32,24c+32,"38,28",0.9941605939262312,2.0,0.812202,1.187798,1.4108640888039998,False
STPi,24c+32,"38,28",-0.22031202646389383,-0.22398402935121312,0.028622,-0.2526060293512131,0.06380980606458594,True
9,24c+32,"38,28",0.9010436561556998,1.4777397627267828,0.358544,1.1191957627267828,1.252599155305585,True
45A,24c+32,"38,28",0.5878721166072054,0.6744082048447885,0.22115,0.45325820484478846,0.2054430002591202,True
8B,24c+32,"38,28",0.9417345979966373,1.7531642528382434,0.223581,1.5295832528382434,2.3396249273632215,True
7B,24c+32,"38,28",-0.623763528753882,-0.7311420205752518,0.111312,-0.8424540205752518,0.7097287767834067,True
F2,24c+32,"38,28",0.48409652636887046,0.5283208924794417,-0.024718,0.5530388924794417,0.3058520165948875,True
F7,24c+32,"38,28",0.9231886828178255,1.6101939356626118,0.25606,1.3541339356626119,1.8336787157131147,True
ProM,24c+32,"38,28",0.19281552570348193,0.19525977235893746,0.004375,0.19088477235893747,0.03643699631852338,True
STPr,24c+32,"38,28",-0.15398279206424365,-0.1552174178258984,-0.05701,-0.0982074178258984,0.009644696916030586,True
24c,24c+32,"38,28",0.9755110685948927,2.0,1.081141,0.9188590000000001,0.8443018618810002,False
OPRO,24c+32,"38,28",0.5798539155096558,0.6622425960955876,0.176695,0.48554759609558756,0.23575646807420383,True
