area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.349996714828465,-0.36544001049107666
V2,24c+32,"38,28",0.011808550486851137,0.011809099401542919
V4,24c+32,"38,28",-0.5587511277256726,-0.6310155839913804
1,24c+32,"38,28",-0.19917850612432514,-0.20187697748539452
3,24c+32,"38,28",-0.7029314197092249,-0.8730716936762427
MT,24c+32,"38,28",0.2763931607256888,0.28377266546334295
V6,24c+32,"38,28",-0.014470724771917479,-0.014471734964477578
DP,24c+32,"38,28",-0.4887053044749268,-0.534357985245034
TEO,24c+32,"38,28",-0.5739217761455416,-0.6533513883825259
8m,24c+32,"38,28",-0.053377283593267065,-0.053428063447106794
F4,24c+32,"38,28",-0.2507873232089431,-0.2562527998612607
5,24c+32,"38,28",-0.8229767163468987,-1.1659723662245005
2,24c+32,"38,28",-0.2084217284514721,-0.21152083297516774
8l,24c+32,"38,28",0.1005534715549093,0.10089444122280568
F1,24c+32,"38,28",-0.7226653026881571,-0.9132014473390392
STPc,24c+32,"38,28",-0.28039683897946,-0.2881127222517029
7A,24c+32,"38,28",0.08740892168967113,0.08763255848123455
10,24c+32,"38,28",0.6281691998790693,0.7383862799367359
F3,24c+32,"38,28",0.5660179757749185,0.6416441204309686
TEpd,24c+32,"38,28",-0.468445673599741,-0.508077174776269
46d,24c+32,"38,28",0.4677572089191765,0.5071955235149366
9/46v,24c+32,"38,28",0.32391054531703206,0.33600988677679333
PBr,24c+32,"38,28",-0.5598633840576376,-0.6326341762942919
9/46d,24c+32,"38,28",0.28455181403868873,0.29262798690645053
F5,24c+32,"38,28",-0.5129364149262068,-0.5667065038434379
7m,24c+32,"38,28",0.3563458503290666,0.3726939703340577
25,24c+32,"38,28",-0.2704863094677135,-0.2773884461016035
LIP,24c+32,"38,28",0.7865375378367672,1.0622868466126174
32,24c+32,"38,28",0.9898387434170041,2.0
STPi,24c+32,"38,28",-0.4301434009976369,-0.46007262508244057
9,24c+32,"38,28",0.6107386498937094,0.7100985861602583
45A,24c+32,"38,28",0.2419359484145646,0.2468294034970128
8B,24c+32,"38,28",0.47713592923958337,0.5192693907928242
7B,24c+32,"38,28",0.11437717001426609,0.11487988786467118
F2,24c+32,"38,28",-0.6642501968511765,-0.8003818598313399
F7,24c+32,"38,28",0.8219028511529481,1.1626537875281504
ProM,24c+32,"38,28",-0.4875288014428257,-0.5328134940253315
STPr,24c+32,"38,28",-0.5324860056454261,-0.5936086266618994
24c,24c+32,"38,28",0.9930043438808122,2.0
OPRO,24c+32,"38,28",0.04716669611018671,0.047201720078656834
