area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",0.27149171686603896,0.27847353734486835,0.003786,0.27468753734486834,0.07545324317258843,True
V2,24c+32,"38,28",0.2195365773680822,0.22316916805560366,0.043747,0.17942216805560365,0.03219231438977328,True
V4,24c+32,"38,28",-0.0627249456449732,-0.06280740245303128,0.096906,-0.15971340245303128,0.02550837092312394,True
1,24c+32,"38,28",-0.8092862601338177,-1.1249570777114792,0.054903,-1.1798600777114792,1.3920698029773377,True
3,24c+32,"38,28",-0.7694064150407478,-1.0188713110254772,0.04628,-1.0651513110254773,1.134547315379293,True
MT,24c+32,"38,28",0.457043650807862,0.4935679183229358,0.175566,0.3180019183229358,0.10112522005706712,True
V6,24c+32,"38,28",-0.10039232764822557,-0.10073165401082924,0.139254,-0.23998565401082922,0.05759311413100543,True
DP,24c+32,"38,28",-0.22511058523752206,-0.22903303201233938,0.199567,-0.42860003201233937,0.18369798744097834,True
TEO,24c+32,"38,28",-0.5765965780123217,-0.6573491486535087,0.031259,-0.6886081486535087,0.4741811823920128,True
8m,24c+32,"38,28",0.8874650295362428,1.4098629658228645,0.175673,1.2341899658228646,1.5232248717378436,True
F4,24c+32,"38,28",-0.6228626428652136,-0.7296687343397945,-0.015774,-0.7138947343397946,0.5096456917180858,True
5,24c+32,"38,28",-0.825221558901735,-1.1729687699244575,-0.026274,-1.1466947699244576,1.3149088953721049,True
2,24c+32,"38,28",-0.005211554094566625,-0.005211601277786282,0.088933,-0.09414460127778627,0.008863205949753357,True
8l,24c+32,"38,28",0.7707192386805762,1.022096904006983,0.16706,0.855036904006983,0.7310881072138465,True
F1,24c+32,"38,28",-0.9224776069122701,-1.6054016078605986,0.023885,-1.6292866078605985,2.654574850553896,True
STPc,24c+32,"38,28",-0.542093752213338,-0.6071159436855645,-0.004758,-0.6023579436855645,0.36283509232110167,True
7A,24c+32,"38,28",-0.3741708862724692,-0.39326424192907683,0.03126,-0.42452424192907684,0.18022083198545735,True
10,24c+32,"38,28",0.6581422582063056,0.7895292211220806,0.313056,0.47647322112208057,0.22702673044645108,True
F3,24c+32,"38,28",-0.19407887879372723,-0.1965722406012907,0.09415,-0.2907222406012907,0.08451942118023476,True
TEpd,24c+32,"38,28",-0.371361143524697,-0.3900010621244547,0.016372,-0.4063730621244547,0.1651390656204059,True
46d,24c+32,"38,28",0.9829502001612389,2.0,0.337073,1.662927,2.765326207329,True
9/46v,24c+32,"38,28",0.8514555746477754,1.2614216658462565,0.2712,0.9902216658462565,0.9805389475113352,True
PBr,24c+32,"38,28",-0.6666575929017937,-0.8047026236181152,0.032065,-0.8367676236181152,0.7001800559355077,True
9/46d,24c+32,"38,28",0.8080741214452156,1.1214541440942916,0.245636,0.8758181440942916,0.7670574215247693,True
F5,24c+32,"38,28",0.5083439161686245,0.5604940641111499,0.081314,0.4791800641111499,0.22961353384156571,True
7m,24c+32,"38,28",-0.7781904357907413,-1.0407661611121866,-0.082866,-0.9579001611121866,0.917572718658753,True
25,24c+32,"38,28",-0.1301159846423557,-0.13085783031755815,-0.168438,0.03758016968244185,0.0014122691533611216,True
LIP,24c+32,"38,28",-0.7649032532639485,-1.0079270180939848,0.063567,-1.0714940180939847,1.1480994308111925,True
32,24c+32,"38,28",0.9303237457679058,1.660791718684225,0.812202,0.848589718684225,0.720104510656572,False
STPi,24c+32,"38,28",-0.5521443373695379,-0.6214608492131917,0.028622,-0.6500828492131917,0.42260771084114135,True
9,24c+32,"38,28",0.40740035214865084,0.43249025942437486,0.358544,0.07394625942437488,0.005468049282856951,True
45A,24c+32,"38,28",0.9465448275631532,1.7974838961613175,0.22115,1.5763338961613176,2.4848285521871194,True
8B,24c+32,"38,28",0.8288839189039483,1.184559508193119,0.223581,0.960978508193119,0.9234796932090725,True
7B,24c+32,"38,28",-0.0368119103341794,-0.036828552012464995,0.111312,-0.14814055201246498,0.02194562315055784,True
F2,24c+32,"38,28",-0.6309980058587558,-0.7430726658840416,-0.024718,-0.7183546658840416,0.5160334259973731,True
F7,24c+32,"38,28",0.9145088413484884,1.5544017129967473,0.25606,1.2983417129967474,1.6856912037073284,True
ProM,24c+32,"38,28",0.5294564100145682,0.589389531430243,0.004375,0.585014531430243,0.34224200198454674,True
STPr,24c+32,"38,28",-0.6832072633389217,-0.8351043026297184,-0.05701,-0.7780943026297183,0.6054307437848278,True
24c,24c+32,"38,28",0.9677031346957458,2.0,1.081141,0.9188590000000001,0.8443018618810002,False
OPRO,24c+32,"38,28",0.1092218756916811,0.10965932893236399,0.176695,-0.067035671067636,0.00449378119548829,True
