area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.13407496033535468,-0.13488711957712485
V2,24c+32,"38,28",-0.4683563966925513,-0.5079628052482571
V4,24c+32,"38,28",-0.5218198702029013,-0.5788373393061114
1,24c+32,"38,28",-0.42022550781113477,-0.44796586246981523
3,24c+32,"38,28",-0.15350266985738822,-0.15472567230471063
MT,24c+32,"38,28",0.6531942059348919,0.7808498129418061
V6,24c+32,"38,28",0.03739245455639895,0.037409896513631254
DP,24c+32,"38,28",-0.6307649663429699,-0.74268554968062
TEO,24c+32,"38,28",-0.6982890843541618,-0.8639536381602567
8m,24c+32,"38,28",0.9146616148724911,1.5553359144062133
F4,24c+32,"38,28",0.551715647935742,0.6208443609612962
5,24c+32,"38,28",-0.8621765602497212,-1.3017639161741934
2,24c+32,"38,28",0.6098329747957648,0.7086553965185967
8l,24c+32,"38,28",0.9453693532732127,1.7863060581166101
F1,24c+32,"38,28",-0.42337904290248535,-0.4518019004785245
STPc,24c+32,"38,28",-0.8627453778617739,-1.3039844657375175
7A,24c+32,"38,28",-0.857467770020685,-1.2837006378727733
10,24c+32,"38,28",0.9203463664839718,1.5912865970576286
F3,24c+32,"38,28",0.963704058237681,1.9954409282712255
TEpd,24c+32,"38,28",-0.7683370082670956,-1.0162555734105072
46d,24c+32,"38,28",0.9729137295780967,2.0
9/46v,24c+32,"38,28",0.9618226424108649,1.9696933165532862
PBr,24c+32,"38,28",-0.7630414545860038,-1.0034552419062241
9/46d,24c+32,"38,28",0.9904165100183583,2.0
F5,24c+32,"38,28",0.39435052636781853,0.41694131049001637
7m,24c+32,"38,28",0.45272109726316834,0.4881175730280762
25,24c+32,"38,28",-0.228674258700875,-0.23279012616510206
LIP,24c+32,"38,28",-0.7687948631448874,-1.0173741853046099
32,24c+32,"38,28",0.9866207485643768,2.0
STPi,24c+32,"38,28",-0.6955749072499693,-0.8586760422796423
9,24c+32,"38,28",0.9386113448763145,1.7262510730152312
45A,24c+32,"38,28",0.9888501524914952,2.0
8B,24c+32,"38,28",0.9500988050902248,1.8327951854963687
7B,24c+32,"38,28",-0.6621869981034327,-0.7966984947147348
F2,24c+32,"38,28",-0.7331114472321447,-0.9354212152982531
F7,24c+32,"38,28",0.7890602683371795,1.068936655238963
ProM,24c+32,"38,28",0.5941976815791046,0.6841298635609228
STPr,24c+32,"38,28",-0.6941675039571797,-0.8559545987658662
24c,24c+32,"38,28",0.990649868092937,2.0
OPRO,24c+32,"38,28",0.5653540141889202,0.6406677052558233
