"model_id","formula","n_predictors","term","estimate","std_error","t_value","p_value"
1,"seed ~ Stim",1,"(Intercept)",49380,21509.0654683422,2.29577617273421,0.0508047053587797
1,"seed ~ Stim",1,"Stim",26453.5714285714,25708.250407809,1.02899151085505,0.333587001752103
2,"seed ~ Auto",1,"(Intercept)",61725,19620.55776754,3.14593503055846,0.0136821275878324
2,"seed ~ Auto",1,"Auto",10287.5,25330.0311589944,0.406138466053447,0.695287685401266
3,"seed ~ BOLD",1,"(Intercept)",69440.625,13962.9365262307,4.97321067595984,0.00108871146950116
3,"seed ~ BOLD",1,"BOLD",-7715.62500000001,31222.0752381666,-0.247120825286086,0.811038424058712
4,"seed ~ Stim + Auto",2,"(Intercept)",49380,22350.1708606444,2.20937908295598,0.0628548176034588
4,"seed ~ Stim + Auto",2,"Auto",-26747.5,41813.340948195,-0.63968818069666,0.542735821864093
4,"seed ~ Stim + Auto",2,"Stim",49380,44700.3417212889,1.10468954147799,0.305812816551822
5,"seed ~ Stim + BOLD",2,"(Intercept)",49380,22409.6200962253,2.20351794398861,0.0634009345563608
5,"seed ~ Stim + BOLD",2,"BOLD",-19752,32474.6247553378,-0.608228737015764,0.56224307999168
5,"seed ~ Stim + BOLD",2,"Stim",32097,28346.1764012614,1.13232202980899,0.294790771470249
6,"seed ~ Auto + BOLD",2,"(Intercept)",61725,20703.1943866762,2.98142396999972,0.0204735149604039
6,"seed ~ Auto + BOLD",2,"Auto",15431.25,29278.738286084,0.527046276694729,0.614445809168946
6,"seed ~ Auto + BOLD",2,"BOLD",-15431.25,35858.9845566979,-0.430331482911935,0.679892990634424
7,"seed ~ Stim + Auto + BOLD",3,"(Intercept)",49380,23772.8076670594,2.07716314755799,0.0830601327976203
7,"seed ~ Stim + Auto + BOLD",3,"Auto",-21603.75,46035.8440935566,-0.469281066207794,0.655436586911817
7,"seed ~ Stim + Auto + BOLD",3,"BOLD",-15431.25,35659.2115005892,-0.432742322407915,0.680324148042449
7,"seed ~ Stim + Auto + BOLD",3,"Stim",49380,47545.6153341189,1.038581573779,0.339030183245565
