,AMPA,kainate,NMDA,GABAa,GABAb,BZ,M1,M2,M3,alpha1,alpha2,5-HT1a,5-HT2,D1
V1,0.026238613,0.044321731,0.118353829,0.165245458,0.165282071,0.197200194,0.099320613,0.030053716,0.073660769,0.021655746,0.03991054,0.006700195,0.036586843,0.006122792
V2,0.035530135,0.06847997,0.140596658,0.1807971,0.202598259,0.22949937,0.111948818,0.021091731,0.083934389,0.029928891,0.036187701,0.012460473,0.039296865,0.008333503
V4,0.048277933,0.111553207,0.163530618,0.192620188,0.256431341,0.298929274,0.119384386,0.021727879,0.108408302,0.045231596,0.042303555,0.021312043,0.050584614,0.011500676
1,0.081183232,0.092724726,0.201193616,0.264403343,0.307990968,0.283590585,0.1521153,0.030919356,0.133077517,0.068405643,0.051700894,0.044343568,0.053957373,0.013639604
3,0.080919348,0.080107026,0.215131819,0.25675115,0.320812404,0.289307833,0.151172429,0.036686059,0.137653381,0.075188898,0.052923128,0.055176154,0.060918216,0.01363045
MT,0.059238452,0.136950925,0.163175821,0.216211051,0.273303062,0.268287688,0.128249064,0.025110949,0.110548034,0.052872922,0.051706038,0.026946647,0.061484639,0.012547432
V6,0.054542765,0.082313202,0.195533559,0.235254109,0.276432127,0.265533298,0.145561054,0.027305685,0.119028911,0.046277225,0.047453787,0.019403331,0.054827433,0.012654972
DP,0.138110816,0.197604865,0.385934055,0.453541249,0.552441239,0.591107368,0.290691853,0.040404454,0.229017943,0.112057291,0.087495476,0.078806125,0.103631191,0.02483004
8m,0.121896617,0.181352511,0.259364635,0.305841535,0.512262166,0.463755667,0.210917339,0.04467795,0.180720672,0.111349739,0.074477986,0.105593741,0.095139511,0.021185741
F4,0.098844416,0.13651377,0.212637126,0.261342347,0.42593801,0.431607515,0.1573091,0.035146281,0.142255396,0.098949775,0.067047842,0.082063772,0.083087385,0.019951452
5,0.127193078,0.142119125,0.317858756,0.395484626,0.515198112,0.489241421,0.238616228,0.034122545,0.196540445,0.101720177,0.070618078,0.079609871,0.084017202,0.021928478
2,0.093375221,0.100216329,0.22545287,0.293999106,0.350733578,0.323916107,0.1720175,0.030566964,0.151995271,0.076633111,0.057352733,0.053734913,0.062320992,0.015640255
8l,0.12024036,0.17095463,0.265516698,0.333475679,0.479950249,0.489060402,0.188734218,0.04393214,0.183825612,0.095543489,0.077044688,0.083152264,0.091114558,0.020990754
F1,0.075414874,0.090386234,0.19759357,0.193475157,0.30703184,0.347137064,0.131473437,0.025612576,0.125335038,0.086789206,0.046952017,0.068599917,0.066068716,0.01392787
7A,0.189681858,0.251277834,0.504256308,0.574558735,0.735776484,0.713272154,0.35229966,0.051064115,0.293832153,0.151531979,0.108213782,0.117313772,0.124086343,0.030294795
10,0.153702378,0.252429754,0.431458324,0.486246169,0.616577744,0.647152245,0.293295532,0.044616453,0.25896132,0.141190931,0.097991019,0.180512369,0.103232853,0.026432607
F3,0.157289565,0.228162766,0.327008635,0.364127845,0.59898752,0.524093091,0.270707309,0.055536434,0.200162858,0.15317826,0.10901624,0.201636806,0.107108504,0.024935078
46d,0.149077907,0.225228712,0.352864563,0.450062364,0.564881742,0.53575933,0.280056,0.052682031,0.239047021,0.132572725,0.097410455,0.142859891,0.106639169,0.024785934
9/46v,0.148759961,0.208914027,0.331384957,0.415181071,0.593868911,0.554853261,0.206005126,0.047466569,0.233290195,0.115989484,0.094951876,0.128841549,0.103974581,0.023116501
9/46d,0.145930395,0.21714054,0.316811681,0.400792629,0.555951893,0.513290942,0.253802657,0.052084107,0.22427237,0.123703003,0.088524491,0.135262385,0.104611024,0.022960702
F5,0.154111356,0.168818936,0.309434742,0.347881198,0.53360337,0.490324438,0.211187497,0.039571401,0.180471569,0.121311978,0.096558347,0.133389458,0.099744745,0.022692196
