area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",0.39561882336805554,0.4184440554261374
V2,24c+32,"38,28",-0.35244689732345214,-0.36823497263791716
V4,24c+32,"38,28",0.6212346868805295,0.7270132518232091
1,24c+32,"38,28",-0.42152894797432505,-0.449549894800675
3,24c+32,"38,28",0.20351755225287838,0.20639937453800195
MT,24c+32,"38,28",0.13935407048998466,0.14026679391045593
V6,24c+32,"38,28",0.3573701275238726,0.37386772220341974
DP,24c+32,"38,28",-0.21230500930288468,-0.21558392276239632
TEO,24c+32,"38,28",0.1581889869363613,0.1595286534823223
8m,24c+32,"38,28",-0.14670637208346288,-0.1477726849895835
F4,24c+32,"38,28",0.20068580290352514,0.2034470342819413
5,24c+32,"38,28",-0.10605266553014006,-0.10645296775965735
2,24c+32,"38,28",-0.20901469538169362,-0.21214080808353425
8l,24c+32,"38,28",-0.2035908287622384,-0.20647581844794768
F1,24c+32,"38,28",0.005665373639974754,0.005665434253951993
STPc,24c+32,"38,28",-0.010522047635162929,-0.0105224359718191
7A,24c+32,"38,28",-0.03753259943835935,-0.03755023835731011
10,24c+32,"38,28",-0.416382509898859,-0.44330779317677915
F3,24c+32,"38,28",-0.03355082786005357,-0.03356342528920995
TEpd,24c+32,"38,28",0.03160943762709808,0.0316199715350185
46d,24c+32,"38,28",-0.2683257069402745,-0.2750587542908118
9/46v,24c+32,"38,28",0.37776009664629934,0.39744431300390604
PBr,24c+32,"38,28",0.1818706192738751,0.1839166207866499
9/46d,24c+32,"38,28",0.49834600001996626,0.5471032365329678
F5,24c+32,"38,28",0.14255247957486825,0.14353003959947433
7m,24c+32,"38,28",-0.056322310375074874,-0.05638197924603162
25,24c+32,"38,28",0.46686853790387706,0.5060585609545857
LIP,24c+32,"38,28",-0.31507778184261714,-0.3261729054365405
32,24c+32,"38,28",0.56920986405587,0.6463532262011915
STPi,24c+32,"38,28",-0.3553934330824309,-0.3716034453860143
9,24c+32,"38,28",-0.12576319588624826,-0.12643259954801378
45A,24c+32,"38,28",0.25351149980945487,0.2591619399123618
8B,24c+32,"38,28",0.38142439185678784,0.4017254925561872
7B,24c+32,"38,28",0.10907741284869624,0.10951312425855425
F2,24c+32,"38,28",0.11016996912826149,0.11061896999271684
F7,24c+32,"38,28",0.020531850561279173,0.020534736405581743
ProM,24c+32,"38,28",0.21061268629087457,0.21381238522316504
STPr,24c+32,"38,28",-0.11801157707722838,-0.1185640394230763
24c,24c+32,"38,28",0.8606096186891525,1.2956904848427444
OPRO,24c+32,"38,28",-0.4165995459317386,-0.4435703785192562
