area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,difference,squared_error,valid
V1,24c+32,"38,28",0.39561882336805554,0.4184440554261374,0.003786,0.4146580554261374,0.1719413029297856,True
V2,24c+32,"38,28",-0.35244689732345214,-0.36823497263791716,0.043747,-0.41198197263791714,0.1697291457786295,True
V4,24c+32,"38,28",0.6212346868805295,0.7270132518232091,0.096906,0.630107251823209,0.39703514880019697,True
1,24c+32,"38,28",-0.42152894797432505,-0.449549894800675,0.054903,-0.504452894800675,0.2544727230727809,True
3,24c+32,"38,28",0.20351755225287838,0.20639937453800195,0.04628,0.16011937453800196,0.02563821410244095,True
MT,24c+32,"38,28",0.13935407048998466,0.14026679391045593,0.175566,-0.035299206089544066,0.0012460339505521048,True
V6,24c+32,"38,28",0.3573701275238726,0.37386772220341974,0.139254,0.23461372220341975,0.055043598646143416,True
DP,24c+32,"38,28",-0.21230500930288468,-0.21558392276239632,0.199567,-0.4151509227623963,0.17235028867046914,True
TEO,24c+32,"38,28",0.1581889869363613,0.1595286534823223,0.031259,0.1282696534823223,0.016453104004475038,True
8m,24c+32,"38,28",-0.14670637208346288,-0.1477726849895835,0.175673,-0.3234456849895835,0.10461711113838087,True
F4,24c+32,"38,28",0.20068580290352514,0.2034470342819413,-0.015774,0.2192210342819413,0.04805786187164409,True
5,24c+32,"38,28",-0.10605266553014006,-0.10645296775965735,-0.026274,-0.08017896775965735,0.006428666871004174,True
2,24c+32,"38,28",-0.20901469538169362,-0.21214080808353425,0.088933,-0.30107380808353423,0.09064543791392081,True
8l,24c+32,"38,28",-0.2035908287622384,-0.20647581844794768,0.16706,-0.3735358184479477,0.13952900766357815,True
F1,24c+32,"38,28",0.005665373639974754,0.005665434253951993,0.023885,-0.018219565746048008,0.0003319525759745659,True
STPc,24c+32,"38,28",-0.010522047635162929,-0.0105224359718191,-0.004758,-0.005764435971819099,3.3228722073202e-05,True
7A,24c+32,"38,28",-0.03753259943835935,-0.03755023835731011,0.03126,-0.06881023835731012,0.004734848902789833,True
10,24c+32,"38,28",-0.416382509898859,-0.44330779317677915,0.313056,-0.7563637931767792,0.5720861876287655,True
F3,24c+32,"38,28",-0.03355082786005357,-0.03356342528920995,0.09415,-0.12771342528920995,0.01631071899910261,True
TEpd,24c+32,"38,28",0.03160943762709808,0.0316199715350185,0.016372,0.015247971535018497,0.00023250063593273436,True
46d,24c+32,"38,28",-0.2683257069402745,-0.2750587542908118,0.337073,-0.6121317542908118,0.37470528461114677,True
9/46v,24c+32,"38,28",0.37776009664629934,0.39744431300390604,0.2712,0.12624431300390604,0.0159376265658282,True
PBr,24c+32,"38,28",0.1818706192738751,0.1839166207866499,0.032065,0.15185162078664988,0.023058914735532517,True
9/46d,24c+32,"38,28",0.49834600001996626,0.5471032365329678,0.245636,0.3014672365329678,0.09088249470282436,True
F5,24c+32,"38,28",0.14255247957486825,0.14353003959947433,0.081314,0.06221603959947433,0.0038708355834433583,True
7m,24c+32,"38,28",-0.056322310375074874,-0.05638197924603162,-0.082866,0.026484020753968378,0.0007014033552966278,True
25,24c+32,"38,28",0.46686853790387706,0.5060585609545857,-0.168438,0.6744965609545857,0.4549456107395631,True
LIP,24c+32,"38,28",-0.31507778184261714,-0.3261729054365405,0.063567,-0.38973990543654047,0.1518971938896835,True
32,24c+32,"38,28",0.56920986405587,0.6463532262011915,0.812202,-0.16584877379880847,0.027505815770568338,False
STPi,24c+32,"38,28",-0.3553934330824309,-0.3716034453860143,0.028622,-0.4002254453860143,0.16018040713443352,True
9,24c+32,"38,28",-0.12576319588624826,-0.12643259954801378,0.358544,-0.48497659954801375,0.2352023021091545,True
45A,24c+32,"38,28",0.25351149980945487,0.2591619399123618,0.22115,0.03801193991236179,0.0014449075759010034,True
8B,24c+32,"38,28",0.38142439185678784,0.4017254925561872,0.223581,0.17814449255618722,0.03173546022810145,True
7B,24c+32,"38,28",0.10907741284869624,0.10951312425855425,0.111312,-0.0017988757414457435,3.235953933161973e-06,True
F2,24c+32,"38,28",0.11016996912826149,0.11061896999271684,-0.024718,0.13533696999271683,0.018316095446809535,True
F7,24c+32,"38,28",0.020531850561279173,0.020534736405581743,0.25606,-0.23552526359441828,0.05547214979122021,True
ProM,24c+32,"38,28",0.21061268629087457,0.21381238522316504,0.004375,0.20943738522316505,0.04386401832911643,True
STPr,24c+32,"38,28",-0.11801157707722838,-0.1185640394230763,-0.05701,-0.06155403942307631,0.003788899769297632,True
24c,24c+32,"38,28",0.8606096186891525,1.2956904848427444,1.081141,0.2145494848427445,0.04603148144628705,False
OPRO,24c+32,"38,28",-0.4165995459317386,-0.4435703785192562,0.176695,-0.6202653785192562,0.3847291397896362,True
