% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=318616, Fri Feb 27 00:52:13 2026, <python>{}</python>
1 40 17.49904158050493 1 0 0.0017500000000000003 0.0013333282051380673 0.004999961538609468 0.0016649807885723736 0.01 0.01 0.5 0.5 0.25 0.04666505131000953 0.33332051306705796 0.03 0.03
2 80 17.694830103420124 1 0 0.0017500000000000003 0.0013333282051380673 0.004999961538609468 0.0016649807885723736 0.01 0.01 0.5 0.5 0.25 0.04666505131000953 0.33332051306705796 0.03 0.03
3 120 18.922583169819124 1 0 0.0017500000000000003 0.0013333282051380673 0.004999961538609468 0.0016649807885723736 0.01 0.01 0.5 0.5 0.25 0.04666505131000953 0.33332051306705796 0.03 0.03
4 160 20.18709792892814 1 0 0.0017500000000000003 0.0013333282051380673 0.004762416132529136 0.0016649807885723736 0.01 0.01 0.5 0.5 0.25 0.043974988575491446 0.31586314784914094 0.03 0.03
5 200 21.702973694947165 1 0 0.0016980537742095473 0.0012792771032489308 0.004432503249230568 0.0015197192400084462 0.01 0.009423460013124699 0.5 0.5 0.25 0.037485831491710135 0.29852494160859766 0.03 0.03
6 240 24.542292405520335 1 0 0.0015367666876614492 0.001120585867666755 0.003952305226709796 0.001336546031657823 0.01 0.008499330893026654 0.5 0.5 0.25 0.03279525181829308 0.2683318722774875 0.03 0.03
7 280 25.917619582682292 1 0 0.0014547531970683387 0.0010779169718248575 0.0036754711810275797 0.0012636485337173483 0.01 0.007884993245329177 0.5 0.5 0.25 0.03249820659962787 0.2544565788345304 0.03 0.03
8 320 31.291354032583317 1 0 0.001173796588351763 0.0008747962009366257 0.003065709186164965 0.0010343309783088942 0.009168831644177512 0.0065170745341369156 0.5 0.5 0.25 0.027032639235844605 0.21369796950132192 0.03 0.03
9 360 35.09411109222334 1 0 0.0010912504875138463 0.0007930108527952614 0.002706603343115443 0.000956703368628405 0.008360465149433671 0.005651147962589884 0.5 0.5 0.25 0.023732627463221936 0.19319176860385537 0.03 0.03
10 400 39.52281351155862 1 0 0.0009665779668891404 0.0007162178785767067 0.002413203558561313 0.0008324209241953264 0.007470278957551785 0.004864330600901376 0.5 0.5 0.25 0.021230987521241383 0.17098698065863066 0.03 0.03
11 440 39.75742451514458 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
