area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
V1,24c+32,"38,28",0.8989367400056606,0.003786,0.7570011852727281,0.015773,-0.1419355547329325,0.011987,-0.1539225547329325,True,-0.024163329482,0.0180192317972,5.87400651217,0.665233686704,0.128873058568,0.0237104649317
V2,24c+32,"38,28",0.9511637258298704,0.043747,0.6037382069809285,0.039852,-0.3474255188489419,-0.0038950000000000026,-0.3435305188489419,True,-0.0591462604152,-0.00585508532993,5.87400651217,0.665233686704,0.102781330891,0.0599067677968
V4,24c+32,"38,28",1.1203461467947595,0.096906,0.6371683465393836,0.01233,-0.48317780025537593,-0.08457600000000001,-0.39860180025537595,True,-0.0822569398339,-0.127137277757,5.87400651217,0.665233686704,0.108472529818,0.0185348400817
1,24c+32,"38,28",1.9279094367122824,0.054903,1.343654365847753,-0.127009,-0.5842550708645293,-0.18191200000000002,-0.4023430708645293,True,-0.0994644915109,-0.273455784991,5.87400651217,0.665233686704,0.228745808004,-0.190923885153
3,24c+32,"38,28",1.2829066979597377,0.04628,0.9585800652428738,-0.000506,-0.3243266327168639,-0.046786,-0.2775406327168639,True,-0.0552138701319,-0.0703301725921,5.87400651217,0.665233686704,0.163190160456,-0.000760634961989
MT,24c+32,"38,28",1.0929737406144893,0.175566,0.7957137509641039,0.03625,-0.29725998965038536,-0.139316,-0.15794398965038536,True,-0.0506060027402,-0.209424150918,5.87400651217,0.665233686704,0.135463545932,0.0544921291939
V6,24c+32,"38,28",1.280905178182561,0.139254,1.0334799747864736,0.217226,-0.24742520339608753,0.07797200000000001,-0.3253972033960876,True,-0.0421220512581,0.117209939242,5.87400651217,0.665233686704,0.175941237492,0.326540889828
DP,24c+32,"38,28",1.6046723713101942,0.199567,1.0249928396999988,-0.259572,-0.5796795316101955,-0.459139,-0.12054053161019546,True,-0.0986855445954,-0.690192047061,5.87400651217,0.665233686704,0.174496374421,-0.390196716113
TEO,24c+32,"38,28",1.2418584068405802,0.031259,0.6959174061757398,0.072362,-0.5459410006648404,0.041102999999999994,-0.5870440006648404,True,-0.0929418446394,0.0617873099657,5.87400651217,0.665233686704,0.118474061058,0.108776812489
8m,24c+32,"38,28",1.0498423597491937,0.175673,0.6501226355957275,0.165189,-0.39971972415346624,-0.010483999999999993,-0.38923572415346624,True,-0.0680489072195,-0.0157598753784,5.87400651217,0.665233686704,0.110677888124,0.248317250466
