area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
V1,24c+32,"38,28",-0.3654400104910766,0.003786,0.9480515603745229,0.015773,1.3134915708655994,0.011987,1.3015045708655995,True,0.478810938372,0.0180192317972,2.74323634989,0.665233686704,0.345596018518,0.0237104649317
V2,24c+32,"38,28",0.0118090994015429,0.043747,-0.005001270320167131,0.039852,-0.01681036972171003,-0.0038950000000000026,-0.012915369721710028,True,-0.0061279334252,-0.00585508532993,2.74323634989,0.665233686704,-0.00182312775214,0.0599067677968
V4,24c+32,"38,28",-0.6310155839913804,0.096906,0.5609747855203517,0.01233,1.191990369511732,-0.08457600000000001,1.276566369511732,True,0.434519748749,-0.127137277757,2.74323634989,0.665233686704,0.204493785431,0.0185348400817
1,24c+32,"38,28",-0.2018769774853945,0.054903,0.0895493492181638,-0.127009,0.2914263267035583,-0.18191200000000002,0.4733383267035583,True,0.10623449442,-0.273455784991,2.74323634989,0.665233686704,0.0326436871624,-0.190923885153
3,24c+32,"38,28",-0.8730716936762427,0.04628,0.3255111712996604,-0.000506,1.1985828649759032,-0.046786,1.2453688649759032,True,0.436922930474,-0.0703301725921,2.74323634989,0.665233686704,0.118659542884,-0.000760634961989
MT,24c+32,"38,28",0.2837726654633429,0.175566,0.053210473699613334,0.03625,-0.23056219176372955,-0.139316,-0.09124619176372956,True,-0.0840475126298,-0.209424150918,2.74323634989,0.665233686704,0.0193969701888,0.0544921291939
V6,24c+32,"38,28",-0.0144717349644775,0.139254,0.05568110011818914,0.217226,0.07015283508266665,0.07797200000000001,-0.007819164917333365,True,0.0255730189218,0.117209939242,2.74323634989,0.665233686704,0.0202975948902,0.326540889828
DP,24c+32,"38,28",-0.534357985245034,0.199567,0.3013163224822001,-0.259572,0.8356743077272341,-0.459139,1.2948133077272341,True,0.304630808702,-0.690192047061,2.74323634989,0.665233686704,0.109839723615,-0.390196716113
TEO,24c+32,"38,28",-0.6533513883825259,0.031259,0.6342702588881178,0.072362,1.2876216472706439,0.041102999999999994,1.246518647270644,True,0.469380499177,0.0617873099657,2.74323634989,0.665233686704,0.231212399513,0.108776812489
8m,24c+32,"38,28",-0.0534280634471067,0.175673,0.3526958691334727,0.165189,0.4061239325805794,-0.010483999999999993,0.4166079325805794,True,0.14804554941,-0.0157598753784,2.74323634989,0.665233686704,0.128569260592,0.248317250466
F4,24c+32,"38,28",-0.2562527998612607,-0.015774,0.5500051354503233,0.135711,0.806257935311584,0.151485,0.654772935311584,True,0.293907572107,0.227716970784,2.74323634989,0.665233686704,0.200494986687,0.204005002622
5,24c+32,"38,28",-1.1659723662245003,-0.026274,0.5106740335051669,-0.164674,1.6766463997296672,-0.1384,1.8150463997296673,True,0.611192834259,-0.208047191184,2.74323634989,0.665233686704,0.18615750463,-0.247543086424
2,24c+32,"38,28",-0.2115208329751677,0.088933,0.17645928578976267,-0.059867,0.3879801187649303,-0.1488,0.5367801187649304,True,0.141431531695,-0.223680795146,2.74323634989,0.665233686704,0.0643252214841,-0.0899939392676
8l,24c+32,"38,28",0.1008944412228056,0.16706,0.06179980411107052,0.064032,-0.039094637111735074,-0.10302799999999998,0.0639333628882649,True,-0.0142512828373,-0.15487489894,2.74323634989,0.665233686704,0.0225280640196,0.0962548970081
F1,24c+32,"38,28",-0.9132014473390392,0.023885,0.5770593638519267,0.014027,1.4902608111909659,-0.009858,1.5001188111909658,True,0.543249148493,-0.0148188526784,2.74323634989,0.665233686704,0.21035714399,0.0210858233435
STPc,24c+32,"38,28",-0.2881127222517029,-0.004758,0.35433556006562317,0.021164,0.6424482823173261,0.025922,0.6165262823173261,True,0.234193558402,0.0389667578749,2.74323634989,0.665233686704,0.129166981941,0.0318143840623
7A,24c+32,"38,28",0.0876325584812345,0.03126,-0.1052690786900592,-0.022945,-0.19290163717129372,-0.054205,-0.1386966371712937,True,-0.0703190001034,-0.0814826444953,2.74323634989,0.665233686704,-0.0383740462955,-0.0344916387408
10,24c+32,"38,28",0.7383862799367359,0.313056,-0.1448687845366221,-0.259452,-0.883255064473358,-0.572508,-0.310747064473358,True,-0.321975561643,-0.860611859325,2.74323634989,0.665233686704,-0.0528094433214,-0.390016328375
F3,24c+32,"38,28",0.6416441204309686,0.09415,0.8749717896769369,0.073127,0.23332766924596826,-0.021023,0.2543506692459683,True,0.0850556202551,-0.0316024284701,2.74323634989,0.665233686704,0.318956035164,0.109926784319
TEpd,24c+32,"38,28",-0.508077174776269,0.016372,0.7792573018934797,0.111161,1.2873344766697488,0.094789,1.1925454766697487,True,0.469275816035,0.142489777494,2.74323634989,0.665233686704,0.284064951941,0.167100677885
46d,24c+32,"38,28",0.5071955235149366,0.337073,-0.2539768497289902,0.036685,-0.7611723732439268,-0.300388,-0.46078437324392685,True,-0.277472399808,-0.451552598739,2.74323634989,0.665233686704,-0.0925829266368,0.0551460347442
9/46v,24c+32,"38,28",0.3360098867767933,0.2712,0.18020131735895714,0.097202,-0.15580856941783613,-0.17399799999999999,0.01818943058216385,True,-0.0567973552203,-0.261559213668,2.74323634989,0.665233686704,0.0656893152376,0.146117074259
PBr,24c+32,"38,28",-0.6326341762942919,0.032065,0.5251232379987562,0.00353,1.157757414293048,-0.028535000000000005,1.186292414293048,True,0.422040709085,-0.0428947008703,2.74323634989,0.665233686704,0.191424715563,0.00530640596012
9/46d,24c+32,"38,28",0.2926279869064505,0.245636,-0.3676255536862758,0.079916,-0.6602535405927263,-0.16571999999999998,-0.49453354059272636,True,-0.240684161472,-0.249115466207,2.74323634989,0.665233686704,-0.134011622331,0.120132220597
F5,24c+32,"38,28",-0.5667065038434379,0.081314,0.6446653187035347,0.149549,1.2113718225469725,0.06823499999999999,1.1431368225469725,True,0.441584926722,0.102572977532,2.74323634989,0.665233686704,0.235001741184,0.224806715278
